timestamp,x_uT,y_uT,z_uT
0.0,35.91,-13.82,-64.69
7.7,34.18,-16.09,-63.78
7.7,34.18,-16.09,-63.78
7.7,32.82,-17.09,-61.02
7.7,32.82,-17.09,-61.02
7.7,30.27,-17.45,-62.86
7.7,29.18,-18.18,-62.55
12.3,29.18,-18.18,-62.55
13.9,27.64,-17.82,-60.51
13.9,24.82,-18.64,-62.24
15.0,24.82,-18.64,-62.24
16.8,24.00,-16.45,-62.24
17.7,24.00,-16.45,-62.24
17.7,24.55,-17.09,-62.96
17.7,23.64,-13.73,-63.57
17.7,23.64,-13.73,-63.57
20.6,24.00,-13.64,-63.67
20.6,24.55,-12.00,-62.45
20.6,24.55,-12.00,-62.45
23.0,25.91,-13.45,-63.98
25.1,25.91,-13.45,-63.98
25.1,26.64,-13.00,-66.33
25.1,29.09,-13.55,-70.92
25.1,29.09,-13.55,-70.92
25.1,31.55,-13.09,-76.94
25.1,31.18,-14.09,-78.06
25.1,31.18,-14.09,-78.06
25.1,32.91,-11.64,-77.55
32.8,32.91,-11.64,-77.55
34.4,31.91,-12.00,-77.86
34.4,32.91,-11.91,-79.90
35.4,32.91,-11.91,-79.90
35.4,31.00,-13.27,-80.61
35.4,34.55,-12.27,-83.78
35.4,34.55,-12.27,-83.78
35.4,29.91,-12.91,-82.55
35.4,29.91,-12.91,-82.55
40.5,33.45,-14.36,-81.94
40.5,33.27,-14.82,-82.14
40.5,33.27,-14.82,-82.14
40.5,31.09,-14.00,-81.22
40.5,28.73,-12.55,-80.20
40.5,28.73,-12.55,-80.20
40.5,32.45,-9.55,-79.90
40.5,32.45,-9.55,-79.90
40.5,34.82,-12.27,-78.37
40.5,31.82,-11.91,-77.04
48.6,31.82,-11.91,-77.04
48.6,32.91,-13.27,-77.76
48.6,32.82,-12.82,-76.22
51.3,32.82,-12.82,-76.22
52.8,31.09,-13.18,-75.61
52.8,31.09,-13.18,-75.61
52.8,31.09,-12.64,-76.53
55.3,29.09,-8.91,-73.47
55.3,29.09,-8.91,-73.47
55.3,29.18,-9.64,-73.88
55.3,29.00,-9.09,-69.69
55.3,29.00,-9.09,-69.69
55.3,29.82,-8.73,-68.16
55.3,29.82,-8.73,-68.16
55.3,28.55,-12.09,-70.10
55.3,28.36,-11.73,-69.90
55.3,28.36,-11.73,-69.90
55.3,28.73,-10.55,-66.12
55.3,29.45,-8.82,-61.22
55.3,29.45,-8.82,-61.22
65.0,27.82,-11.27,-61.12
65.0,27.82,-11.27,-61.12
67.0,27.36,-14.09,-63.78
67.0,28.36,-15.64,-64.49
67.0,28.36,-15.64,-64.49
70.3,28.73,-17.55,-66.53
70.3,30.45,-15.18,-67.55
70.3,30.45,-15.18,-67.55
70.3,28.55,-16.82,-64.49
70.3,28.55,-16.82,-64.49
70.3,29.82,-18.18,-66.73
70.3,29.55,-16.45,-63.47
70.3,29.55,-16.45,-63.47
70.3,29.73,-14.45,-62.86
70.3,29.36,-19.00,-60.61
70.3,29.36,-19.00,-60.61
70.3,28.73,-19.09,-59.08
70.3,28.73,-19.09,-59.08
80.3,29.91,-18.55,-58.98
81.6,30.36,-21.00,-62.45
82.6,30.36,-21.00,-62.45
82.6,33.00,-19.36,-66.43
84.2,30.18,-19.64,-66.22
84.2,30.18,-19.64,-66.22
85.9,31.73,-18.00,-64.69
85.9,31.73,-18.00,-64.69
85.9,31.45,-19.00,-62.24
85.9,31.00,-18.36,-61.02
88.4,31.00,-18.36,-61.02
88.4,32.55,-16.55,-59.59
88.4,31.55,-18.00,-58.37
88.4,31.55,-18.00,-58.37
88.4,32.64,-19.27,-57.35
88.4,32.64,-19.27,-57.35
88.4,32.64,-22.27,-57.14
88.4,31.82,-19.55,-60.82
88.4,31.82,-19.55,-60.82
88.4,33.09,-19.64,-60.71
96.5,33.36,-18.91,-61.33
96.5,33.36,-18.91,-61.33
96.5,33.64,-19.27,-61.43
99.5,33.64,-19.27,-61.43
99.5,33.36,-19.00,-59.59
99.5,34.64,-20.45,-57.96
99.5,34.64,-20.45,-57.96
99.5,32.27,-16.82,-54.08
99.5,32.27,-18.36,-55.71
99.5,31.09,-18.36,-55.71
104.6,31.82,-16.36,-56.94
104.6,31.82,-16.36,-56.94
104.6,32.45,-17.82,-60.51
104.6,30.64,-17.91,-57.86
104.6,30.64,-17.91,-57.86
104.6,30.45,-19.82,-55.41
104.6,30.45,-19.82,-55.41
104.6,30.45,-19.82,-55.41
104.6,29.91,-19.73,-54.39
104.6,29.91,-19.73,-54.39
112.6,28.27,-20.27,-59.59
113.3,32.55,-19.00,-60.10
113.3,32.55,-19.00,-60.10
114.9,33.73,-19.00,-60.51
115.6,33.73,-19.00,-60.51
115.6,31.73,-20.09,-60.82
115.6,33.45,-20.45,-59.08
115.6,33.45,-20.45,-59.08
115.6,33.27,-18.00,-61.43
115.6,31.27,-20.36,-60.31
115.6,31.27,-20.36,-60.31
115.6,32.18,-20.64,-61.22
115.6,32.18,-20.64,-61.22
115.6,33.36,-21.64,-63.88
115.6,33.64,-20.45,-66.43
115.6,33.64,-20.45,-66.43
115.6,35.36,-16.82,-63.67
115.6,34.82,-19.18,-64.49
115.6,34.82,-19.18,-64.49
115.6,36.00,-20.00,-64.29
115.6,36.00,-20.00,-64.29
128.6,34.82,-18.36,-64.18
128.6,32.27,-19.82,-65.92
128.6,32.27,-19.82,-65.92
128.6,36.09,-17.55,-67.55
132.2,34.00,-19.73,-66.43
132.2,34.00,-19.73,-66.43
132.2,34.45,-20.27,-65.51
135.4,34.45,-20.27,-65.51
135.4,35.45,-18.09,-61.73
135.4,35.36,-16.73,-64.08
137.1,35.36,-16.73,-64.08
137.1,35.00,-21.09,-66.22
139.1,35.36,-15.91,-63.67
139.1,35.36,-15.91,-63.67
141.1,35.82,-14.82,-61.53
141.1,35.82,-14.82,-61.53
141.1,35.09,-18.09,-62.65
143.2,35.18,-16.27,-62.14
143.2,35.18,-16.27,-62.14
145.2,35.00,-19.27,-62.04
145.2,34.82,-17.91,-61.43
146.7,34.82,-17.91,-61.43
147.4,34.18,-17.55,-60.82
148.4,34.18,-17.55,-60.82
148.9,33.18,-19.00,-60.10
148.9,34.55,-19.82,-59.69
148.9,34.55,-19.82,-59.69
148.9,34.91,-19.45,-60.92
152.1,34.09,-19.00,-60.41
153.1,34.09,-19.00,-60.41
153.1,32.82,-18.27,-59.59
177.2,32.82,-18.27,-59.59
231.6,35.18,-18.64,-59.49
273.1,34.18,-19.73,-60.92
304.6,34.18,-19.73,-60.92
353.5,34.09,-17.00,-58.98
383.8,33.00,-18.36,-61.63
431.6,33.00,-18.36,-61.63
464.0,34.27,-18.45,-61.53
512.1,34.27,-18.45,-61.53
560.4,33.55,-17.91,-60.41
593.1,32.73,-18.64,-61.43
643.0,32.73,-18.64,-61.43
683.3,34.55,-17.45,-61.22
721.5,35.55,-18.64,-59.90
764.3,35.55,-18.64,-59.90
803.9,34.36,-18.45,-60.10
842.7,34.36,-18.45,-60.10
889.3,33.64,-18.91,-58.78
929.2,33.27,-17.73,-58.67
971.0,33.27,-17.73,-58.67
1012.3,34.73,-18.18,-58.88
1053.5,32.82,-18.27,-59.49
1094.2,32.82,-18.27,-59.49
1134.6,34.73,-17.45,-59.18
1176.1,34.73,-17.45,-59.18
1217.0,35.18,-18.91,-58.78
1257.6,34.00,-19.91,-57.86
1300.1,34.00,-19.91,-57.86
1340.3,35.36,-17.18,-59.90
1381.3,33.45,-18.36,-58.67
1421.3,33.45,-18.36,-58.67
1462.6,33.27,-18.27,-57.55
1504.4,33.27,-18.27,-57.55
1545.3,32.18,-18.36,-58.06
1585.6,34.36,-18.55,-57.96
1626.1,34.36,-18.55,-57.96
1667.3,32.55,-18.91,-57.45
1709.3,33.55,-21.45,-57.65
1749.9,33.55,-21.45,-57.65
1791.3,35.18,-19.45,-57.86
1832.3,35.18,-19.45,-57.86
1873.1,31.45,-18.55,-59.39
1914.3,35.36,-17.91,-58.47
1955.2,35.36,-17.91,-58.47
1996.3,32.64,-18.36,-59.49
2036.9,34.18,-18.64,-58.88
2078.0,34.18,-18.64,-58.88
