timestamp,x_uT,y_uT,z_uT
2.9,33.18,-17.45,-58.88
2.9,31.82,-18.73,-59.29
4.8,33.36,-17.82,-59.18
4.8,33.36,-17.82,-59.18
4.8,33.00,-18.91,-55.61
4.8,33.00,-18.91,-55.61
4.8,34.27,-16.91,-55.20
4.8,36.09,-16.00,-52.45
4.8,36.09,-16.00,-52.45
10.1,37.09,-18.09,-51.53
10.1,34.27,-15.91,-52.76
11.5,34.27,-15.91,-52.76
11.5,31.73,-18.18,-56.12
11.5,31.73,-18.18,-56.12
11.5,33.36,-19.36,-58.78
11.5,30.73,-19.64,-59.39
11.5,30.73,-19.64,-59.39
11.5,32.27,-19.64,-60.82
11.5,32.91,-18.36,-60.41
11.5,32.91,-18.36,-60.41
11.5,30.82,-19.09,-59.08
19.8,30.82,-19.09,-59.08
20.4,31.36,-19.00,-60.20
20.4,32.27,-18.27,-57.35
22.1,32.27,-18.27,-57.35
23.2,31.64,-16.09,-52.45
23.5,33.09,-14.18,-50.20
24.7,33.09,-14.18,-50.20
25.8,34.27,-14.55,-48.57
25.8,34.27,-14.55,-48.57
27.3,32.64,-18.55,-53.27
27.3,33.91,-17.18,-57.04
29.4,33.91,-17.18,-57.04
29.4,31.91,-19.55,-58.88
29.4,35.27,-18.91,-59.08
29.4,35.27,-18.91,-59.08
29.4,32.45,-18.45,-59.49
33.9,32.45,-18.45,-59.49
34.5,32.27,-17.00,-59.59
35.6,32.82,-16.73,-60.31
35.6,32.82,-16.73,-60.31
37.4,29.91,-15.36,-60.41
37.4,30.82,-15.45,-64.18
37.4,30.82,-15.45,-64.18
37.4,32.64,-13.45,-62.55
41.2,32.64,-13.45,-62.55
41.2,30.27,-15.18,-64.29
43.0,32.45,-17.45,-63.88
43.9,32.45,-17.45,-63.88
43.9,32.45,-15.00,-61.94
46.0,32.45,-15.00,-61.94
46.0,32.45,-15.00,-61.94
46.0,31.64,-16.55,-61.94
46.0,31.64,-16.55,-61.94
46.0,28.73,-18.09,-63.57
46.0,31.09,-16.64,-61.33
46.0,31.09,-16.64,-61.33
46.0,31.82,-15.36,-61.33
46.0,31.82,-15.36,-61.33
46.0,28.27,-17.55,-62.14
46.0,31.00,-15.64,-64.59
46.0,31.00,-15.64,-64.59
46.0,34.55,-17.36,-63.98
46.0,32.27,-16.45,-63.16
46.0,32.27,-16.45,-63.16
57.4,32.09,-19.09,-62.35
57.4,32.09,-19.09,-62.35
59.5,33.55,-17.91,-62.45
59.5,30.27,-17.82,-59.80
59.5,30.27,-17.82,-59.80
62.8,30.73,-18.00,-62.04
62.8,33.91,-18.64,-61.94
62.8,33.91,-18.64,-61.94
62.8,32.27,-18.36,-62.55
62.8,32.27,-18.36,-62.55
62.8,30.82,-19.91,-62.86
62.8,31.91,-20.55,-62.86
62.8,31.91,-20.55,-62.86
62.8,31.00,-17.73,-62.14
62.8,31.91,-18.91,-61.02
62.8,31.91,-18.91,-61.02
62.8,31.00,-18.73,-63.37
62.8,31.00,-18.73,-63.37
62.8,31.82,-17.73,-61.63
73.8,29.64,-18.18,-61.43
74.9,29.64,-18.18,-61.43
74.9,30.73,-17.64,-61.53
76.4,30.45,-17.27,-62.35
76.4,30.45,-17.27,-62.35
