timestamp,x_uT,y_uT,z_uT
1.1,33.55,-14.36,-54.59
1.1,33.55,-14.36,-54.59
2.1,31.45,-11.45,-51.84
3.1,31.45,-11.45,-51.84
4.1,31.45,-14.45,-51.02
5.1,30.64,-12.27,-49.39
5.1,30.64,-12.27,-49.39
6.1,29.82,-14.55,-49.39
7.1,28.91,-13.55,-49.49
8.0,28.91,-13.55,-49.49
9.0,32.55,-12.73,-50.71
10.0,32.55,-12.73,-50.71
10.0,31.73,-14.91,-51.63
11.0,31.27,-16.45,-51.94
12.0,31.27,-16.45,-51.94
13.1,30.82,-13.91,-55.00
14.0,31.91,-15.45,-53.88
15.1,31.91,-15.45,-53.88
16.0,31.00,-13.91,-54.80
16.0,31.00,-13.91,-54.80
17.4,32.27,-15.00,-56.33
18.4,31.00,-15.73,-53.37
18.4,31.00,-15.73,-53.37
19.4,30.27,-13.82,-55.51
20.4,32.64,-14.36,-56.43
21.4,32.64,-14.36,-56.43
22.4,30.27,-16.64,-56.43
22.4,30.27,-16.64,-56.43
23.7,33.27,-13.27,-56.53
24.7,30.73,-15.36,-54.69
25.7,30.73,-15.36,-54.69
26.7,31.73,-15.64,-56.22
27.7,29.82,-15.64,-56.63
29.7,29.82,-15.64,-56.63
30.7,31.09,-15.73,-55.20
31.7,31.09,-15.73,-55.20
32.7,32.82,-15.00,-54.69
32.7,31.09,-13.09,-51.94
34.0,31.09,-13.09,-51.94
35.0,32.55,-13.18,-49.59
35.0,32.64,-13.36,-48.37
36.5,32.64,-13.36,-48.37
37.6,31.27,-11.09,-48.16
37.6,31.27,-11.09,-48.16
38.6,33.00,-12.36,-48.27
39.6,31.45,-12.09,-48.37
40.6,31.45,-12.09,-48.37
40.6,33.18,-13.55,-49.59
41.6,33.45,-13.00,-49.18
42.6,33.45,-13.00,-49.18
43.6,31.00,-14.73,-50.31
44.6,31.00,-14.73,-50.31
45.7,33.18,-13.27,-50.82
46.7,33.18,-13.45,-50.10
47.8,33.18,-13.45,-50.10
48.7,31.45,-12.91,-49.39
49.7,31.45,-13.45,-49.59
50.7,31.45,-13.45,-49.59
50.7,31.91,-13.64,-50.41
51.7,31.91,-13.64,-50.41
52.7,31.36,-12.82,-50.71
53.8,31.91,-13.91,-52.76
54.7,31.91,-13.91,-52.76
54.7,31.09,-15.45,-54.39
55.8,33.18,-16.00,-55.51
56.8,33.18,-16.00,-55.51
57.8,33.45,-15.73,-55.10
57.8,33.45,-15.73,-55.10
58.8,32.18,-12.91,-53.16
58.8,32.64,-14.64,-54.80
58.8,32.64,-14.64,-54.80
61.7,33.45,-14.36,-54.80
62.7,30.73,-15.09,-54.80
62.7,30.73,-15.09,-54.80
63.9,31.00,-14.00,-53.57
65.0,31.00,-14.00,-53.57
66.0,31.73,-14.55,-53.27
66.0,32.09,-11.27,-55.31
67.5,32.09,-11.27,-55.31
67.5,31.55,-15.27,-53.67
68.5,31.36,-13.82,-54.80
69.5,31.36,-13.82,-54.80
70.5,29.55,-15.00,-55.41
70.5,29.55,-15.00,-55.41
71.5,28.45,-14.73,-54.49
72.5,30.45,-14.82,-53.37
73.5,30.45,-14.82,-53.37
74.5,28.64,-11.55,-54.69
74.5,30.64,-13.91,-52.96
75.7,30.64,-13.91,-52.96
76.9,31.45,-13.27,-53.16
77.8,31.45,-13.27,-53.16
78.8,32.55,-14.09,-53.57
79.9,30.36,-13.64,-53.16
79.9,30.36,-13.64,-53.16
81.2,29.09,-11.82,-53.16
82.2,28.64,-12.82,-52.45
95.9,28.64,-12.82,-52.45
138.5,28.09,-12.82,-53.16
178.8,28.09,-12.82,-53.16
220.2,29.27,-13.55,-52.04
261.7,28.82,-11.45,-50.20
302.1,28.82,-11.45,-50.20
343.3,30.27,-11.64,-50.41
384.2,30.64,-11.45,-50.31
425.2,30.64,-11.45,-50.31
465.7,29.36,-13.73,-50.31
507.2,29.36,-13.73,-50.31
547.8,27.82,-11.55,-48.67
589.2,27.73,-11.91,-51.12
630.0,27.73,-11.91,-51.12
670.8,29.55,-13.00,-50.71
712.0,27.91,-12.73,-50.20
753.2,27.91,-12.73,-50.20
794.2,30.55,-11.45,-47.96
834.1,30.55,-11.45,-47.96
874.9,30.64,-11.36,-49.08
917.4,32.36,-12.91,-52.14
958.2,32.36,-12.91,-52.14
998.5,33.00,-12.00,-53.27
1039.2,32.09,-13.27,-53.47
1080.6,32.09,-13.27,-53.47
1122.2,31.45,-13.91,-51.73
1163.1,31.45,-13.91,-51.73
1204.0,31.73,-12.91,-51.73
1245.2,30.18,-12.64,-51.33
1285.3,30.18,-12.64,-51.33
1327.2,31.36,-10.45,-51.43
1367.8,32.55,-12.36,-50.51
1409.0,32.55,-12.36,-50.51
1449.9,35.55,-12.36,-49.08
1491.2,35.55,-12.36,-49.08
1531.8,32.73,-10.82,-48.98
1573.2,32.91,-12.09,-49.18
1613.2,32.91,-12.09,-49.18
1655.2,32.73,-12.45,-48.67
1695.5,33.09,-11.82,-49.49
1736.1,33.09,-11.82,-49.49
1778.2,34.55,-12.09,-49.49
1819.1,34.55,-12.09,-49.49
1860.2,33.73,-11.55,-48.06
1900.0,32.00,-11.45,-49.08
1942.0,32.00,-11.45,-49.08
1982.4,33.27,-11.55,-49.69
2023.8,33.00,-12.45,-49.39
2064.1,33.00,-12.45,-49.39
2105.4,33.18,-10.45,-48.98
2146.8,33.18,-10.45,-48.98
2187.0,33.73,-10.27,-48.57
2228.4,35.00,-12.09,-49.59
2269.0,35.00,-12.09,-49.59
2310.3,33.82,-12.55,-49.29
2351.0,34.18,-11.64,-48.67
2392.2,34.18,-11.64,-48.67
2433.3,33.64,-13.09,-49.90
2474.3,33.64,-13.09,-49.90
2514.6,34.00,-11.18,-48.37
2556.0,33.82,-10.45,-48.47
2596.9,33.82,-10.45,-48.47
2638.4,31.45,-12.27,-49.59
2678.3,31.45,-11.55,-49.18
2720.0,31.36,-11.55,-49.18
2761.6,33.55,-11.45,-49.69
2801.3,33.55,-11.45,-49.69
2843.4,33.00,-13.73,-50.31
2883.5,34.27,-12.45,-51.02
2925.6,34.27,-12.45,-51.02
2965.7,34.18,-10.09,-49.59
3007.0,34.18,-10.09,-49.59
3048.0,33.64,-12.27,-51.84
3088.9,33.36,-13.27,-49.08
3129.6,33.36,-13.27,-49.08
3171.4,33.09,-12.45,-51.73
3212.7,33.45,-11.18,-49.80
3253.5,33.45,-11.18,-49.80
3294.4,35.27,-12.91,-49.08
3335.0,35.27,-12.91,-49.08
3376.4,33.82,-13.00,-50.41
3417.3,33.27,-10.45,-49.69
3458.5,33.27,-10.45,-49.69
3498.3,32.64,-11.64,-49.80
3540.1,32.73,-11.73,-49.18
3580.3,32.73,-11.73,-49.18
3622.4,33.91,-12.45,-50.20
3662.6,33.91,-12.45,-50.20
3704.0,35.45,-13.00,-51.22
3744.7,34.27,-13.27,-50.51
3786.6,34.27,-13.27,-50.51
3827.4,33.36,-13.91,-49.29
3867.6,36.55,-12.73,-50.92
3909.4,36.55,-12.73,-50.92
3950.2,34.18,-12.09,-49.90
3991.3,34.18,-12.09,-49.90
4032.0,32.27,-11.82,-50.82
4073.1,33.45,-11.82,-50.61
4114.1,33.45,-11.82,-50.61
4155.5,33.82,-12.36,-49.29
4196.3,34.36,-12.73,-50.00
4237.2,34.36,-12.73,-50.00
4278.9,32.18,-12.55,-51.33
4319.6,32.18,-12.55,-51.33
4360.4,35.73,-14.64,-51.12
4401.4,32.82,-13.55,-50.20
4441.5,32.82,-13.55,-50.20
4483.2,33.64,-13.73,-50.92
4524.4,31.55,-13.36,-50.00
4564.3,31.55,-13.36,-50.00
4606.4,35.73,-13.00,-51.94
4646.4,35.73,-13.00,-51.94
4688.4,34.09,-14.18,-50.61
4728.8,34.36,-12.82,-50.61
4770.2,34.36,-12.82,-50.61
4811.3,34.64,-14.36,-50.61
4851.3,34.73,-10.91,-50.71
4893.4,34.73,-10.91,-50.71
