timestamp,x_uT,y_uT,z_uT
1.0,34.45,-16.45,-78.98
2.0,35.82,-19.27,-79.49
3.0,34.64,-18.00,-80.20
4.0,34.64,-18.00,-80.20
4.0,35.27,-17.91,-80.31
5.0,35.27,-17.91,-80.31
6.0,34.64,-14.82,-79.18
7.0,35.45,-15.45,-80.20
7.0,35.45,-15.45,-80.20
8.0,35.45,-14.73,-80.82
9.0,35.73,-15.91,-81.02
10.0,35.73,-15.91,-81.02
10.0,32.82,-12.55,-81.73
11.0,32.82,-12.55,-81.73
12.0,32.55,-12.27,-78.16
13.0,32.82,-12.73,-77.04
14.0,32.82,-12.73,-77.04
15.0,33.27,-10.27,-76.94
16.0,32.82,-9.82,-73.06
17.4,32.82,-9.82,-73.06
18.9,32.82,-13.09,-74.39
18.9,32.82,-13.09,-74.39
20.2,34.82,-14.00,-75.31
21.2,31.82,-11.09,-74.39
22.2,31.82,-11.09,-74.39
22.2,31.55,-11.36,-73.16
23.2,31.55,-11.73,-74.18
24.2,35.55,-11.73,-74.18
25.2,31.55,-10.55,-73.27
26.2,31.55,-10.55,-73.27
27.7,32.73,-12.27,-73.06
29.7,35.09,-13.27,-75.10
29.7,35.09,-13.27,-75.10
30.7,32.82,-11.18,-75.10
31.7,32.82,-11.18,-75.10
32.7,31.18,-10.82,-73.47
33.9,29.45,-9.73,-74.29
34.9,29.45,-9.73,-74.29
36.1,33.55,-10.91,-74.39
37.2,34.73,-10.64,-74.90
38.2,34.73,-10.64,-74.90
38.2,36.27,-9.36,-74.18
39.2,36.27,-9.36,-74.18
40.2,32.91,-12.91,-72.86
41.2,31.82,-11.18,-74.90
41.2,31.82,-11.18,-74.90
42.2,32.82,-12.36,-74.69
43.2,31.27,-10.36,-75.00
43.2,31.27,-10.36,-75.00
44.6,33.00,-11.45,-76.84
45.6,33.00,-11.45,-76.84
46.6,33.64,-11.73,-75.51
46.6,32.55,-10.55,-75.51
48.1,32.55,-10.55,-75.51
49.2,32.09,-10.00,-76.73
50.1,32.09,-10.91,-76.43
51.4,32.09,-10.91,-76.43
52.9,31.18,-10.82,-75.71
54.0,31.18,-10.82,-75.71
54.0,32.55,-13.73,-76.43
58.2,32.45,-13.27,-76.43
99.6,32.45,-13.27,-76.43
140.5,32.91,-12.09,-75.82
