timestamp,x_uT,y_uT,z_uT
1.5,30.09,-12.27,-74.80
1.5,31.18,-10.36,-74.80
2.5,28.64,-11.73,-74.80
3.5,28.64,-11.73,-74.80
4.5,32.36,-12.36,-77.14
5.5,30.73,-10.82,-74.80
5.5,30.73,-10.82,-74.80
7.5,33.91,-11.36,-75.00
8.5,33.91,-11.36,-75.00
9.5,29.00,-9.73,-75.20
10.6,28.55,-11.55,-74.80
11.6,28.55,-11.55,-74.80
12.6,30.36,-11.82,-74.90
13.5,29.36,-13.09,-75.31
14.6,29.36,-13.09,-75.31
14.6,30.55,-10.09,-74.08
15.6,30.55,-10.09,-74.08
16.6,31.18,-11.36,-75.00
17.6,28.82,-12.18,-74.18
17.6,28.82,-12.18,-74.18
18.6,30.27,-12.09,-75.00
19.6,29.27,-13.27,-73.78
19.6,29.27,-13.27,-73.78
20.6,31.45,-12.64,-73.88
21.6,31.45,-12.64,-73.88
22.6,29.45,-13.09,-76.22
23.7,31.18,-12.64,-73.78
25.8,31.18,-12.64,-73.78
26.8,30.73,-12.00,-73.88
27.9,30.73,-11.64,-74.69
28.9,29.27,-11.64,-74.69
30.9,30.91,-14.09,-75.10
31.9,30.91,-14.09,-75.10
32.9,28.36,-10.82,-74.49
32.9,28.73,-11.64,-74.90
34.6,28.73,-11.64,-74.90
35.9,27.18,-14.45,-74.49
37.4,27.18,-14.45,-74.49
38.3,27.18,-14.45,-74.49
39.4,28.09,-11.45,-74.90
40.4,28.09,-11.45,-74.90
41.4,29.64,-11.82,-72.65
42.4,29.45,-13.45,-74.59
43.4,29.45,-13.45,-74.59
43.4,28.91,-12.82,-75.71
44.7,28.91,-12.82,-75.71
83.5,28.55,-13.55,-75.00
124.7,28.45,-13.09,-75.00
164.8,28.45,-13.09,-75.00
206.6,28.55,-13.09,-75.20
247.5,29.55,-14.36,-74.39
287.8,29.55,-14.36,-74.39
329.5,28.45,-14.64,-75.51
370.2,28.45,-14.64,-75.51
411.1,28.91,-12.82,-74.90
452.5,30.27,-13.45,-75.41
491.9,30.27,-13.45,-75.41
534.5,27.27,-12.18,-75.10
575.1,28.00,-13.91,-74.90
615.8,28.00,-13.91,-74.90
658.2,28.64,-13.27,-74.90
698.5,28.64,-13.27,-74.90
739.6,30.82,-13.91,-74.39
780.5,31.82,-14.27,-75.31
821.0,31.82,-14.27,-75.31
861.2,30.09,-13.73,-75.71
902.6,29.82,-12.45,-76.12
944.4,29.82,-12.45,-76.12
985.3,30.00,-10.64,-74.08
1025.8,30.00,-10.64,-74.08
1067.3,30.64,-11.73,-76.84
1108.0,30.64,-11.55,-75.00
1149.2,30.64,-11.55,-75.00
1191.1,30.45,-12.73,-76.12
1231.5,30.00,-11.36,-75.92
1272.7,30.00,-11.36,-75.92
1313.4,32.09,-12.36,-77.86
1354.5,32.09,-12.36,-77.86
1395.5,31.73,-10.64,-77.14
1436.5,32.18,-12.00,-77.04
1476.6,32.18,-12.00,-77.04
1518.1,30.09,-11.09,-76.73
1558.8,32.36,-13.45,-76.33
1600.2,32.36,-13.45,-76.33
1641.6,31.91,-10.27,-76.84
1682.5,31.91,-10.27,-76.84
1723.7,29.82,-11.91,-76.94
1764.5,29.82,-11.09,-78.37
1805.3,29.82,-11.09,-78.37
1846.5,33.00,-10.18,-78.06
1887.5,31.73,-14.55,-76.43
1927.5,31.73,-14.55,-76.43
1969.5,30.82,-13.64,-76.43
2009.9,30.82,-13.64,-76.43
2051.1,28.45,-12.82,-77.55
2092.2,31.55,-12.73,-76.43
2133.1,31.55,-12.73,-76.43
2173.7,31.09,-12.00,-78.06
2215.6,32.27,-12.36,-76.53
2256.3,32.27,-12.36,-76.53
2297.2,30.64,-12.91,-78.06
2338.2,30.64,-12.91,-78.06
2379.0,30.09,-13.73,-76.43
2420.5,30.45,-13.64,-75.10
2460.5,30.45,-13.64,-75.10
2501.8,30.55,-12.82,-76.53
2542.6,32.45,-14.73,-75.00
2583.8,32.45,-14.73,-75.00
2625.8,30.82,-13.36,-75.51
2666.2,30.82,-13.36,-75.51
2707.3,31.00,-12.18,-77.24
2748.5,32.18,-13.64,-76.43
2789.3,32.18,-13.64,-76.43
