timestamp,x_uT,y_uT,z_uT
1.0,39.00,-16.45,-67.14
3.1,33.64,-17.45,-71.43
4.2,33.64,-17.45,-71.43
4.2,34.45,-19.18,-72.04
5.3,32.45,-17.55,-72.96
6.4,32.45,-17.55,-72.96
7.6,33.00,-17.55,-73.78
7.6,32.82,-18.91,-73.47
8.6,32.82,-18.91,-73.47
9.6,33.36,-18.09,-73.98
10.6,33.36,-18.09,-73.98
10.6,33.55,-19.09,-74.39
11.6,34.27,-18.45,-72.86
12.6,34.27,-18.45,-72.86
13.6,34.55,-16.18,-73.27
14.6,33.18,-17.82,-73.67
14.6,33.18,-17.82,-73.67
15.6,33.36,-18.45,-74.29
16.6,33.36,-18.45,-74.29
17.6,34.45,-19.18,-73.06
18.6,34.27,-19.00,-72.96
19.6,34.27,-19.00,-72.96
20.6,35.09,-17.45,-73.16
21.6,33.18,-16.91,-73.37
22.6,33.18,-16.91,-73.37
23.6,32.91,-19.27,-74.29
24.6,32.91,-19.27,-74.29
25.6,34.36,-16.27,-73.16
26.5,34.09,-16.64,-73.47
26.5,34.09,-16.64,-73.47
27.6,31.09,-17.45,-72.35
28.6,30.82,-18.00,-71.73
29.6,30.82,-18.00,-71.73
30.6,34.55,-16.91,-71.94
31.7,34.55,-16.91,-71.94
33.0,34.18,-18.82,-73.27
33.0,32.36,-20.09,-73.88
34.6,32.36,-20.09,-73.88
56.2,32.55,-16.91,-71.84
98.6,34.82,-18.91,-73.16
138.7,34.82,-18.91,-73.16
179.6,35.36,-17.82,-72.14
221.0,35.36,-17.82,-72.14
262.6,32.91,-19.09,-73.98
303.1,34.18,-18.64,-73.67
343.7,34.18,-18.64,-73.67
385.5,33.00,-18.00,-71.84
425.1,31.45,-18.00,-72.76
467.7,31.45,-18.00,-72.76
508.7,32.27,-18.18,-73.47
549.8,32.27,-18.18,-73.47
590.2,35.00,-19.27,-73.27
631.8,32.91,-16.73,-72.24
672.2,32.91,-16.73,-72.24
713.5,34.18,-17.18,-73.16
754.6,34.36,-16.36,-72.24
795.7,34.36,-16.36,-72.24
836.8,34.00,-18.64,-72.24
877.6,34.00,-18.64,-72.24
919.6,34.27,-20.45,-72.76
959.4,33.91,-19.36,-72.45
1000.7,33.91,-19.36,-72.45
1041.2,33.18,-18.27,-72.65
1082.1,31.36,-17.00,-70.71
1123.4,31.36,-17.00,-70.71
1164.7,34.73,-17.36,-72.45
1205.3,34.73,-17.36,-72.45
1246.7,34.09,-19.27,-74.59
1287.0,34.45,-18.91,-73.78
1328.6,34.45,-18.91,-73.78
1369.0,32.91,-19.18,-73.57
