timestamp,x_uT,y_uT,z_uT
2.5,30.91,-15.45,-80.71
3.5,30.91,-15.45,-80.71
3.5,29.45,-15.82,-80.61
4.5,31.09,-15.00,-79.39
5.5,31.09,-15.00,-79.39
6.5,29.27,-15.27,-79.18
7.5,29.27,-15.27,-79.18
8.5,29.27,-15.27,-79.18
9.5,30.73,-15.55,-79.29
10.5,30.73,-15.55,-79.29
11.5,31.45,-17.18,-80.10
12.5,27.00,-13.91,-79.18
12.5,27.00,-13.91,-79.18
13.5,31.64,-15.55,-79.59
14.5,31.64,-15.55,-79.59
15.5,29.36,-18.82,-79.80
16.5,29.64,-19.73,-81.33
17.5,29.64,-19.73,-81.33
18.5,30.00,-16.64,-83.78
18.5,30.55,-15.27,-82.65
19.6,30.55,-15.27,-82.65
20.6,28.27,-15.73,-80.61
22.4,28.27,-15.73,-80.61
23.6,30.36,-17.00,-80.20
24.6,30.45,-15.91,-82.45
24.6,30.45,-15.91,-82.45
26.0,29.55,-14.18,-81.02
27.5,33.09,-14.36,-81.22
27.5,33.09,-14.36,-81.22
29.0,31.73,-15.00,-81.73
30.0,31.73,-15.00,-81.73
31.0,29.91,-19.09,-82.14
32.3,28.82,-16.18,-82.14
33.3,28.82,-16.18,-82.14
34.3,29.36,-15.36,-79.08
35.3,32.00,-17.27,-82.65
38.5,32.00,-17.27,-82.65
40.4,28.64,-15.36,-80.71
40.4,28.64,-15.36,-80.71
41.4,31.18,-13.82,-81.22
42.4,29.45,-16.09,-81.73
43.5,29.45,-16.09,-81.73
44.5,30.00,-15.73,-82.55
45.6,29.45,-15.45,-81.22
46.5,29.45,-15.45,-81.22
47.5,30.27,-17.55,-82.55
48.9,30.27,-17.55,-82.55
50.1,29.91,-16.00,-80.41
51.1,29.09,-19.45,-79.69
52.1,29.09,-19.45,-79.69
53.6,27.36,-20.36,-78.98
54.7,26.27,-17.73,-80.20
55.6,26.27,-17.73,-80.20
55.6,27.73,-18.55,-81.73
56.6,27.73,-18.55,-81.73
57.6,24.55,-17.82,-81.02
58.6,26.45,-17.91,-80.31
59.6,26.45,-17.91,-80.31
60.6,25.64,-18.36,-79.80
61.6,26.27,-17.27,-80.10
62.6,26.27,-17.27,-80.10
63.6,24.09,-16.45,-81.53
64.6,24.09,-16.45,-81.53
65.7,26.09,-17.64,-80.10
67.0,27.36,-17.45,-79.49
68.0,27.36,-17.45,-79.49
69.5,25.27,-17.91,-79.90
70.5,26.55,-18.27,-81.22
71.5,26.55,-18.27,-81.22
72.5,27.18,-15.91,-80.20
72.5,27.18,-15.91,-80.20
73.5,28.73,-16.55,-79.69
74.5,24.45,-17.27,-80.92
75.5,24.45,-17.27,-80.92
76.5,25.00,-17.82,-80.10
77.5,26.18,-16.27,-79.80
78.5,26.18,-16.27,-79.80
79.5,27.45,-20.27,-80.51
80.5,27.45,-20.27,-80.51
81.5,27.09,-18.09,-80.51
82.5,28.18,-17.09,-80.51
82.5,28.18,-17.09,-80.51
83.7,25.91,-19.27,-80.51
85.0,26.18,-16.45,-80.82
86.0,26.18,-16.45,-80.82
87.1,26.55,-17.73,-80.92
88.1,26.55,-17.73,-80.92
89.1,27.55,-14.91,-81.63
90.1,26.00,-17.91,-80.00
91.1,26.00,-17.91,-80.00
92.1,25.82,-16.82,-80.41
92.1,27.82,-18.27,-81.22
93.1,27.82,-18.27,-81.22
94.1,28.45,-17.55,-80.20
95.1,28.45,-17.55,-80.20
96.1,26.36,-18.00,-82.86
97.1,25.73,-18.27,-80.00
98.1,25.73,-18.27,-80.00
100.1,26.09,-15.55,-80.00
101.1,25.64,-15.45,-82.45
102.1,25.64,-15.45,-82.45
103.1,27.55,-18.18,-78.88
104.1,27.55,-18.18,-78.88
104.1,28.27,-17.09,-81.02
105.1,25.55,-17.73,-80.82
106.1,25.55,-17.73,-80.82
107.1,26.45,-16.64,-81.22
108.1,25.45,-18.91,-79.49
109.1,25.45,-18.91,-79.49
110.1,31.45,-17.55,-81.33
110.1,31.45,-17.55,-81.33
111.1,26.45,-17.09,-80.10
112.1,27.27,-18.64,-81.02
113.1,27.27,-18.64,-81.02
114.1,26.00,-17.00,-81.22
115.5,26.55,-17.27,-80.82
116.6,26.55,-17.27,-80.82
116.6,25.45,-18.45,-80.41
117.6,25.45,-18.45,-80.41
118.6,25.09,-17.64,-80.61
119.6,27.00,-17.73,-81.84
120.6,27.00,-17.73,-81.84
121.6,26.09,-17.27,-80.20
122.6,26.00,-18.00,-80.20
123.6,26.00,-18.00,-80.20
123.6,27.36,-18.73,-80.82
124.6,27.36,-18.73,-80.82
125.6,26.64,-18.09,-81.02
126.6,26.91,-17.73,-80.41
127.6,26.91,-17.73,-80.41
128.6,25.45,-16.73,-80.92
129.6,24.55,-15.36,-80.71
130.6,24.55,-15.36,-80.71
131.9,28.91,-17.36,-81.84
132.9,28.91,-17.36,-81.84
132.9,24.82,-18.45,-80.61
133.9,26.27,-16.27,-80.10
134.9,26.27,-16.27,-80.10
135.9,26.00,-17.27,-81.33
136.9,27.09,-16.00,-80.41
137.9,27.09,-16.00,-80.41
138.9,27.27,-17.27,-80.31
139.9,27.27,-17.27,-80.31
140.9,26.45,-16.36,-82.24
141.9,27.09,-17.73,-80.00
141.9,27.09,-17.73,-80.00
142.9,26.00,-17.55,-80.71
143.9,26.00,-16.36,-80.00
144.9,28.82,-16.36,-80.00
145.9,24.73,-17.36,-80.31
146.9,24.73,-17.36,-80.31
148.9,25.82,-17.27,-80.61
150.0,25.36,-18.45,-79.80
152.0,25.36,-18.45,-79.80
152.0,28.00,-17.18,-80.51
153.0,28.00,-17.18,-80.51
154.0,28.00,-17.18,-80.51
155.0,28.09,-17.00,-80.51
156.0,28.09,-17.00,-80.51
157.0,26.82,-17.45,-80.92
158.0,26.00,-16.18,-81.53
158.0,26.00,-16.18,-81.53
159.0,25.36,-17.36,-80.10
160.0,25.36,-17.36,-80.10
161.0,25.36,-17.36,-80.10
162.0,26.09,-16.09,-81.73
163.0,26.09,-16.09,-81.73
164.5,27.45,-17.00,-78.78
165.1,25.36,-19.00,-81.12
166.2,25.36,-19.00,-81.12
167.2,26.27,-16.64,-81.43
167.2,26.27,-16.64,-81.43
169.2,25.82,-15.55,-81.43
169.7,24.55,-17.18,-81.02
170.8,24.55,-17.18,-81.02
171.8,24.09,-17.18,-80.10
172.3,27.27,-18.64,-78.88
173.4,27.27,-18.64,-78.88
174.5,26.73,-15.09,-80.82
174.5,26.73,-15.09,-80.82
175.5,27.18,-16.82,-81.12
176.5,26.73,-16.36,-80.71
177.7,26.73,-16.36,-80.71
178.8,26.73,-17.27,-79.39
179.8,26.91,-17.73,-81.33
179.8,26.91,-17.73,-81.33
180.8,25.64,-18.55,-80.41
181.8,25.64,-18.55,-80.41
182.8,26.45,-17.00,-80.71
184.0,26.45,-16.09,-82.35
185.0,26.45,-16.09,-82.35
185.0,28.27,-15.27,-79.59
186.0,28.09,-16.82,-80.51
187.0,28.09,-16.82,-80.51
188.0,26.73,-18.00,-80.10
189.0,26.73,-18.00,-80.10
190.0,27.00,-16.09,-80.61
191.0,23.18,-17.55,-81.53
191.0,23.18,-17.55,-81.53
192.0,25.00,-18.18,-79.69
193.0,24.27,-17.73,-80.31
194.0,24.27,-17.73,-80.31
195.0,29.82,-18.55,-79.90
196.0,29.82,-18.55,-79.90
197.0,25.18,-17.18,-80.51
198.1,28.18,-17.09,-80.71
198.1,28.18,-17.09,-80.71
199.1,27.00,-17.18,-81.94
200.1,26.36,-18.00,-80.10
201.1,26.36,-18.00,-80.10
202.1,28.09,-17.64,-81.02
203.1,28.09,-17.64,-81.02
204.1,25.91,-17.36,-79.59
204.1,26.73,-16.64,-79.18
205.1,26.73,-16.64,-79.18
206.1,27.73,-18.18,-81.73
207.1,25.00,-16.36,-82.24
208.1,25.00,-16.36,-82.24
209.1,26.00,-19.55,-80.51
210.1,26.00,-19.55,-80.51
210.1,25.64,-18.00,-79.08
211.1,26.91,-17.91,-80.41
212.1,26.91,-17.91,-80.41
213.1,26.36,-19.18,-80.92
213.1,24.09,-17.82,-81.84
215.1,24.09,-17.82,-81.84
215.1,25.64,-17.45,-78.67
216.1,25.64,-17.45,-78.67
217.1,26.73,-15.82,-79.69
218.1,27.09,-16.36,-80.71
219.1,27.09,-16.36,-80.71
220.1,26.64,-17.82,-80.31
221.0,28.36,-17.36,-80.00
222.1,28.36,-17.36,-80.00
222.1,27.82,-16.64,-80.10
223.1,27.82,-16.64,-80.10
224.1,26.00,-17.36,-81.53
225.0,25.73,-19.27,-80.20
226.0,25.73,-19.27,-80.20
227.0,27.09,-16.45,-80.31
228.0,26.91,-17.55,-78.16
228.0,26.91,-17.55,-78.16
229.1,25.91,-15.91,-81.33
230.1,25.91,-15.91,-81.33
231.1,24.64,-16.45,-80.41
232.1,27.73,-15.45,-79.59
233.1,27.73,-15.45,-79.59
234.1,25.73,-17.64,-80.51
234.1,24.82,-17.27,-79.80
235.1,24.82,-17.27,-79.80
236.1,26.82,-18.09,-81.12
237.1,26.82,-18.09,-81.12
238.1,25.55,-15.45,-80.31
239.1,27.64,-19.55,-81.02
240.1,27.64,-19.55,-81.02
241.6,25.91,-16.55,-79.59
242.6,26.09,-16.55,-80.10
242.6,26.09,-16.55,-80.10
243.6,26.55,-17.27,-81.33
244.6,26.55,-17.27,-81.33
245.6,26.27,-18.27,-79.90
246.6,26.73,-18.36,-81.43
247.6,26.73,-18.36,-81.43
248.6,26.36,-17.18,-81.33
249.6,26.82,-18.00,-80.20
250.6,26.82,-18.00,-80.20
250.6,26.36,-18.45,-80.61
251.6,26.36,-18.45,-80.61
252.6,27.64,-16.82,-79.49
253.6,26.45,-17.36,-80.51
254.6,26.45,-17.36,-80.51
255.6,25.82,-18.36,-80.71
256.6,26.91,-16.91,-80.51
257.6,26.91,-16.91,-80.51
257.6,26.00,-17.45,-80.00
258.6,26.00,-17.45,-80.00
259.6,28.91,-18.00,-80.61
260.6,26.36,-18.45,-80.20
261.6,26.36,-18.45,-80.20
262.6,26.73,-18.36,-81.73
263.6,26.00,-16.64,-80.00
264.6,26.00,-16.64,-80.00
265.6,28.27,-17.09,-80.82
265.6,28.27,-17.09,-80.82
266.6,25.18,-17.73,-80.41
267.6,26.00,-16.09,-80.82
268.6,26.00,-16.09,-80.82
269.6,27.82,-19.18,-81.33
270.6,26.18,-18.36,-80.41
271.6,26.18,-18.36,-80.41
271.6,25.36,-18.82,-80.41
273.1,25.36,-18.82,-80.41
274.2,25.64,-16.91,-80.10
275.2,27.36,-17.09,-79.80
276.2,27.36,-17.09,-79.80
277.2,25.82,-16.09,-80.51
277.2,24.27,-18.45,-81.43
278.2,24.27,-18.45,-81.43
279.2,28.00,-18.82,-79.59
280.2,28.00,-18.82,-79.59
281.2,25.09,-17.27,-81.53
281.2,27.82,-16.36,-80.51
282.7,27.82,-16.36,-80.51
283.7,27.45,-17.00,-80.31
284.7,25.09,-17.18,-80.31
285.7,25.09,-17.18,-80.31
286.7,26.09,-19.27,-81.94
287.7,26.09,-19.27,-81.94
288.7,25.55,-16.73,-77.96
289.9,27.55,-16.45,-80.00
289.9,27.55,-16.45,-80.00
290.9,28.09,-16.09,-79.69
291.9,25.91,-17.00,-80.92
292.9,25.91,-17.00,-80.92
293.9,26.45,-15.82,-79.29
294.9,26.45,-15.82,-79.29
295.9,27.45,-18.64,-81.33
296.9,27.73,-18.09,-80.00
296.9,27.73,-18.09,-80.00
297.9,26.82,-19.64,-80.71
298.9,28.09,-16.73,-80.82
299.9,28.09,-16.73,-80.82
300.9,27.09,-15.82,-80.41
301.9,27.09,-15.82,-80.41
302.9,25.82,-14.91,-80.61
303.9,28.36,-19.45,-77.96
304.9,28.36,-19.45,-77.96
305.9,26.00,-16.55,-80.31
305.9,26.00,-16.55,-80.31
306.9,26.00,-16.55,-80.31
307.9,27.55,-16.64,-80.82
308.9,27.55,-16.64,-80.82
309.9,26.82,-17.82,-80.71
310.9,26.00,-18.27,-80.41
311.9,26.00,-18.27,-80.41
312.9,26.18,-16.91,-80.00
312.9,26.18,-16.91,-80.00
313.9,27.73,-17.00,-77.55
314.9,26.82,-16.64,-80.41
315.9,26.82,-16.64,-80.41
316.9,25.09,-17.00,-80.31
318.2,24.82,-16.36,-80.10
319.2,24.82,-16.36,-80.10
320.2,27.55,-19.45,-81.33
321.2,27.55,-19.45,-81.33
