timestamp,x_uT,y_uT,z_uT
0.0,29.82,-17.91,-90.41
2.7,29.82,-17.91,-90.41
4.2,31.91,-16.09,-91.02
6.2,31.91,-16.09,-91.02
7.2,30.09,-17.45,-91.94
8.4,31.45,-18.27,-91.02
10.6,31.45,-18.27,-91.02
11.6,33.09,-18.45,-90.31
12.6,30.27,-17.55,-92.04
14.1,30.27,-17.55,-92.04
15.1,28.91,-17.55,-89.39
16.1,28.91,-17.55,-89.39
17.1,31.73,-18.36,-91.12
18.1,32.18,-17.55,-91.22
19.1,32.18,-17.55,-91.22
19.1,30.45,-16.45,-90.71
20.1,31.36,-18.27,-92.14
21.6,31.36,-18.27,-92.14
23.2,29.09,-16.36,-90.20
25.2,29.09,-16.36,-90.20
27.2,32.09,-18.00,-90.10
28.2,28.82,-18.64,-88.78
29.6,28.82,-18.64,-88.78
30.6,30.45,-18.45,-90.10
31.6,30.45,-18.45,-90.10
32.6,30.45,-18.45,-90.10
32.6,31.91,-18.64,-90.20
35.1,31.91,-18.64,-90.20
37.1,31.36,-19.82,-91.53
38.1,32.09,-18.45,-90.71
39.1,32.09,-18.45,-90.71
40.1,31.55,-17.09,-90.82
42.2,31.55,-17.09,-90.82
61.9,31.55,-17.36,-90.92
102.7,31.45,-18.00,-90.00
144.3,31.45,-18.00,-90.00
184.8,32.09,-16.73,-89.39
225.5,33.36,-19.45,-90.00
267.4,33.36,-19.45,-90.00
307.8,32.82,-17.91,-90.92
349.0,32.82,-17.91,-90.92
389.5,30.91,-18.45,-91.63
431.6,30.91,-16.00,-90.00
472.6,30.91,-16.00,-90.00
513.1,29.27,-16.73,-91.84
554.6,31.64,-18.36,-91.12
594.6,31.64,-18.36,-91.12
636.6,31.09,-16.18,-89.69
677.8,31.09,-16.18,-89.69
718.4,31.36,-18.18,-92.24
758.8,32.64,-15.45,-91.53
800.6,32.64,-15.45,-91.53
841.3,29.82,-17.73,-92.04
882.6,29.73,-18.55,-90.71
923.4,29.73,-18.55,-90.71
964.4,30.00,-17.45,-91.43
1005.6,30.00,-17.45,-91.43
1046.6,31.73,-17.36,-92.14
1087.5,31.09,-16.64,-91.53
1127.4,31.09,-16.64,-91.53
1169.3,31.18,-17.91,-91.33
1209.8,32.18,-17.09,-90.51
1251.7,32.18,-17.09,-90.51
1292.2,30.36,-16.73,-90.92
1333.6,30.36,-16.73,-90.92
1373.7,30.73,-19.18,-93.37
1415.2,28.18,-16.91,-91.63
1457.4,28.18,-16.91,-91.63
1497.7,32.36,-17.55,-91.53
1538.5,29.82,-17.27,-90.41
1578.5,29.82,-17.27,-90.41
1620.7,29.18,-16.82,-90.41
1660.7,29.18,-16.82,-90.41
1704.8,30.55,-17.18,-90.82
1742.8,28.82,-18.18,-90.20
1784.7,28.82,-18.18,-90.20
1825.0,32.18,-17.73,-90.20
1866.7,31.64,-15.73,-90.61
1906.8,31.64,-15.73,-90.61
1948.5,30.45,-17.91,-90.61
1989.8,30.45,-17.91,-90.61
2030.6,29.36,-17.45,-91.22
2071.3,29.82,-18.36,-91.73
2112.3,29.82,-18.36,-91.73
2154.2,30.82,-17.36,-91.43
2194.1,32.00,-16.36,-90.31
2235.4,32.00,-16.36,-90.31
2275.5,31.82,-16.64,-89.49
2317.6,31.82,-16.64,-89.49
2357.5,30.36,-16.64,-90.51
2399.7,30.73,-17.27,-90.92
2440.6,30.73,-17.27,-90.92
2481.1,29.64,-17.64,-90.31
2522.1,30.91,-17.73,-89.39
2562.9,30.91,-17.73,-89.39
2604.3,31.55,-19.18,-89.90
2645.6,31.55,-19.18,-89.90
2686.2,30.64,-17.55,-91.43
2726.8,29.82,-16.73,-90.00
2768.6,29.82,-16.73,-90.00
2809.1,29.73,-16.36,-91.63
