timestamp,x_uT,y_uT,z_uT
14.1,32.36,-16.09,-97.35
15.6,32.36,-16.09,-97.35
15.6,31.27,-17.73,-91.12
15.6,31.27,-17.73,-91.12
15.6,33.00,-17.18,-89.80
15.6,31.18,-17.64,-89.08
15.6,31.18,-17.64,-89.08
15.6,31.18,-16.09,-87.96
15.6,31.18,-17.45,-88.98
15.6,29.73,-17.45,-88.98
15.6,30.91,-17.55,-91.33
15.6,30.91,-17.55,-91.33
15.6,31.73,-19.09,-92.76
15.6,30.09,-17.73,-96.22
15.6,30.09,-17.73,-96.22
15.6,27.55,-17.64,-101.12
15.6,27.55,-17.64,-101.12
15.6,27.55,-17.64,-101.12
15.6,14.64,-20.91,-123.37
30.1,14.64,-20.91,-123.37
31.3,5.82,-20.73,-133.57
32.3,-2.27,-22.91,-143.98
32.3,-2.27,-22.91,-143.98
34.5,-6.27,-25.73,-148.67
34.5,-6.27,-25.73,-148.67
36.5,-5.36,-24.09,-150.82
37.5,-1.73,-26.55,-151.94
38.6,-1.73,-26.55,-151.94
38.6,-2.82,-25.27,-153.27
38.6,-4.09,-27.73,-152.45
40.6,-4.09,-27.73,-152.45
41.7,-7.82,-29.27,-153.37
43.9,-7.82,-29.27,-153.37
45.1,-4.09,-25.27,-152.24
46.2,-3.27,-25.73,-151.12
46.2,-3.27,-25.73,-151.12
47.4,2.27,-23.55,-147.55
47.4,8.82,-24.18,-136.73
47.4,8.82,-24.18,-136.73
47.4,19.27,-21.45,-118.78
47.4,19.27,-21.45,-118.78
47.4,29.55,-18.45,-103.88
47.4,30.82,-18.73,-99.29
54.1,30.82,-18.73,-99.29
54.1,32.82,-18.45,-94.90
56.1,33.45,-18.36,-92.65
56.1,33.45,-18.36,-92.65
56.1,31.91,-20.73,-91.84
56.1,31.91,-20.73,-91.84
56.1,30.82,-18.91,-89.39
56.1,32.36,-17.18,-92.04
56.1,32.36,-17.18,-92.04
62.3,30.55,-20.27,-91.94
62.3,30.64,-18.73,-90.41
62.3,30.64,-18.73,-90.41
62.3,34.00,-20.09,-91.63
62.3,34.00,-20.09,-91.63
62.3,32.55,-16.91,-92.35
62.3,29.55,-17.91,-92.96
62.3,29.55,-17.91,-92.96
62.3,30.45,-18.00,-92.55
70.6,31.82,-17.55,-92.96
72.4,31.82,-17.55,-92.96
72.4,32.36,-19.18,-92.14
73.4,32.36,-19.18,-92.14
74.4,31.91,-17.91,-91.63
75.4,32.27,-18.27,-90.71
76.4,32.27,-18.27,-90.71
76.4,29.36,-17.27,-91.63
77.4,30.45,-18.73,-92.76
78.4,30.45,-18.73,-92.76
79.4,28.73,-15.36,-93.16
80.4,28.73,-15.36,-93.16
80.9,32.00,-18.55,-91.94
80.9,31.27,-18.18,-91.43
80.9,31.27,-18.18,-91.43
80.9,31.18,-19.09,-91.53
80.9,29.91,-17.18,-89.80
80.9,29.91,-17.18,-89.80
80.9,30.55,-17.27,-90.92
87.1,30.55,-17.27,-90.92
87.1,31.64,-16.45,-90.20
87.1,29.82,-16.36,-88.78
89.5,29.82,-16.36,-88.78
89.5,31.64,-20.27,-89.59
89.5,29.73,-20.82,-91.43
89.5,29.73,-20.82,-91.43
89.5,29.82,-17.55,-89.59
89.5,29.82,-17.55,-89.59
89.5,30.45,-18.09,-89.80
89.5,30.64,-17.45,-90.31
96.1,30.64,-17.45,-90.31
96.1,31.73,-19.00,-90.00
96.1,31.18,-17.82,-88.16
96.1,31.18,-17.82,-88.16
96.1,32.00,-18.36,-88.57
96.1,32.00,-18.36,-88.57
96.1,32.73,-18.18,-90.00
96.1,32.18,-18.64,-90.31
96.1,32.18,-18.64,-90.31
96.1,31.55,-17.09,-89.80
103.8,33.82,-18.09,-90.61
103.8,33.82,-18.09,-90.61
103.8,30.82,-15.82,-87.96
103.8,30.82,-15.82,-87.96
103.8,30.00,-16.36,-90.71
103.8,31.82,-17.55,-90.51
103.8,31.82,-17.55,-90.51
109.9,30.45,-18.09,-88.57
137.0,31.18,-15.45,-91.12
185.2,31.18,-15.45,-91.12
224.0,31.18,-17.09,-90.82
270.6,31.18,-17.09,-90.82
313.5,30.45,-18.27,-90.20
352.3,29.27,-16.73,-90.20
396.1,29.27,-16.73,-90.20
437.0,28.91,-19.27,-90.31
477.4,30.55,-18.64,-89.59
518.4,30.55,-18.64,-89.59
559.0,30.73,-16.73,-89.18
600.2,30.73,-16.73,-89.18
641.8,30.91,-17.73,-91.43
682.2,30.36,-17.27,-88.98
723.3,30.36,-17.27,-88.98
763.9,32.09,-16.64,-90.82
804.9,32.55,-17.18,-90.82
845.8,32.55,-17.18,-90.82
