timestamp,x_uT,y_uT,z_uT
36.4,32.00,-21.18,-66.94
80.9,37.36,-20.91,-70.41
115.6,37.36,-20.91,-70.41
161.4,37.82,-19.55,-70.10
200.3,41.45,-16.73,-69.90
237.9,41.45,-16.73,-69.90
281.7,38.36,-13.00,-68.98
326.1,35.27,-14.00,-67.96
365.6,35.27,-14.00,-67.96
406.6,33.45,-11.18,-68.47
439.1,33.45,-11.18,-68.47
486.6,30.09,-11.18,-68.57
529.1,30.09,-14.18,-66.84
571.8,30.09,-14.18,-66.84
612.4,28.09,-12.36,-67.45
652.6,26.00,-12.09,-69.18
681.0,26.00,-12.09,-69.18
733.0,26.27,-15.91,-69.39
775.9,26.27,-15.91,-69.39
816.2,27.64,-16.73,-67.76
849.1,27.27,-21.64,-67.86
899.6,27.27,-21.64,-67.86
940.1,27.91,-20.18,-66.94
972.6,29.09,-19.82,-66.43
1020.8,29.09,-19.82,-66.43
1052.5,30.18,-22.91,-67.24
1100.5,30.18,-22.91,-67.24
1143.4,30.91,-21.18,-68.98
1181.1,32.00,-20.36,-69.18
1215.3,32.00,-20.36,-69.18
1263.1,30.18,-22.73,-69.18
1297.3,32.09,-21.09,-69.49
1347.6,32.09,-21.09,-69.49
1380.4,32.18,-25.45,-68.78
1430.6,32.18,-25.45,-68.78
1464.9,30.45,-25.27,-70.41
1513.3,30.55,-25.45,-69.59
1547.0,30.55,-25.45,-69.59
1596.3,30.18,-23.82,-69.29
1630.7,30.82,-22.09,-70.20
1679.5,30.82,-22.09,-70.20
1718.4,30.00,-23.73,-69.39
1750.6,30.00,-23.73,-69.39
1798.1,30.18,-24.73,-69.69
1830.5,28.45,-23.82,-70.51
1880.4,28.45,-23.82,-70.51
1914.9,30.64,-25.00,-72.45
1965.3,29.91,-27.18,-71.33
2006.4,29.91,-27.18,-71.33
2045.2,29.45,-24.27,-71.22
2080.7,29.45,-24.27,-71.22
2128.0,29.36,-25.45,-73.27
2161.6,28.82,-25.55,-72.65
2209.6,28.82,-25.55,-72.65
2242.0,28.55,-25.45,-70.82
2290.4,30.36,-26.36,-71.84
2334.0,30.36,-26.36,-71.84
2366.0,30.18,-27.64,-72.76
2415.0,30.18,-27.64,-72.76
2441.9,30.09,-27.64,-73.06
2491.7,31.45,-27.00,-71.12
2538.1,31.45,-27.00,-71.12
2579.5,32.82,-29.09,-72.65
2620.1,32.82,-26.45,-73.88
