timestamp,x_uT,y_uT,z_uT
0.0,30.18,-16.82,-69.80
2.0,30.18,-16.82,-69.80
2.0,31.64,-19.18,-70.31
2.0,32.91,-17.00,-69.90
3.0,32.91,-17.00,-69.90
3.0,32.09,-14.55,-70.20
4.0,32.09,-14.55,-70.20
4.0,33.55,-17.18,-70.61
4.0,33.36,-17.00,-69.69
5.4,33.36,-17.00,-69.69
5.4,32.18,-16.64,-69.39
5.4,32.27,-18.45,-70.10
5.4,32.27,-18.45,-70.10
5.4,32.00,-17.27,-69.29
7.2,32.00,-17.27,-69.29
7.2,29.91,-17.27,-67.55
7.2,32.27,-14.64,-67.45
7.2,32.27,-14.64,-67.45
7.2,31.36,-17.27,-68.06
7.2,31.91,-17.09,-68.98
7.2,31.91,-17.09,-68.98
7.2,31.36,-18.09,-67.35
7.2,31.36,-18.09,-67.35
7.2,31.00,-17.73,-67.76
7.2,31.36,-17.45,-68.16
7.2,31.36,-17.45,-68.16
7.2,30.82,-18.09,-68.06
7.2,30.82,-18.09,-68.06
7.2,30.82,-18.09,-68.06
54.1,27.27,-16.73,-67.55
91.3,27.27,-16.73,-67.55
127.6,31.91,-17.45,-67.35
171.1,31.09,-17.73,-67.96
218.7,31.09,-17.73,-67.96
258.1,30.91,-17.55,-68.57
300.5,30.91,-17.55,-68.57
340.3,31.45,-17.00,-68.27
382.9,30.27,-16.45,-66.22
422.0,30.27,-16.45,-66.22
464.0,31.00,-16.91,-68.37
505.0,30.27,-19.00,-68.78
545.6,30.27,-19.00,-68.78
587.4,31.91,-16.45,-67.55
628.4,31.91,-16.45,-67.55
668.8,32.82,-15.18,-69.59
710.1,30.45,-19.45,-69.49
751.1,30.45,-19.45,-69.49
792.7,31.09,-16.55,-71.43
832.9,31.55,-15.18,-70.82
873.8,31.55,-15.18,-70.82
915.0,33.55,-17.45,-71.12
955.9,33.55,-17.45,-71.12
996.4,31.73,-17.18,-70.51
1038.2,32.82,-16.09,-70.71
1078.5,32.82,-16.09,-70.71
1120.7,34.36,-16.82,-72.04
1161.6,32.09,-15.73,-69.29
1202.1,32.09,-15.73,-69.29
1243.9,33.36,-16.82,-71.53
1285.0,33.36,-16.82,-71.53
1324.4,32.18,-18.82,-71.12
1365.9,33.45,-18.00,-69.80
1406.7,33.45,-18.00,-69.80
1448.2,33.09,-18.55,-68.67
1488.4,31.82,-17.45,-68.57
1530.9,31.82,-17.45,-68.57
1570.7,31.00,-17.64,-68.57
1612.6,31.00,-17.64,-68.57
1652.3,32.09,-17.00,-67.86
1694.8,34.55,-18.55,-66.53
1735.4,34.55,-18.55,-66.53
1775.9,34.18,-16.91,-68.67
1816.7,31.55,-17.36,-68.47
1858.9,31.55,-17.36,-68.47
1898.8,31.45,-16.64,-67.45
1939.5,31.45,-16.64,-67.45
1981.8,32.55,-18.00,-68.27
2021.1,33.18,-16.82,-69.80
2061.5,33.18,-16.82,-69.80
2102.8,32.27,-18.55,-67.86
2144.8,33.45,-19.27,-67.86
2182.0,33.45,-19.27,-67.86
2220.2,32.45,-20.36,-67.96
2261.9,32.45,-20.36,-67.96
2305.1,32.64,-21.55,-70.41
2341.7,29.64,-19.18,-69.18
2390.0,29.64,-19.18,-69.18
2423.5,35.45,-18.36,-67.65
2469.8,31.55,-18.73,-67.65
2505.9,31.55,-18.73,-67.65
2552.1,33.09,-18.36,-67.14
2582.5,33.09,-18.36,-67.14
2630.4,33.82,-19.36,-68.78
2677.9,31.64,-18.18,-68.67
2717.9,31.64,-18.18,-68.67
2756.5,30.64,-19.36,-68.67
2799.0,31.18,-17.45,-68.47
2831.1,31.18,-17.45,-68.47
2879.3,30.91,-15.09,-70.31
2921.9,30.91,-15.09,-70.31
2959.7,35.00,-17.27,-68.78
3004.6,29.64,-17.00,-68.78
3041.0,29.64,-17.00,-68.78
3087.2,34.00,-18.36,-69.90
3119.9,33.18,-17.73,-69.59
3167.5,33.18,-17.73,-69.59
3203.0,33.73,-20.73,-68.37
3251.9,33.73,-20.73,-68.37
3286.1,31.36,-19.36,-68.16
3332.2,34.82,-17.91,-68.06
3364.8,34.82,-17.91,-68.06
3413.6,32.64,-17.82,-68.98
3455.3,33.09,-19.91,-68.37
3493.8,33.09,-19.91,-68.37
3537.9,31.73,-18.91,-67.96
3578.9,31.73,-18.91,-67.96
3606.5,33.45,-19.09,-70.92
3655.6,33.18,-17.55,-69.59
3700.7,33.18,-17.55,-69.59
3735.7,34.73,-19.09,-68.88
3785.0,34.36,-19.09,-68.88
3822.0,34.36,-19.09,-68.88
3865.4,33.18,-18.82,-68.67
3905.0,33.18,-18.82,-68.67
3947.5,33.18,-20.00,-69.29
3981.8,31.36,-19.00,-70.71
4026.1,31.36,-19.00,-70.71
4070.3,32.18,-18.00,-70.00
4101.9,33.09,-18.09,-69.59
4152.2,33.09,-18.09,-69.59
4190.8,31.64,-16.18,-69.39
4228.5,31.64,-16.18,-69.39
4273.4,31.73,-17.27,-68.88
4316.9,34.27,-18.73,-69.18
4356.6,34.27,-18.73,-69.18
4397.0,30.36,-18.36,-69.39
4429.1,33.73,-17.09,-68.78
4480.8,33.73,-17.09,-68.78
4515.0,34.45,-16.18,-69.39
4560.6,34.45,-16.18,-69.39
4590.6,33.64,-17.45,-68.47
4638.7,33.45,-18.82,-69.39
4686.2,33.45,-18.82,-69.39
4718.2,33.18,-15.36,-68.98
4766.3,34.27,-18.73,-68.47
4808.6,34.27,-18.73,-68.47
4849.4,32.82,-19.36,-67.96
4881.4,32.82,-19.36,-67.96
4931.7,30.18,-17.82,-66.94
4966.2,34.09,-16.64,-68.98
5013.9,34.09,-16.64,-68.98
5042.1,34.45,-21.36,-70.51
5086.5,33.27,-17.36,-67.35
5137.3,33.27,-17.36,-67.35
5177.0,34.09,-18.18,-69.39
5218.6,34.09,-18.18,-69.39
5260.3,32.64,-17.09,-68.47
5301.2,32.64,-17.45,-69.49
5334.4,32.64,-17.45,-69.49
5382.7,33.36,-19.82,-68.88
5422.5,33.27,-17.82,-68.57
5463.1,33.27,-17.82,-68.57
5495.2,35.45,-18.36,-69.08
5543.5,35.45,-18.36,-69.08
5575.9,32.82,-18.55,-68.47
5624.9,33.64,-16.45,-68.06
5664.6,33.64,-16.45,-68.06
5705.1,33.45,-20.82,-69.08
5752.7,31.82,-18.73,-68.16
5789.9,31.82,-18.73,-68.16
5834.9,35.36,-16.45,-66.33
5872.1,35.36,-16.45,-66.33
5916.6,31.73,-17.82,-68.88
5953.1,34.73,-18.45,-67.76
5997.0,34.73,-18.45,-67.76
6028.6,32.45,-17.64,-67.76
6078.2,31.00,-16.09,-68.98
6120.3,31.00,-16.09,-68.98
6154.7,33.27,-18.36,-67.24
6202.2,33.27,-18.36,-67.24
6244.6,31.73,-16.00,-67.86
6285.8,29.64,-17.00,-67.04
6326.1,29.64,-17.00,-67.04
6366.4,32.82,-19.73,-67.96
6408.5,34.09,-18.64,-67.86
6449.9,34.09,-18.64,-67.86
6489.6,31.82,-19.09,-66.84
6530.8,31.82,-19.09,-66.84
6571.8,33.00,-18.64,-66.73
6613.1,33.00,-18.82,-69.90
6653.4,33.00,-18.82,-69.90
6695.0,34.64,-20.73,-75.92
6736.5,35.36,-20.82,-87.65
6777.9,35.36,-20.82,-87.65
6818.8,36.45,-29.36,-100.71
6859.6,36.45,-29.36,-100.71
6900.9,40.18,-35.73,-115.41
6941.5,36.82,-44.36,-123.57
6982.9,36.82,-44.36,-123.57
7023.1,42.09,-46.45,-131.22
7064.1,37.45,-58.91,-150.31
7104.5,37.45,-58.91,-150.31
7146.6,43.00,-71.45,-184.39
7186.7,43.00,-71.45,-184.39
7228.4,41.45,-84.91,-202.86
7269.4,39.09,-102.91,-417.96
7310.4,39.09,-102.91,-417.96
7351.9,37.45,-106.36,-417.96
7392.1,34.00,-103.27,-417.96
7434.0,34.00,-103.27,-417.96
7474.4,35.73,-96.00,-417.96
7515.6,35.73,-96.00,-417.96
7555.7,35.91,-91.45,-417.96
7596.9,38.91,-89.36,-417.96
7637.5,38.91,-89.36,-417.96
7679.5,40.00,-82.45,-202.45
7720.4,40.00,-59.64,-197.04
7761.4,36.91,-59.64,-170.92
7802.9,32.91,-33.73,-113.47
7842.3,32.91,-33.73,-113.47
7884.1,32.00,-22.09,-83.98
7925.1,32.73,-19.36,-71.33
7965.6,32.73,-19.36,-71.33
8007.6,32.27,-18.27,-68.57
8048.6,32.27,-18.27,-68.57
8088.8,33.00,-18.18,-67.45
8129.9,29.27,-18.09,-67.65
8171.1,29.27,-18.09,-67.65
8212.9,30.00,-18.00,-65.41
8252.9,31.73,-16.82,-67.24
8294.9,31.73,-16.82,-67.24
8335.6,31.36,-17.27,-67.24
8376.5,31.36,-17.27,-67.24
8417.9,30.82,-17.36,-66.94
8458.9,30.73,-17.82,-67.86
8499.4,30.73,-17.82,-67.86
8539.2,33.73,-17.91,-67.45
8580.8,32.36,-16.27,-67.24
8621.5,32.36,-16.27,-67.24
8663.4,30.91,-18.64,-67.14
8703.3,30.91,-18.64,-67.14
8745.6,33.09,-18.00,-68.47
8786.3,32.64,-16.09,-68.16
8826.0,32.64,-16.09,-68.16
8868.0,30.64,-18.55,-67.04
8909.8,34.36,-19.82,-67.86
8950.6,34.36,-19.82,-67.86
8991.3,31.36,-17.91,-67.35
9032.2,31.36,-17.91,-67.35
9073.3,31.00,-19.00,-68.47
9114.5,32.00,-17.36,-67.55
9154.2,32.00,-17.36,-67.55
9196.6,34.27,-17.73,-66.53
9236.7,31.82,-18.82,-67.55
9278.0,31.82,-18.82,-67.55
9318.6,34.00,-18.00,-68.78
9359.8,34.00,-18.00,-68.78
9401.3,31.09,-19.73,-67.86
9441.6,33.55,-19.27,-68.27
9482.3,33.55,-19.27,-68.27
9524.7,31.00,-18.36,-68.47
9564.8,33.00,-17.45,-65.71
9605.4,33.00,-17.45,-65.71
9647.6,32.09,-19.64,-67.35
9687.0,32.09,-19.64,-67.35
9729.5,32.27,-16.91,-68.57
9769.9,33.64,-18.09,-69.39
9811.8,33.64,-18.09,-69.39
9852.8,32.00,-16.82,-67.65
9893.8,33.09,-19.18,-68.98
9934.8,33.09,-19.18,-68.98
9975.9,33.64,-18.64,-67.04
10015.8,33.64,-18.64,-67.04
10056.1,34.09,-16.18,-68.06
10098.6,33.91,-18.73,-68.06
10139.9,33.91,-18.73,-68.06
10180.7,30.64,-20.36,-68.06
10220.8,33.45,-18.18,-68.88
10262.9,33.45,-18.18,-68.88
10302.0,32.82,-17.18,-67.96
10343.1,32.82,-17.18,-67.96
10385.0,32.73,-17.64,-66.12
10426.3,32.73,-18.09,-67.65
10467.7,32.73,-18.09,-67.65
10508.0,31.82,-20.09,-68.27
10549.8,33.00,-18.73,-68.06
10589.2,33.00,-18.73,-68.06
10631.5,32.64,-14.55,-68.57
10671.6,32.64,-14.55,-68.57
10713.6,32.55,-16.91,-68.78
10754.1,31.09,-18.36,-66.84
10795.6,31.09,-18.36,-66.84
10836.5,32.64,-17.64,-68.67
10877.8,31.91,-16.64,-68.47
10917.9,31.91,-16.64,-68.47
10959.2,33.27,-18.73,-68.16
11000.8,33.27,-18.73,-68.16
11040.5,32.27,-18.18,-68.47
11082.9,31.00,-18.45,-67.76
11122.7,31.00,-18.45,-67.76
11165.0,34.55,-17.73,-66.94
11204.1,33.36,-18.55,-68.88
11246.6,33.36,-18.55,-68.88
11286.3,32.55,-18.00,-69.08
11328.6,32.55,-18.00,-69.08
11368.6,32.82,-17.82,-69.69
11410.4,31.27,-18.00,-69.69
11451.4,31.27,-18.00,-69.69
11491.5,33.27,-18.00,-70.31
11532.7,30.73,-18.09,-69.08
11573.6,30.73,-18.09,-69.08
11615.6,33.82,-15.91,-67.96
11655.5,33.82,-15.91,-67.96
11696.9,32.73,-17.82,-68.98
11737.5,31.91,-18.55,-70.31
11779.1,31.91,-18.55,-70.31
11819.8,33.82,-18.00,-69.59
11861.5,32.91,-19.18,-69.69
11901.3,32.91,-19.18,-69.69
11942.5,30.82,-15.64,-71.22
11983.5,30.82,-15.64,-71.22
12025.9,31.82,-21.45,-70.92
12065.8,33.45,-20.27,-71.22
12107.1,33.45,-20.27,-71.22
12148.4,30.27,-17.27,-68.98
12188.5,32.64,-19.91,-70.31
12230.8,32.64,-19.91,-70.31
12270.5,33.64,-19.09,-70.31
12313.0,33.64,-19.09,-70.31
12353.1,32.27,-18.00,-70.61
12394.0,32.27,-19.55,-70.10
12435.8,32.27,-19.55,-70.10
12476.5,31.73,-19.27,-70.20
12517.6,30.45,-18.00,-69.80
12559.1,30.45,-18.00,-69.80
12598.7,32.64,-18.45,-66.73
12639.8,32.64,-18.45,-66.73
12681.5,30.27,-19.55,-69.39
12720.8,32.91,-19.27,-71.02
12763.1,32.91,-19.27,-71.02
12802.9,31.00,-18.82,-68.37
12845.9,31.73,-19.64,-69.39
12886.5,31.73,-19.64,-69.39
12926.4,32.27,-18.36,-67.65
12968.9,32.27,-18.36,-67.65
13009.9,32.36,-16.55,-67.96
13049.9,32.27,-16.82,-67.96
