timestamp,x_uT,y_uT,z_uT
0.0,33.00,-17.73,-67.55
1.0,33.00,-17.73,-67.55
1.0,31.09,-18.91,-72.55
2.0,19.18,-30.45,-84.90
2.0,19.18,-30.45,-84.90
2.0,7.09,-35.09,-91.33
2.0,25.00,-23.55,-79.59
3.4,25.00,-23.55,-79.59
3.4,32.00,-19.00,-69.69
3.4,32.00,-19.00,-69.69
4.6,31.27,-17.00,-67.24
4.6,35.36,-18.27,-67.14
4.6,35.36,-18.27,-67.14
5.6,32.82,-18.45,-67.04
5.6,32.36,-16.36,-65.51
6.6,32.36,-16.36,-65.51
6.6,31.64,-18.73,-69.18
6.6,31.64,-18.73,-69.18
7.6,33.55,-20.55,-68.98
7.6,30.64,-19.55,-72.35
7.6,30.64,-19.55,-72.35
8.6,30.18,-19.00,-71.63
8.6,30.91,-23.18,-74.29
9.6,30.91,-23.18,-74.29
9.6,32.00,-20.27,-71.94
9.6,32.00,-20.27,-71.94
10.6,30.36,-19.45,-70.41
10.6,29.55,-20.45,-69.90
10.6,29.55,-20.45,-69.90
11.6,30.73,-20.27,-71.22
11.6,32.55,-19.00,-71.12
12.6,32.55,-19.00,-71.12
12.6,32.27,-20.55,-72.35
12.6,32.27,-20.55,-72.35
12.6,32.55,-18.27,-72.04
14.0,33.64,-21.55,-70.92
14.0,33.64,-21.55,-70.92
14.0,32.36,-18.18,-72.35
49.1,33.64,-21.91,-71.63
89.3,33.64,-21.91,-71.63
131.6,32.45,-20.73,-73.57
171.3,32.45,-20.73,-73.57
213.6,33.09,-21.00,-74.59
253.9,31.00,-20.27,-73.37
294.7,31.00,-20.27,-73.37
335.8,32.00,-21.00,-74.08
376.1,32.82,-19.73,-75.51
418.8,32.82,-19.73,-75.51
459.5,30.91,-18.73,-79.29
500.2,30.91,-18.73,-79.29
540.0,31.91,-22.18,-82.65
582.2,34.73,-19.55,-86.63
622.8,34.73,-19.55,-86.63
663.5,31.73,-19.18,-88.37
704.3,32.18,-18.36,-87.86
745.0,32.18,-18.36,-87.86
786.8,33.45,-18.27,-86.43
828.4,33.45,-18.27,-86.43
868.9,32.64,-17.91,-84.18
909.1,32.18,-17.27,-83.47
951.2,32.18,-17.27,-83.47
991.6,30.73,-19.27,-81.02
1033.1,30.73,-19.27,-81.02
1073.3,30.73,-19.27,-81.02
1114.6,31.18,-16.82,-82.45
1155.2,31.18,-16.82,-82.45
1197.6,31.09,-19.73,-82.14
1237.8,29.36,-20.45,-85.71
1278.8,29.36,-20.45,-85.71
1320.0,28.09,-18.82,-87.76
1361.2,28.09,-18.82,-87.76
1402.4,29.73,-20.64,-88.06
1442.9,30.82,-21.00,-91.02
1484.5,30.82,-21.00,-91.02
1524.6,33.18,-19.55,-92.65
1565.4,30.18,-20.00,-91.63
1606.0,30.18,-20.00,-91.63
1647.2,31.64,-19.55,-92.45
1687.8,31.64,-19.55,-92.45
1730.4,30.36,-19.36,-92.55
1770.1,31.64,-21.09,-93.06
1812.4,31.64,-21.09,-93.06
1853.3,29.55,-20.64,-93.16
1894.5,32.18,-20.82,-91.53
1935.4,32.18,-20.82,-91.53
1975.1,30.91,-20.55,-91.02
2016.2,30.91,-20.55,-91.02
2055.7,32.82,-20.09,-88.67
2097.7,27.91,-21.18,-90.51
2137.7,27.91,-21.18,-90.51
2180.0,30.36,-20.82,-89.49
2219.7,31.36,-21.91,-89.18
2261.8,31.36,-21.91,-89.18
2301.9,31.73,-20.82,-89.39
2343.8,31.73,-20.82,-89.39
2385.0,29.09,-22.27,-90.51
2425.4,31.55,-18.82,-91.12
2467.1,31.55,-18.82,-91.12
2508.0,31.55,-21.27,-90.20
2549.1,29.55,-21.45,-89.08
2589.6,29.55,-21.45,-89.08
2631.1,31.18,-19.27,-90.20
2670.7,31.18,-19.27,-90.20
2713.1,30.64,-23.45,-89.29
2753.4,30.18,-21.91,-88.37
2794.8,30.18,-21.91,-88.37
2835.4,30.36,-23.00,-89.39
2877.1,29.18,-22.64,-90.92
2918.1,29.18,-22.64,-90.92
2958.9,29.18,-23.00,-89.18
2999.1,29.18,-23.00,-89.18
3039.6,28.73,-22.36,-90.00
3081.4,29.64,-24.73,-91.94
3122.7,29.64,-24.73,-91.94
3163.1,30.09,-22.73,-92.55
3204.2,27.18,-20.09,-91.84
3245.7,27.18,-20.09,-91.84
3285.6,28.18,-22.82,-92.35
3327.6,28.18,-22.82,-92.35
3368.4,28.00,-23.09,-92.35
3409.2,28.09,-23.55,-92.04
3451.1,28.09,-23.55,-92.04
3492.0,26.91,-24.45,-92.14
3530.6,30.18,-23.55,-91.53
3570.4,30.18,-23.55,-91.53
3613.7,28.27,-22.45,-90.20
3642.3,28.27,-22.45,-90.20
3692.1,28.09,-22.82,-91.12
3722.3,27.45,-24.45,-91.12
3771.3,27.45,-24.45,-91.12
3818.0,26.45,-23.27,-89.59
3850.2,28.64,-23.27,-91.02
3900.6,28.64,-23.27,-91.02
3940.4,27.27,-22.27,-90.61
3980.0,27.27,-22.27,-90.61
4024.1,29.82,-22.36,-90.71
4065.7,28.18,-22.82,-91.53
4104.6,28.18,-22.82,-91.53
4143.9,28.82,-23.55,-90.31
4187.7,26.45,-21.73,-90.20
4221.2,26.45,-21.73,-90.20
4269.7,28.55,-20.73,-90.61
4304.4,28.55,-20.73,-90.61
4346.3,28.36,-24.27,-90.20
4394.2,27.18,-22.36,-91.12
4426.5,27.18,-22.36,-91.12
4474.8,28.64,-26.09,-90.41
4510.6,27.09,-23.00,-89.80
4556.6,27.09,-23.00,-89.80
4583.9,27.73,-25.00,-90.10
4633.4,27.73,-25.00,-90.10
4680.1,25.45,-24.00,-89.80
4712.5,27.82,-25.09,-90.71
4760.6,27.82,-25.09,-90.71
4801.1,28.27,-23.64,-90.20
4843.2,25.91,-22.36,-88.88
4875.1,25.91,-22.36,-88.88
4923.0,26.55,-23.45,-89.80
4959.0,26.55,-23.45,-89.80
5004.6,28.55,-23.18,-89.39
5049.4,25.73,-22.27,-88.57
5086.5,25.73,-22.27,-88.57
5119.5,28.45,-25.82,-90.61
5171.6,26.27,-25.64,-90.00
5207.6,26.27,-25.64,-90.00
5252.1,28.73,-23.55,-90.20
5291.6,28.73,-23.55,-90.20
5330.8,30.18,-24.45,-90.31
5377.5,29.82,-23.18,-90.00
5409.5,29.82,-23.18,-90.00
5458.3,27.55,-27.09,-90.92
5494.5,28.27,-21.82,-89.59
5538.0,28.27,-21.82,-89.59
5580.7,29.45,-22.45,-90.00
5622.4,29.45,-22.45,-90.00
5660.2,27.73,-21.82,-89.80
5702.1,29.09,-24.36,-89.08
5738.5,29.09,-24.36,-89.08
5779.6,26.91,-23.73,-89.29
5827.8,26.91,-23.64,-89.39
5859.8,26.91,-23.64,-89.39
5909.4,28.00,-23.27,-88.16
5944.6,28.00,-23.27,-88.16
5987.1,27.55,-22.73,-89.39
6023.1,28.45,-21.45,-87.76
6071.3,28.45,-21.45,-87.76
6105.8,28.00,-22.45,-87.96
6156.5,28.82,-22.00,-89.69
6183.7,28.82,-22.00,-89.69
6238.0,29.55,-24.27,-89.49
6275.9,29.55,-24.27,-89.49
6319.5,27.36,-23.73,-88.57
6361.7,27.36,-24.91,-87.86
6401.1,27.36,-24.91,-87.86
6442.6,28.91,-24.64,-88.57
6484.6,27.36,-24.00,-87.24
6525.1,27.36,-24.00,-87.24
6555.9,29.36,-22.73,-87.45
6605.9,29.36,-22.73,-87.45
6638.9,27.27,-23.73,-87.96
6688.8,27.82,-25.18,-87.96
6721.2,27.82,-25.18,-87.96
6768.9,28.73,-20.55,-88.06
6804.7,29.82,-24.64,-86.33
6847.0,29.82,-24.64,-86.33
6895.0,29.64,-24.82,-87.04
6927.3,29.64,-24.82,-87.04
6975.7,29.55,-21.91,-86.84
7013.3,28.91,-23.09,-86.94
7057.8,28.91,-23.09,-86.94
7087.3,28.09,-23.09,-85.20
7139.0,29.36,-24.09,-87.24
7177.9,29.36,-24.09,-87.24
7219.4,26.45,-22.55,-86.33
7255.7,26.45,-22.55,-86.33
7302.8,30.18,-23.27,-87.86
7335.4,27.82,-22.82,-87.04
7384.4,27.82,-22.82,-87.04
7412.7,28.36,-25.91,-85.10
7464.2,27.36,-25.09,-86.43
7508.8,27.36,-25.09,-86.43
7551.0,29.09,-23.82,-87.14
7591.8,29.09,-23.82,-87.14
7633.1,29.82,-22.73,-86.63
7673.6,26.82,-26.82,-90.10
7713.9,26.82,-26.82,-90.10
7754.7,24.91,-31.82,-100.31
7796.7,24.36,-43.00,-130.61
7837.1,24.36,-43.00,-130.61
7878.5,32.91,-24.55,-82.04
7918.3,32.91,-24.55,-82.04
7960.4,34.55,-18.82,-70.51
8001.8,29.64,-18.18,-67.76
8042.7,29.64,-18.18,-67.76
8084.1,32.73,-15.45,-67.04
8124.1,34.82,-17.18,-71.73
8165.5,34.82,-17.18,-71.73
8205.7,33.64,-23.18,-88.78
8248.1,33.64,-23.18,-88.78
8288.7,34.09,-23.09,-98.47
8329.4,33.00,-19.73,-74.59
8369.9,33.00,-19.73,-74.59
8411.7,32.55,-18.36,-68.78
8452.5,32.55,-18.36,-68.78
8494.0,32.55,-18.36,-68.78
8535.1,33.64,-17.64,-69.29
8576.1,33.64,-17.64,-69.29
8617.1,32.00,-17.91,-73.06
8658.1,29.27,-23.27,-101.02
8699.2,29.27,-23.27,-101.02
8739.4,28.00,-25.45,-96.22
8780.7,28.00,-25.45,-96.22
8821.1,33.82,-19.00,-73.06
8862.7,31.91,-16.82,-66.73
8903.0,31.91,-16.82,-66.73
8944.8,30.91,-18.00,-67.76
8984.9,33.27,-16.36,-68.67
9027.0,33.27,-16.36,-68.67
9068.0,32.36,-21.18,-80.00
9107.6,32.36,-21.18,-80.00
9148.7,3.64,-50.82,-125.71
9189.7,21.36,-32.82,-96.53
9230.5,21.36,-32.82,-96.53
9272.7,32.82,-18.45,-69.80
9313.1,32.18,-16.82,-67.86
9354.0,32.18,-16.82,-67.86
9395.7,33.64,-17.27,-68.57
9435.7,33.64,-17.27,-68.57
9477.2,32.64,-19.45,-71.94
9514.7,17.73,-30.64,-106.12
9555.2,17.73,-30.64,-106.12
9594.3,-17.55,-46.45,-146.22
9642.1,28.64,-21.91,-81.02
9674.5,28.64,-21.91,-81.02
9722.9,33.45,-18.09,-68.27
9760.1,33.45,-18.09,-68.27
9802.1,30.64,-17.64,-67.24
9837.0,33.45,-18.00,-68.67
9887.1,33.45,-18.00,-68.67
9920.3,31.18,-22.27,-77.14
9966.6,18.00,-37.00,-111.63
9998.6,18.00,-37.00,-111.63
10044.1,28.82,-23.64,-82.24
10092.3,28.82,-23.64,-82.24
10133.9,31.82,-18.91,-71.84
10174.0,30.82,-17.09,-68.88
10201.8,30.82,-17.09,-68.88
10254.4,32.73,-18.18,-71.22
10294.0,25.82,-23.82,-82.65
10338.4,25.82,-23.82,-82.65
10379.0,22.64,-40.91,-97.45
10419.0,22.64,-40.91,-97.45
10459.0,32.18,-21.82,-74.49
10498.9,32.27,-18.82,-68.16
10529.6,32.27,-18.82,-68.16
10580.4,31.82,-19.18,-69.08
10612.5,32.73,-19.45,-74.59
10658.8,32.73,-19.45,-74.59
10707.0,13.55,-46.55,-105.51
10739.0,13.55,-46.55,-105.51
10788.2,18.45,-44.18,-100.20
10818.5,31.73,-19.18,-70.61
10870.7,31.73,-19.18,-70.61
10911.7,32.82,-18.73,-68.67
10952.2,32.45,-20.00,-69.69
10991.6,32.45,-20.00,-69.69
11031.1,30.27,-20.27,-74.59
11062.9,30.27,-20.27,-74.59
11117.6,13.91,-42.36,-99.49
11153.9,25.91,-28.09,-80.71
11199.9,25.91,-28.09,-80.71
11238.6,29.82,-18.27,-69.59
11280.8,33.45,-19.18,-67.35
11321.6,33.45,-19.18,-67.35
11363.2,33.00,-19.00,-72.65
11403.8,33.00,-19.00,-72.65
11445.5,22.00,-31.09,-84.69
11484.0,13.91,-36.45,-87.04
11528.0,13.91,-36.45,-87.04
11568.6,30.64,-22.64,-72.86
11609.6,33.36,-17.27,-68.78
11651.0,33.36,-17.27,-68.78
11692.0,31.45,-19.09,-68.16
