timestamp,x_uT,y_uT,z_uT
0.0,33.09,-24.27,-54.08
1.0,33.09,-24.27,-54.08
1.0,35.36,-20.00,-58.27
2.0,35.36,-20.00,-58.27
2.0,40.00,-17.73,-58.78
2.0,42.18,-13.73,-57.86
3.0,42.18,-13.73,-57.86
3.0,40.91,-9.00,-60.61
4.0,35.64,-4.73,-63.57
4.0,35.64,-4.73,-63.57
4.0,29.18,-6.73,-66.94
5.0,29.18,-6.73,-66.94
5.0,29.18,-15.64,-74.08
5.0,30.64,-18.64,-73.78
6.0,30.64,-18.64,-73.78
6.0,29.73,-16.73,-73.27
6.0,29.00,-10.45,-67.45
7.0,29.00,-10.45,-67.45
7.0,33.00,-14.00,-64.49
7.0,33.00,-14.00,-64.49
8.0,34.36,-12.36,-63.78
8.0,34.09,-15.91,-63.67
8.0,34.09,-15.91,-63.67
9.0,34.36,-13.18,-65.51
9.0,31.45,-14.82,-63.67
9.0,31.45,-14.82,-63.67
10.0,34.55,-15.27,-63.37
10.0,34.55,-15.27,-63.37
10.0,35.36,-12.00,-63.98
11.0,33.82,-14.91,-64.29
11.0,33.82,-14.91,-64.29
11.0,33.09,-12.82,-63.06
11.0,30.82,-13.36,-65.20
12.0,30.82,-13.36,-65.20
12.0,34.27,-11.36,-63.78
12.0,34.27,-11.36,-63.78
13.0,36.55,-13.82,-63.37
13.0,35.00,-12.45,-63.67
13.0,35.00,-12.45,-63.67
14.0,34.91,-14.91,-61.94
14.0,32.36,-14.18,-62.45
14.0,32.36,-14.18,-62.45
15.0,34.64,-14.00,-62.45
15.0,34.64,-14.00,-62.45
15.0,34.64,-13.91,-61.84
15.0,31.73,-13.00,-61.73
16.0,31.73,-13.00,-61.73
16.0,29.36,-14.09,-63.06
16.0,32.09,-15.45,-62.76
17.0,32.09,-15.45,-62.76
17.0,32.18,-13.45,-63.27
17.0,32.18,-13.45,-63.27
18.0,35.27,-14.55,-62.76
18.0,34.73,-14.82,-61.84
18.0,34.73,-14.82,-61.84
19.0,32.82,-14.27,-61.73
19.0,32.45,-15.18,-60.31
19.0,32.45,-15.18,-60.31
19.0,33.18,-13.82,-61.94
20.0,33.18,-13.82,-61.94
20.0,32.64,-15.64,-62.55
20.0,33.36,-15.18,-61.73
48.6,33.36,-15.18,-61.73
89.4,33.27,-13.09,-61.22
131.8,34.00,-15.09,-62.55
171.6,34.00,-15.09,-62.55
212.7,34.73,-13.09,-61.22
253.5,34.73,-13.09,-61.22
295.0,32.82,-14.09,-61.22
336.3,32.18,-13.00,-61.22
377.4,32.18,-13.00,-61.22
417.7,34.00,-13.18,-60.71
458.1,34.55,-15.36,-60.61
500.2,34.55,-15.36,-60.61
540.5,30.73,-14.45,-59.90
582.6,30.73,-14.45,-59.90
622.0,34.73,-16.09,-58.67
664.0,30.36,-12.73,-59.18
704.5,30.36,-12.73,-59.18
745.9,31.18,-14.27,-59.49
786.2,26.73,-18.36,-60.61
828.0,26.73,-18.36,-60.61
868.2,28.91,-17.64,-58.27
910.0,28.91,-17.64,-58.27
951.6,28.09,-17.82,-54.90
