timestamp,x_uT,y_uT,z_uT
0.0,32.64,-14.64,-61.43
0.0,29.73,-15.18,-61.84
1.4,29.73,-15.18,-61.84
1.4,34.09,-14.36,-62.96
1.4,32.18,-16.27,-62.24
1.4,32.18,-16.27,-62.24
1.4,30.73,-14.82,-61.73
1.4,32.18,-16.36,-62.14
1.4,32.18,-16.36,-62.14
1.4,32.00,-14.00,-63.16
1.4,32.00,-14.00,-63.16
1.4,33.45,-15.36,-61.22
1.4,32.09,-16.82,-62.35
1.4,32.09,-16.82,-62.35
1.4,30.82,-15.73,-61.12
1.4,32.45,-16.18,-62.35
1.4,32.45,-16.18,-62.35
1.4,31.91,-13.45,-61.73
1.4,31.91,-13.45,-61.73
1.4,32.18,-14.09,-61.22
1.4,29.18,-12.00,-60.82
1.4,29.18,-12.00,-60.82
1.4,28.55,-15.91,-60.82
1.4,27.73,-11.45,-57.45
1.4,27.73,-11.45,-57.45
1.4,18.00,-11.27,-69.49
10.3,18.00,-11.27,-69.49
10.3,26.27,-13.82,-88.98
11.3,6.00,-9.18,-49.59
11.3,6.00,-9.18,-49.59
11.3,13.36,-11.45,-59.59
12.1,13.00,-10.45,-86.33
12.1,13.00,-10.45,-86.33
12.1,17.00,-9.73,-80.71
13.2,17.00,-9.73,-80.71
13.2,7.91,-10.91,-83.47
13.7,20.55,-17.09,-101.73
13.7,20.55,-17.09,-101.73
13.7,38.55,-21.91,-104.49
14.7,37.91,-19.45,-103.37
15.3,37.91,-19.45,-103.37
15.3,42.00,-21.18,-100.31
15.9,42.00,-21.18,-100.31
16.3,48.27,-20.45,-101.33
16.3,49.18,-26.73,-103.78
16.9,49.18,-26.73,-103.78
16.9,45.09,-26.91,-105.51
16.9,47.00,-28.82,-105.92
16.9,47.00,-28.82,-105.92
18.1,52.36,-29.55,-104.39
18.1,52.36,-29.55,-104.39
18.1,52.00,-32.55,-103.06
18.1,50.55,-34.64,-105.20
18.1,50.55,-34.64,-105.20
18.1,50.27,-32.36,-104.49
18.1,51.09,-34.18,-102.14
18.1,51.09,-34.18,-102.14
18.1,48.45,-36.27,-103.57
18.1,48.45,-36.27,-103.57
18.1,52.55,-36.27,-104.08
18.1,52.09,-37.27,-104.69
18.1,52.09,-37.27,-104.69
18.1,50.36,-37.09,-103.06
18.1,50.09,-38.09,-102.65
18.1,50.09,-38.09,-102.65
18.1,50.91,-36.64,-103.37
18.1,50.91,-36.64,-103.37
18.1,51.45,-37.91,-102.45
18.1,50.09,-39.82,-103.06
18.1,50.09,-39.82,-103.06
18.1,49.91,-38.55,-103.78
18.1,49.82,-37.36,-103.88
18.1,49.82,-37.36,-103.88
18.1,51.55,-39.27,-102.86
18.1,51.55,-39.27,-102.86
18.1,47.55,-37.36,-100.61
18.1,50.18,-38.18,-103.47
18.1,50.18,-38.18,-103.47
18.1,49.36,-37.73,-103.06
18.1,51.45,-36.45,-102.86
18.1,51.45,-36.45,-102.86
18.1,51.91,-36.82,-103.37
18.1,51.91,-36.82,-103.37
18.1,50.55,-36.82,-101.94
18.1,50.73,-38.82,-103.16
18.1,50.73,-38.82,-103.16
18.1,50.18,-36.91,-102.65
18.1,50.73,-36.09,-102.24
18.1,50.73,-36.09,-102.24
18.1,51.91,-37.55,-102.45
18.1,51.91,-37.55,-102.45
18.1,48.55,-38.45,-104.18
18.1,50.00,-37.73,-103.47
18.1,50.00,-37.73,-103.47
32.5,48.27,-40.27,-103.57
33.0,48.27,-40.27,-103.57
33.0,48.27,-40.27,-103.57
33.0,51.00,-36.18,-101.63
33.0,51.00,-36.18,-101.63
33.0,48.91,-36.64,-101.33
33.0,50.91,-35.09,-102.76
35.7,50.91,-35.09,-102.76
35.7,49.64,-38.36,-102.65
35.7,49.64,-38.36,-102.65
35.7,49.55,-38.00,-102.86
35.7,50.64,-36.82,-104.29
35.7,50.64,-36.82,-104.29
35.7,51.73,-36.73,-103.78
35.7,51.00,-37.09,-102.45
35.7,51.00,-37.09,-102.45
35.7,51.64,-39.00,-104.08
35.7,51.64,-39.00,-104.08
35.7,53.82,-36.27,-102.45
35.7,49.64,-38.82,-105.51
35.7,49.64,-38.82,-105.51
35.7,49.18,-35.09,-102.96
35.7,50.18,-33.64,-103.37
35.7,50.18,-33.64,-103.37
35.7,50.91,-36.09,-103.88
35.7,50.91,-36.09,-103.88
35.7,49.36,-37.55,-103.27
35.7,52.09,-37.45,-102.86
35.7,52.09,-37.45,-102.86
35.7,56.45,-43.64,-111.53
35.7,46.18,-38.91,-96.33
35.7,46.18,-38.91,-96.33
35.7,23.82,-19.00,-84.90
35.7,23.82,-19.00,-84.90
35.7,22.45,-10.00,-68.57
35.7,26.00,-9.64,-63.67
35.7,26.00,-9.64,-63.67
35.7,27.27,-11.73,-60.51
35.7,30.00,-13.00,-61.12
35.7,30.00,-13.00,-61.12
35.7,30.91,-13.09,-59.69
35.7,30.91,-13.09,-59.69
35.7,34.18,-14.18,-60.10
35.7,29.82,-14.36,-60.61
35.7,29.82,-14.36,-60.61
35.7,33.82,-13.18,-63.27
35.7,32.09,-15.18,-61.02
48.2,32.09,-15.18,-61.02
48.2,31.18,-13.82,-60.41
48.7,31.18,-13.82,-60.41
49.1,32.09,-15.00,-60.82
49.1,31.82,-13.27,-60.92
49.1,31.82,-13.27,-60.92
88.6,32.64,-14.36,-60.61
117.0,29.55,-12.36,-58.78
169.9,29.55,-12.36,-58.78
212.3,31.64,-12.55,-58.06
251.3,31.64,-12.55,-58.06
294.1,31.91,-12.73,-58.88
335.1,33.18,-13.27,-58.16
376.3,33.18,-13.27,-58.16
416.8,31.09,-15.27,-58.88
458.2,30.91,-12.91,-58.57
499.3,30.91,-12.91,-58.57
539.6,30.91,-14.82,-57.86
582.0,30.91,-14.82,-57.86
621.6,31.36,-14.64,-59.29
664.1,32.64,-14.09,-60.71
703.6,32.64,-14.09,-60.71
745.3,31.82,-16.09,-60.10
786.3,31.09,-15.55,-58.78
828.0,31.09,-15.55,-58.78
867.4,31.36,-13.55,-60.82
909.6,31.36,-13.55,-60.82
949.4,31.18,-15.73,-61.33
992.0,31.55,-15.36,-62.24
1032.4,31.55,-15.36,-62.24
1072.8,31.73,-15.00,-61.02
1115.1,32.09,-14.82,-61.22
1154.6,32.09,-14.82,-61.22
1197.1,32.27,-13.64,-61.22
1238.4,32.27,-13.64,-61.22
1278.0,32.09,-15.73,-61.43
1318.9,30.55,-16.27,-60.31
1360.6,30.55,-16.27,-60.31
1400.8,30.73,-13.09,-59.49
1442.3,29.64,-16.18,-60.00
1482.4,29.64,-16.18,-60.00
1524.2,30.82,-14.64,-59.18
1565.1,30.82,-14.64,-59.18
1607.0,29.27,-14.73,-59.39
1648.1,29.73,-13.91,-61.02
1689.0,29.73,-13.91,-61.02
1729.1,31.73,-13.55,-59.80
1769.6,29.45,-16.82,-60.41
1811.7,29.45,-16.82,-60.41
1851.7,33.36,-14.73,-59.08
1893.1,33.36,-14.73,-59.08
1934.1,32.18,-14.82,-60.92
1975.8,31.82,-14.36,-60.41
2015.9,31.82,-14.36,-60.41
2056.9,31.00,-15.55,-60.71
2098.3,31.64,-15.36,-61.33
2138.7,31.64,-15.36,-61.33
2180.2,29.55,-16.00,-61.22
2222.0,29.55,-16.00,-61.22
2262.6,30.00,-18.45,-61.33
2303.2,33.82,-14.18,-61.53
2336.2,33.82,-14.18,-61.53
2385.2,30.91,-15.45,-60.20
2425.4,32.45,-15.64,-59.69
2459.6,32.45,-15.64,-59.69
2505.5,29.82,-14.73,-60.61
2549.7,29.82,-14.73,-60.61
2583.1,31.45,-16.18,-60.20
2629.6,29.36,-15.91,-59.39
2661.7,29.36,-15.91,-59.39
2712.4,33.73,-13.45,-60.41
2742.8,30.27,-13.64,-59.18
2791.6,30.27,-13.64,-59.18
2823.2,31.36,-14.27,-60.92
2872.2,31.36,-14.27,-60.92
2904.3,31.55,-13.64,-59.49
2950.3,28.55,-17.18,-60.92
2998.2,28.55,-17.18,-60.92
3040.2,29.91,-15.45,-59.39
3083.0,29.36,-16.09,-60.61
3119.7,29.36,-16.09,-60.61
3164.9,30.27,-15.91,-61.33
3203.0,30.27,-15.91,-61.33
3246.1,30.55,-13.73,-61.12
3287.2,31.27,-13.18,-60.51
3327.2,31.27,-13.18,-60.51
3369.4,32.82,-14.55,-62.04
3410.2,31.09,-14.36,-60.51
3438.8,31.09,-14.36,-60.51
3492.1,32.36,-14.45,-59.90
3526.0,32.36,-14.45,-59.90
3569.4,31.64,-15.00,-62.14
3616.2,30.36,-14.09,-61.22
3653.0,30.36,-14.09,-61.22
3696.8,31.36,-15.55,-60.10
3733.8,30.27,-14.64,-61.43
3777.8,30.27,-14.64,-61.43
3811.8,30.55,-13.73,-60.82
3860.2,30.55,-13.73,-60.82
3894.0,29.00,-16.00,-60.92
3938.4,32.18,-14.73,-60.61
3970.6,32.18,-14.73,-60.61
4019.9,30.64,-15.00,-61.33
4066.0,30.45,-13.45,-60.71
4103.2,30.45,-13.45,-60.71
4149.2,32.09,-15.73,-60.82
4188.8,32.09,-15.73,-60.82
4229.4,34.73,-13.36,-60.31
4268.9,31.73,-15.73,-61.02
4312.8,31.73,-15.73,-61.02
4350.9,32.36,-13.36,-60.82
4394.0,30.82,-15.82,-61.02
4433.6,30.82,-15.82,-61.02
4474.0,32.55,-15.45,-60.51
4512.2,32.55,-15.45,-60.51
4554.5,30.55,-16.18,-61.12
4596.7,29.73,-16.27,-61.12
4636.4,29.73,-16.27,-61.12
4681.7,32.45,-16.18,-62.24
4719.9,30.73,-16.36,-61.84
4762.6,30.73,-16.36,-61.84
4803.9,31.00,-14.27,-60.92
4845.0,31.00,-14.27,-60.92
4884.5,30.09,-14.00,-62.45
4925.3,30.55,-14.82,-61.33
4957.4,30.55,-14.82,-61.33
5007.5,30.18,-16.45,-61.43
5035.1,29.09,-15.00,-61.12
5083.7,29.09,-15.00,-61.12
5133.3,30.73,-15.36,-60.71
5166.8,30.73,-15.36,-60.71
5215.1,31.18,-13.00,-61.63
5254.6,29.27,-14.64,-62.04
5297.0,29.27,-14.64,-62.04
5335.4,32.36,-16.00,-61.84
5377.8,32.36,-16.00,-61.84
5409.4,32.36,-16.00,-61.84
5460.0,28.82,-14.18,-60.61
5489.8,28.82,-14.18,-60.61
5538.0,32.45,-14.73,-61.22
5572.9,27.82,-13.73,-62.14
5619.8,27.82,-13.73,-62.14
5651.7,31.00,-14.18,-62.14
5705.7,31.00,-14.18,-62.14
5747.7,29.73,-16.27,-61.94
5788.0,31.55,-14.82,-61.63
5829.1,31.55,-14.82,-61.63
5869.0,31.73,-15.64,-60.82
5911.3,33.27,-14.91,-61.22
5952.1,33.27,-14.91,-61.22
5992.7,31.91,-16.18,-60.61
6023.5,31.91,-16.18,-60.61
6072.9,29.45,-16.09,-60.61
6115.9,29.36,-12.18,-60.71
6156.9,29.36,-12.18,-60.71
6197.8,32.64,-16.55,-58.47
6239.8,33.09,-14.73,-60.51
6270.4,33.09,-14.73,-60.51
6320.6,34.36,-17.45,-59.80
6361.7,34.36,-17.45,-59.80
6402.6,30.36,-13.73,-59.90
6445.2,30.64,-14.18,-60.92
6485.1,30.64,-14.18,-60.92
6525.8,30.27,-17.73,-60.00
6566.4,28.64,-14.82,-61.22
6609.0,28.64,-14.82,-61.22
6650.2,32.18,-17.64,-61.53
6690.0,32.18,-17.64,-61.53
6730.5,31.18,-15.64,-62.76
6772.0,33.27,-15.55,-60.82
6812.4,33.27,-15.55,-60.82
6853.2,31.64,-15.27,-60.92
6894.2,30.09,-15.18,-61.02
6935.4,30.09,-15.18,-61.02
6977.0,31.27,-14.82,-62.14
7018.2,31.27,-14.82,-62.14
7058.8,33.27,-13.36,-60.10
7099.2,31.36,-16.64,-60.41
7140.7,31.36,-16.64,-60.41
7181.8,32.18,-17.00,-61.33
7222.8,30.64,-14.18,-62.04
7264.1,30.64,-14.18,-62.04
7305.0,31.91,-14.45,-60.82
7345.6,31.91,-14.45,-60.82
7386.1,28.73,-14.36,-59.29
7427.9,30.27,-14.91,-62.35
7468.6,30.27,-14.91,-62.35
7510.0,29.73,-14.82,-59.59
7550.6,31.18,-16.45,-62.04
7592.5,31.18,-16.45,-62.04
7633.1,31.82,-15.09,-61.43
7673.7,31.82,-15.09,-61.43
7715.6,30.55,-15.64,-61.43
7757.0,28.91,-13.91,-60.82
7797.5,28.91,-13.91,-60.82
7838.2,30.91,-15.27,-62.96
7879.8,33.64,-16.18,-57.24
7919.6,33.64,-16.18,-57.24
7962.1,32.36,-16.91,-45.71
8001.6,32.36,-16.91,-45.71
8042.9,46.64,-17.64,-2.45
8084.0,113.18,-37.55,57.04
8124.7,113.18,-37.55,57.04
8166.6,184.36,-39.91,76.12
8206.6,-372.36,-30.18,82.76
8247.6,-372.36,-30.18,82.76
8289.8,-372.36,-40.82,63.47
8331.1,-372.36,-40.82,63.47
8370.9,-372.36,-67.64,-3.98
8413.0,-372.36,-95.09,-33.06
8452.6,-372.36,-95.09,-33.06
8495.1,-372.36,-111.00,-46.33
8535.2,-372.36,-121.64,-40.92
8576.4,-372.36,-121.64,-40.92
8616.5,-372.36,-113.73,-4.08
8658.3,-372.36,-113.73,-4.08
8699.4,-372.36,-77.00,55.61
8740.2,-372.36,-15.55,30.10
8781.8,-372.36,-15.55,30.10
8822.7,31.09,-12.45,-50.61
8864.0,29.36,-13.45,-60.92
8903.6,29.36,-13.45,-60.92
8946.0,29.91,-14.73,-60.71
8986.0,29.91,-14.73,-60.71
9028.0,31.64,-16.36,-62.35
9068.0,32.36,-13.91,-61.43
9109.4,32.36,-13.91,-61.43
9149.7,29.91,-15.09,-61.12
9191.2,30.09,-15.18,-60.92
9232.0,30.09,-15.18,-60.92
9273.7,29.64,-15.55,-61.43
9314.1,29.64,-15.55,-61.43
9355.4,30.73,-16.55,-61.22
9396.7,32.18,-14.64,-61.73
9437.4,32.18,-14.64,-61.73
9477.7,30.27,-13.36,-60.51
9519.1,31.64,-13.82,-61.12
9560.8,31.64,-13.82,-61.12
9600.7,32.27,-15.09,-60.61
9641.6,32.27,-15.09,-60.61
9683.1,29.82,-14.55,-60.82
