timestamp,x_uT,y_uT,z_uT
0.0,40.36,-26.36,-55.92
0.0,41.45,-21.09,-61.84
2.2,40.09,-17.73,-62.14
2.2,40.09,-17.73,-62.14
2.2,38.00,-14.91,-62.76
2.2,38.82,-11.55,-61.02
2.2,38.82,-11.55,-61.02
2.2,37.36,-6.45,-58.88
2.2,37.36,-6.45,-58.88
2.2,31.91,-9.09,-58.98
2.2,29.82,-8.82,-63.06
2.2,29.82,-8.82,-63.06
2.2,28.45,-12.82,-63.27
2.2,31.64,-12.55,-63.27
2.2,31.64,-12.55,-63.27
2.2,32.36,-18.18,-64.80
2.2,32.36,-18.18,-64.80
2.2,31.00,-13.45,-63.06
2.2,30.36,-10.27,-61.63
2.2,30.36,-10.27,-61.63
2.2,27.55,-10.82,-64.08
9.3,25.36,-9.09,-62.86
9.3,25.36,-9.09,-62.86
9.3,28.18,-10.55,-62.35
10.4,28.18,-10.55,-62.35
10.4,28.45,-9.00,-64.08
11.4,27.82,-8.91,-64.29
11.4,27.82,-8.91,-64.29
12.1,27.27,-10.36,-64.49
12.1,27.36,-12.36,-65.31
12.1,27.36,-12.36,-65.31
12.1,27.27,-13.45,-64.08
13.5,27.27,-13.45,-64.08
13.5,24.27,-14.73,-65.82
13.5,28.27,-12.64,-64.49
14.5,28.27,-12.64,-64.49
14.5,28.36,-16.09,-64.59
15.1,28.00,-16.27,-65.51
15.6,28.00,-16.27,-65.51
16.1,27.55,-17.09,-63.67
16.1,27.55,-17.09,-63.67
16.1,31.09,-18.64,-63.98
16.1,29.45,-16.27,-65.00
16.1,29.45,-16.27,-65.00
16.1,29.09,-15.00,-64.08
16.1,31.64,-16.36,-63.88
16.1,31.64,-16.36,-63.88
16.1,29.64,-15.73,-62.86
16.1,29.64,-15.73,-62.86
16.1,30.64,-15.27,-63.57
19.7,30.64,-13.82,-63.06
19.7,30.64,-13.82,-63.06
19.7,30.45,-13.27,-63.06
19.7,30.73,-15.55,-61.43
19.7,30.73,-15.55,-61.43
19.7,31.00,-14.82,-60.61
