timestamp,x_uT,y_uT,z_uT
0.0,37.00,-24.00,-69.59
0.0,38.55,-21.64,-68.88
0.0,38.91,-17.18,-73.06
0.0,38.91,-17.18,-73.06
0.0,38.45,-12.18,-73.27
0.0,37.09,-10.73,-70.51
0.0,37.09,-10.73,-70.51
0.0,32.82,-8.55,-69.90
0.0,32.82,-8.55,-69.90
0.0,30.82,-7.18,-70.92
0.0,24.91,-7.18,-68.67
0.0,24.91,-7.18,-68.67
0.0,25.18,-13.64,-65.61
0.0,29.00,-15.73,-62.45
0.0,29.00,-15.73,-62.45
0.0,31.36,-17.82,-61.84
0.0,31.36,-17.82,-61.84
0.0,30.36,-16.73,-62.96
0.0,26.64,-18.27,-62.65
0.0,26.64,-18.27,-62.65
0.0,30.91,-17.36,-61.02
0.0,31.82,-21.36,-63.98
0.0,31.82,-21.36,-63.98
0.0,33.73,-20.82,-62.45
0.0,33.73,-20.82,-62.45
0.0,33.73,-19.36,-63.88
0.0,35.27,-17.91,-64.80
0.0,35.27,-17.91,-64.80
0.0,37.64,-13.27,-63.98
0.0,35.64,-15.18,-65.82
12.7,35.64,-15.18,-65.82
12.7,37.00,-11.91,-63.67
12.7,37.00,-11.91,-63.67
12.7,31.45,-12.73,-63.88
12.7,31.27,-12.00,-62.14
12.7,31.27,-12.00,-62.14
12.7,28.55,-16.09,-61.84
12.7,28.27,-16.45,-62.55
12.7,28.27,-16.45,-62.55
12.7,30.55,-18.73,-63.47
15.8,30.55,-18.73,-63.47
15.8,27.73,-18.55,-63.57
15.8,27.64,-16.27,-62.45
16.8,27.64,-16.27,-62.45
16.8,28.82,-22.45,-64.29
16.8,30.18,-22.27,-61.22
17.9,30.18,-22.27,-61.22
17.9,32.91,-23.91,-63.27
18.6,32.91,-23.91,-63.27
18.6,35.18,-23.09,-64.80
18.6,34.82,-24.45,-66.73
18.6,34.82,-24.45,-66.73
18.6,37.45,-25.64,-69.39
20.0,39.27,-21.82,-73.98
