timestamp,x_uT,y_uT,z_uT
0.0,31.73,-17.91,-66.22
0.0,31.36,-17.82,-66.63
1.0,30.73,-17.27,-68.37
1.0,30.73,-17.27,-68.37
1.0,26.82,-20.91,-72.24
1.0,12.36,-17.64,-79.69
2.4,12.36,-17.64,-79.69
2.4,22.55,-15.36,-79.90
3.4,22.55,-15.36,-79.90
3.4,27.18,-15.64,-75.41
3.4,29.82,-16.55,-71.33
4.4,29.82,-16.55,-71.33
4.4,32.36,-16.18,-68.06
4.4,30.18,-17.45,-67.96
5.4,30.18,-17.45,-67.96
5.4,34.73,-19.36,-67.24
5.4,34.73,-19.36,-67.24
5.4,31.45,-17.36,-67.35
6.4,29.36,-15.55,-67.04
6.4,29.36,-15.55,-67.04
6.4,30.00,-15.18,-65.41
7.4,30.55,-15.09,-66.43
7.4,30.55,-15.09,-66.43
7.4,30.18,-16.36,-67.24
8.4,30.18,-16.36,-67.24
8.4,30.27,-16.09,-66.84
8.4,30.45,-16.00,-67.55
9.4,30.45,-16.00,-67.55
9.4,31.36,-14.45,-66.53
9.4,31.27,-15.73,-66.84
10.4,31.27,-15.73,-66.84
10.4,31.36,-19.82,-67.45
10.4,31.36,-19.82,-67.45
10.4,32.36,-15.09,-66.94
11.8,31.18,-14.45,-67.86
11.8,31.18,-14.45,-67.86
11.8,29.27,-15.55,-67.04
12.8,31.09,-17.27,-64.18
12.8,31.09,-17.27,-64.18
12.8,31.45,-14.64,-65.92
12.8,31.45,-14.64,-65.92
13.8,31.64,-14.00,-67.35
13.8,32.45,-14.36,-66.53
13.8,32.45,-14.36,-66.53
15.2,30.82,-13.64,-67.76
15.2,29.09,-16.91,-68.37
15.2,29.09,-16.91,-68.37
15.2,31.09,-19.00,-67.35
16.2,31.09,-19.00,-67.35
16.2,31.18,-16.82,-67.65
16.2,31.55,-15.55,-67.45
17.2,31.55,-15.55,-67.45
17.2,28.27,-16.09,-66.94
17.2,30.36,-16.91,-67.14
18.2,30.36,-16.91,-67.14
18.2,30.73,-15.55,-68.16
18.2,30.73,-15.55,-68.16
19.2,31.64,-17.27,-65.00
19.2,33.00,-13.55,-65.20
19.2,33.00,-13.55,-65.20
20.2,33.27,-14.27,-65.92
20.2,32.00,-16.36,-65.92
20.2,32.00,-16.36,-65.92
21.2,31.09,-15.82,-66.73
21.2,31.09,-15.82,-66.73
21.2,30.45,-15.55,-67.14
22.2,33.18,-15.91,-66.84
22.2,33.18,-15.91,-66.84
22.2,30.82,-15.64,-67.45
23.2,29.64,-16.36,-66.43
23.2,29.64,-16.36,-66.43
23.2,32.18,-16.09,-68.37
24.2,32.18,-16.09,-68.37
24.2,30.91,-16.45,-64.90
24.2,30.18,-15.55,-65.10
24.2,30.18,-15.55,-65.10
25.4,30.45,-17.36,-66.02
25.4,30.73,-16.27,-65.71
25.4,30.73,-16.27,-65.71
26.4,30.73,-15.73,-67.76
