timestamp,x_uT,y_uT,z_uT
1.1,31.45,-17.18,-74.18
1.1,29.36,-16.73,-67.96
1.1,30.36,-16.00,-67.04
1.1,30.36,-16.00,-67.04
2.6,32.91,-16.73,-65.00
2.6,32.91,-16.73,-65.00
2.6,31.45,-16.55,-67.35
3.6,31.73,-17.18,-67.45
3.6,31.73,-17.18,-67.45
4.6,28.36,-16.36,-73.98
4.6,19.82,-19.45,-93.88
4.6,19.82,-19.45,-93.88
5.6,3.64,-17.36,-98.06
5.6,3.64,-17.36,-98.06
5.6,23.09,-18.64,-81.63
6.6,31.55,-19.27,-70.00
6.6,31.55,-19.27,-70.00
6.6,31.00,-18.09,-66.22
7.6,32.64,-17.18,-63.57
7.6,32.64,-17.18,-63.57
8.6,32.09,-17.09,-65.61
8.6,32.09,-17.09,-65.61
8.6,32.82,-16.64,-66.43
9.6,31.27,-17.27,-70.20
9.6,31.27,-17.27,-70.20
9.6,25.45,-25.73,-83.88
10.6,1.82,-28.18,-94.59
10.6,1.82,-28.18,-94.59
10.6,9.82,-12.27,-89.18
11.6,9.82,-12.27,-89.18
11.6,24.36,-16.27,-77.24
11.6,29.09,-17.73,-70.61
12.6,29.09,-17.73,-70.61
12.6,33.00,-17.27,-67.76
13.6,30.00,-16.27,-67.04
13.6,30.00,-16.27,-67.04
13.6,33.18,-16.91,-67.45
14.6,33.18,-16.91,-67.45
14.6,30.45,-15.00,-68.06
14.6,26.45,-15.73,-67.96
15.6,26.45,-15.73,-67.96
15.6,12.18,-18.09,-73.57
15.6,-17.00,-13.82,-95.61
16.6,-17.00,-13.82,-95.61
16.6,7.45,-33.36,-135.31
16.6,7.45,-33.36,-135.31
16.6,32.73,-22.27,-100.61
17.7,36.18,-18.82,-77.14
17.7,36.18,-18.82,-77.14
17.7,34.18,-17.09,-68.67
18.7,31.36,-17.64,-68.06
18.7,31.36,-17.64,-68.06
18.7,30.82,-16.36,-67.76
18.7,30.82,-16.36,-67.76
20.0,29.82,-14.82,-68.06
20.0,32.27,-16.18,-67.35
20.0,32.27,-16.18,-67.35
20.0,30.00,-18.73,-67.86
36.9,31.55,-14.91,-68.37
78.1,31.55,-14.91,-68.37
119.6,30.27,-16.45,-66.12
160.3,30.27,-16.45,-66.12
201.0,32.55,-16.55,-65.61
242.8,31.18,-14.73,-67.65
283.5,31.18,-14.73,-67.65
325.4,33.00,-15.73,-68.67
364.7,31.18,-16.82,-67.45
406.6,31.18,-16.82,-67.45
448.0,31.73,-15.27,-67.14
487.9,31.73,-15.27,-67.14
529.5,33.27,-16.00,-67.24
571.4,34.82,-16.64,-68.06
611.5,34.82,-16.64,-68.06
646.2,30.64,-17.82,-68.37
694.3,30.45,-18.18,-68.37
734.1,30.45,-18.18,-68.37
775.0,31.00,-18.82,-70.00
805.1,31.00,-18.82,-70.00
853.4,30.45,-19.73,-67.14
898.6,32.91,-17.36,-67.96
934.9,32.91,-17.36,-67.96
980.1,31.64,-18.09,-68.88
1017.8,30.73,-16.64,-68.16
1060.2,30.73,-16.64,-68.16
1100.9,30.55,-16.73,-70.20
1144.4,30.55,-16.73,-70.20
1184.9,31.36,-18.45,-70.10
1213.5,33.27,-16.00,-69.49
1260.1,33.27,-16.00,-69.49
1308.6,32.91,-19.55,-69.49
1344.9,32.64,-18.09,-70.82
1388.8,32.64,-18.09,-70.82
1421.0,31.36,-16.18,-72.14
1469.1,31.36,-16.18,-72.14
1501.8,30.64,-17.45,-72.35
1548.3,31.64,-19.36,-72.04
1596.1,31.64,-19.36,-72.04
1636.4,31.36,-18.00,-72.14
1676.8,29.36,-19.73,-71.43
1714.8,29.36,-19.73,-71.43
1751.1,30.55,-16.91,-71.43
1800.3,30.55,-16.91,-71.43
1841.9,32.00,-18.64,-72.86
1876.4,31.18,-16.09,-74.18
1923.1,31.18,-16.09,-74.18
1955.5,30.09,-17.55,-73.67
2004.5,30.09,-18.73,-73.98
2045.5,30.09,-18.73,-73.98
2080.8,31.36,-16.36,-74.69
2126.8,31.36,-16.36,-74.69
2164.4,31.27,-19.09,-73.16
2201.6,30.91,-17.91,-74.29
2247.9,30.91,-17.91,-74.29
2281.9,28.36,-17.45,-74.90
2331.0,28.36,-18.55,-73.98
2372.9,31.18,-18.55,-73.98
2405.1,27.09,-18.73,-71.43
2454.1,27.09,-18.73,-71.43
2489.4,26.82,-19.91,-72.45
2533.8,30.18,-18.27,-72.45
2569.0,30.18,-18.27,-72.45
2619.2,31.36,-19.18,-72.55
2655.6,31.36,-19.18,-72.55
2688.0,26.09,-18.18,-68.67
2742.5,30.73,-19.36,-72.35
2782.9,30.73,-19.36,-72.35
2816.2,30.09,-18.82,-69.49
2863.7,29.18,-15.27,-70.20
2904.0,29.18,-15.27,-70.20
2945.2,31.18,-16.45,-70.10
2987.8,31.18,-16.45,-70.10
3019.9,30.55,-18.82,-69.39
3070.3,29.64,-17.36,-69.59
3104.4,29.64,-17.36,-69.59
3146.4,29.73,-17.27,-68.57
3191.7,29.27,-18.82,-69.08
3232.2,29.27,-18.82,-69.08
3274.3,31.09,-17.18,-69.80
3315.6,31.09,-17.18,-69.80
3342.9,29.36,-20.36,-67.96
3394.7,29.45,-17.27,-67.86
3439.5,29.45,-17.27,-67.86
3471.2,29.73,-15.91,-69.08
3520.3,29.36,-18.27,-66.94
3550.8,29.36,-18.27,-66.94
3600.3,30.45,-17.55,-67.76
3630.7,30.45,-17.55,-67.76
3680.2,29.64,-17.18,-68.16
3726.3,30.18,-17.36,-67.24
3764.9,30.18,-17.36,-67.24
3807.5,28.73,-18.09,-67.96
3848.8,31.00,-17.73,-66.73
3881.5,31.00,-17.73,-66.73
3930.6,28.91,-20.45,-67.86
3972.8,28.91,-20.45,-67.86
4007.3,32.00,-17.55,-67.76
4053.6,30.55,-17.00,-65.61
4095.2,30.55,-17.00,-65.61
4127.2,32.73,-16.27,-66.73
4175.9,30.64,-16.27,-67.04
4207.8,30.64,-16.27,-67.04
4256.2,30.73,-17.45,-66.84
4290.1,30.73,-17.45,-66.84
4341.4,31.36,-17.00,-64.90
4377.7,30.73,-17.18,-66.22
4415.2,30.73,-17.18,-66.22
4460.2,32.82,-17.73,-66.33
4490.5,32.55,-16.82,-65.31
4539.7,32.55,-16.82,-65.31
4586.6,32.09,-18.27,-64.08
4622.9,32.09,-18.27,-64.08
4654.8,31.55,-15.82,-65.00
4708.6,32.00,-16.64,-65.00
4750.4,32.00,-16.64,-65.00
4783.9,32.09,-18.00,-65.00
4830.5,32.55,-16.73,-65.10
4874.6,32.55,-16.73,-65.10
4913.1,34.09,-16.36,-66.12
4944.0,34.09,-16.36,-66.12
4994.9,31.36,-15.73,-67.24
5032.3,30.55,-15.36,-66.12
5079.1,30.55,-15.36,-66.12
5115.2,27.91,-15.64,-68.78
5161.3,28.27,-15.55,-69.59
5201.3,28.27,-15.55,-69.59
5243.2,27.09,-19.36,-72.24
5281.7,27.09,-19.36,-72.24
5323.9,25.18,-19.45,-75.51
5365.0,22.55,-18.45,-76.63
5395.2,22.55,-18.45,-76.63
5446.9,19.73,-19.18,-80.41
5482.6,8.82,-24.82,-87.55
5524.8,8.82,-24.82,-87.55
5565.7,-11.09,-46.00,-93.78
5611.5,-11.09,-46.00,-93.78
5649.0,-19.00,-66.18,-105.51
5685.9,7.73,-51.73,-98.78
5734.0,7.73,-51.73,-98.78
5775.3,25.27,-30.73,-83.47
5814.5,30.09,-20.27,-74.29
5856.0,30.09,-20.27,-74.29
5898.8,28.27,-19.55,-71.73
5939.2,28.27,-19.55,-71.73
5980.6,30.09,-18.18,-69.18
6014.6,26.82,-20.64,-71.12
6059.2,26.82,-20.64,-71.12
6103.5,25.27,-17.82,-72.35
6131.3,8.91,-23.18,-76.12
6182.9,8.91,-23.18,-76.12
6226.3,-1.36,-26.55,-84.90
6265.8,-1.36,-26.55,-84.90
6307.0,14.55,-22.73,-91.02
6349.4,26.45,-18.91,-79.39
6389.1,26.45,-18.91,-79.39
6420.9,28.09,-17.55,-74.90
6466.7,31.36,-16.91,-68.57
6510.7,31.36,-16.91,-68.57
6548.6,30.82,-17.18,-67.76
6591.8,30.82,-17.18,-67.76
6637.1,31.55,-15.55,-67.45
6678.2,28.36,-18.09,-68.67
6718.8,28.36,-18.09,-68.67
6759.5,21.64,-19.91,-73.27
6801.2,7.45,-20.73,-78.78
6842.1,7.45,-20.73,-78.78
6882.4,12.09,-22.18,-79.69
6924.6,12.09,-22.18,-79.69
6964.9,21.64,-17.18,-77.76
7005.7,29.09,-16.45,-71.53
7045.8,29.09,-16.45,-71.53
7087.3,28.36,-15.73,-68.16
7128.9,31.45,-15.91,-67.86
7170.4,31.45,-15.91,-67.86
7211.6,31.55,-18.27,-67.45
7250.9,31.55,-18.27,-67.45
7292.7,29.55,-16.09,-68.88
7334.4,25.09,-19.82,-72.35
7374.6,25.09,-19.82,-72.35
7415.2,14.55,-24.27,-79.90
7456.4,12.55,-22.27,-80.20
7497.4,12.55,-22.27,-80.20
7539.1,25.36,-19.36,-76.12
7578.6,25.36,-19.36,-76.12
7620.6,29.73,-16.27,-69.69
7662.5,28.55,-15.45,-67.24
7702.3,28.55,-15.45,-67.24
7744.3,32.64,-17.27,-66.33
7784.2,28.27,-17.55,-67.14
7826.4,28.27,-17.55,-67.14
7866.5,28.82,-16.00,-67.86
7906.5,28.82,-16.00,-67.86
