timestamp,x_uT,y_uT,z_uT
1.2,33.91,-2.18,-65.10
2.2,33.91,-2.18,-65.10
3.2,30.55,-0.55,-60.51
3.2,25.91,-2.45,-53.67
4.2,25.91,-2.45,-53.67
5.2,20.64,-6.91,-47.96
6.2,20.64,-6.91,-47.96
7.2,20.27,-19.36,-45.92
8.3,23.73,-24.82,-53.78
9.3,23.73,-24.82,-53.78
10.7,28.27,-27.82,-62.35
10.7,33.64,-26.45,-69.29
12.0,33.64,-26.45,-69.29
13.3,33.91,-25.18,-71.94
14.3,33.91,-25.18,-71.94
15.8,34.09,-26.55,-74.29
16.8,33.36,-24.00,-76.22
17.8,33.36,-24.00,-76.22
18.8,34.73,-25.82,-76.94
19.8,37.36,-23.55,-76.84
20.8,37.36,-23.55,-76.84
21.8,36.55,-21.73,-76.33
22.8,36.55,-21.73,-76.33
23.8,37.82,-21.64,-76.43
24.8,36.82,-21.73,-74.69
24.8,36.82,-21.73,-74.69
25.8,38.91,-22.55,-76.22
26.8,36.73,-21.91,-75.82
27.8,36.73,-21.91,-75.82
28.8,37.82,-22.00,-77.45
29.8,37.82,-22.00,-77.45
30.8,36.73,-19.64,-76.33
31.8,37.91,-19.82,-76.33
32.8,37.91,-19.82,-76.33
33.8,38.45,-21.64,-76.33
34.8,40.00,-20.64,-75.82
34.8,40.00,-20.64,-75.82
35.8,39.45,-22.00,-76.84
36.8,39.45,-22.00,-76.84
71.5,35.73,-19.73,-75.31
112.1,35.36,-20.09,-76.02
153.3,35.36,-20.09,-76.02
193.9,38.91,-19.27,-78.06
235.1,38.82,-19.00,-75.10
276.6,38.82,-19.00,-75.10
316.8,37.45,-19.45,-76.33
358.7,37.45,-19.45,-76.33
398.7,36.64,-20.18,-77.76
440.5,37.09,-18.91,-77.14
481.4,37.09,-18.91,-77.14
522.1,38.27,-21.64,-76.22
563.5,36.00,-21.09,-77.35
604.6,36.00,-21.09,-77.35
644.8,36.09,-18.82,-77.96
686.6,36.09,-18.82,-77.96
726.9,36.82,-18.64,-77.76
768.8,35.91,-20.00,-76.84
809.7,35.91,-20.00,-76.84
850.9,38.09,-20.09,-77.35
890.5,38.09,-21.18,-52.55
931.4,40.36,-21.18,-78.67
973.6,37.45,-19.91,-78.78
1013.9,37.45,-19.91,-78.78
1055.6,39.64,-19.09,-78.06
1097.8,38.18,-20.27,-76.94
1137.8,38.18,-20.27,-76.94
1178.8,36.73,-19.91,-76.94
1219.1,36.73,-19.91,-76.94
1260.8,37.45,-19.91,-77.55
1301.0,37.00,-20.45,-77.04
1342.8,37.00,-20.45,-77.04
1383.0,39.27,-19.91,-77.55
1424.3,38.45,-20.09,-78.37
1464.7,38.45,-20.09,-78.37
1506.7,36.36,-19.91,-77.96
1548.1,36.36,-19.91,-77.96
1588.2,37.18,-20.18,-78.78
1629.6,36.73,-19.18,-77.96
1670.8,36.73,-19.18,-77.96
1711.2,37.64,-18.45,-78.06
1753.0,38.55,-19.82,-77.45
1793.4,38.55,-19.82,-77.45
1834.6,40.73,-20.55,-78.47
1875.8,40.73,-20.55,-78.47
1915.7,37.09,-21.36,-78.06
1957.6,36.55,-19.73,-77.04
1998.1,36.55,-19.73,-77.04
2039.7,38.09,-19.09,-77.55
2080.3,38.18,-20.73,-77.55
2121.4,38.18,-20.73,-77.55
2163.5,37.82,-19.00,-76.33
2203.1,37.82,-19.00,-76.33
2244.7,34.73,-19.82,-76.73
2285.7,35.55,-21.55,-76.73
2326.0,35.55,-21.55,-76.73
2366.5,36.45,-19.55,-77.35
2408.5,36.91,-20.45,-77.55
2449.1,36.91,-20.45,-77.55
2489.9,37.55,-19.73,-78.67
2531.7,37.55,-19.73,-78.67
2572.7,36.18,-17.09,-76.53
2613.4,37.45,-20.36,-76.33
2654.7,37.45,-20.36,-76.33
2694.6,37.64,-20.91,-78.47
2734.8,38.73,-20.18,-78.57
2776.7,38.73,-20.18,-78.57
2804.5,37.36,-19.00,-78.57
2855.2,37.36,-19.00,-78.57
2899.9,37.82,-19.00,-78.47
2935.0,38.09,-18.91,-78.78
2979.2,38.09,-18.91,-78.78
3020.6,37.82,-18.55,-78.47
3063.6,38.27,-19.55,-78.06
3103.1,38.27,-19.55,-78.06
3145.3,38.36,-19.64,-77.86
3184.0,38.36,-19.64,-77.86
3227.6,36.27,-18.09,-78.27
3255.9,37.91,-18.45,-78.37
3301.2,37.91,-18.45,-78.37
3351.1,38.64,-19.73,-77.24
3384.7,38.64,-17.91,-77.35
3433.3,38.64,-17.91,-77.35
3467.8,39.73,-17.91,-78.37
3512.7,39.73,-17.91,-78.37
