timestamp,x_uT,y_uT,z_uT
1.4,29.09,-15.27,-78.88
2.4,29.00,-16.36,-79.39
3.4,31.27,-17.09,-79.29
4.4,31.27,-17.09,-79.29
5.4,29.45,-15.45,-79.59
5.4,29.73,-17.55,-79.18
6.4,29.73,-17.55,-79.18
7.4,31.36,-15.73,-80.00
8.4,31.36,-15.73,-80.00
9.4,29.36,-16.00,-79.90
10.4,29.55,-17.73,-77.96
10.4,29.55,-17.73,-77.96
11.4,28.45,-15.64,-80.00
12.4,31.91,-15.73,-77.96
13.4,31.91,-15.73,-77.96
14.9,31.64,-15.64,-80.10
15.9,31.64,-15.64,-80.10
15.9,30.45,-15.18,-78.98
17.4,28.73,-14.45,-79.18
18.5,28.73,-14.45,-79.18
19.5,30.55,-16.00,-78.27
19.5,32.73,-16.18,-77.65
20.7,32.73,-16.18,-77.65
22.2,30.82,-17.18,-79.90
23.2,30.82,-17.18,-79.90
24.2,30.00,-17.82,-79.90
24.2,30.82,-16.73,-82.04
25.2,30.82,-16.73,-82.04
26.2,29.82,-16.55,-81.84
27.2,27.82,-18.73,-82.65
27.2,27.82,-18.73,-82.65
29.2,30.64,-13.91,-81.33
32.2,30.64,-13.91,-81.33
33.2,29.36,-15.55,-82.65
34.2,29.36,-14.91,-82.24
36.2,29.36,-14.91,-82.24
37.2,28.36,-14.45,-80.61
39.2,30.36,-17.18,-82.14
41.2,30.36,-17.18,-82.14
42.2,31.73,-14.55,-82.04
43.2,31.73,-14.55,-82.04
44.2,29.64,-16.36,-81.73
48.2,29.27,-17.18,-81.84
49.2,29.27,-17.18,-81.84
50.2,29.00,-17.45,-82.86
51.2,27.82,-18.00,-80.20
53.2,27.82,-18.00,-80.20
54.2,31.18,-16.73,-81.63
55.2,31.18,-16.73,-81.63
57.2,30.91,-17.18,-82.45
58.2,28.36,-16.00,-81.73
59.2,28.36,-16.00,-81.73
61.2,33.73,-15.36,-81.53
62.2,29.45,-17.73,-81.22
64.2,29.45,-17.73,-81.22
66.2,28.64,-16.82,-82.04
68.2,28.64,-16.82,-82.04
69.2,26.82,-14.18,-81.02
71.2,26.27,-15.91,-80.92
72.2,26.27,-15.91,-80.92
73.2,31.27,-14.73,-80.92
74.2,27.09,-15.36,-80.71
75.2,27.09,-15.36,-80.71
77.2,30.27,-15.45,-81.43
78.2,30.27,-15.45,-81.43
82.2,29.09,-13.00,-81.73
83.2,28.64,-13.91,-81.63
84.2,28.64,-13.91,-81.63
86.2,29.18,-16.91,-81.43
87.2,29.18,-16.91,-81.43
88.2,29.27,-14.55,-81.63
89.2,31.73,-15.27,-80.00
90.2,31.73,-15.27,-80.00
91.2,30.09,-14.73,-80.10
93.2,28.82,-13.91,-81.33
110.2,28.82,-13.91,-81.33
151.1,29.64,-16.73,-81.84
192.0,29.64,-16.73,-81.84
232.2,29.64,-17.45,-81.53
274.3,28.45,-14.82,-82.45
314.3,28.45,-14.82,-82.45
356.3,30.00,-16.55,-80.51
397.3,31.09,-15.82,-80.82
438.0,31.09,-15.82,-80.82
479.3,28.82,-14.09,-80.61
520.4,28.82,-14.09,-80.61
560.9,30.55,-16.18,-82.55
