timestamp,x_uT,y_uT,z_uT
1.0,31.00,-14.45,-79.08
2.0,31.00,-14.45,-79.08
2.0,37.18,-15.18,-63.88
3.5,37.18,-15.18,-63.88
4.6,43.09,-9.82,-59.18
5.5,30.45,-16.27,-76.33
6.5,30.45,-16.27,-76.33
6.5,30.00,-15.27,-78.78
7.5,29.73,-15.00,-76.43
8.6,29.73,-15.00,-76.43
9.6,43.73,-10.82,-59.08
10.6,43.73,-10.82,-59.08
11.6,34.27,-14.91,-67.76
12.6,29.55,-14.73,-76.73
13.6,29.55,-14.73,-76.73
13.6,31.64,-15.45,-76.53
14.9,30.64,-15.55,-76.02
15.9,30.64,-15.55,-76.02
15.9,29.91,-16.82,-74.49
17.0,29.91,-16.82,-74.49
18.2,30.64,-16.73,-72.04
19.6,32.64,-13.64,-71.02
20.6,32.64,-13.64,-71.02
21.8,33.36,-13.82,-68.57
21.8,33.91,-16.18,-68.88
22.9,33.91,-16.18,-68.88
23.9,35.09,-15.64,-71.53
24.9,35.09,-15.64,-71.53
25.9,32.09,-15.45,-69.59
26.9,32.91,-15.45,-71.02
29.2,32.91,-15.45,-71.02
30.2,32.55,-14.45,-73.37
31.2,30.82,-15.18,-72.24
32.2,30.82,-15.18,-72.24
32.2,31.18,-14.45,-72.96
33.2,31.18,-14.45,-72.96
34.2,33.27,-15.82,-72.45
35.2,30.36,-13.82,-72.55
36.2,30.36,-13.82,-72.55
37.2,30.55,-13.36,-70.92
38.2,32.55,-15.00,-70.71
39.2,32.55,-15.00,-70.71
40.2,32.45,-14.45,-70.20
41.2,32.45,-14.45,-70.20
41.2,32.82,-13.82,-70.51
42.2,31.91,-13.64,-67.55
43.7,31.91,-13.64,-67.55
44.7,33.18,-13.27,-69.59
45.7,34.91,-13.45,-70.51
45.7,34.91,-13.45,-70.51
46.7,33.18,-14.73,-70.20
47.7,33.18,-14.73,-70.20
48.7,33.27,-13.82,-70.51
48.7,35.18,-14.73,-70.41
49.7,35.18,-14.73,-70.41
50.7,32.55,-16.00,-71.43
51.7,34.82,-14.73,-71.22
52.7,34.82,-14.73,-71.22
53.7,33.27,-14.27,-72.14
54.7,33.27,-14.27,-72.14
93.8,36.73,-15.45,-71.12
135.0,33.36,-14.36,-73.27
176.4,33.36,-14.36,-73.27
216.9,32.91,-13.73,-71.12
257.4,34.27,-13.64,-72.24
298.5,34.27,-13.64,-72.24
339.7,35.64,-12.45,-71.02
381.2,35.64,-12.45,-71.02
421.3,35.27,-13.45,-71.12
463.1,33.36,-12.36,-70.82
503.6,33.36,-12.36,-70.82
544.7,30.91,-15.09,-70.31
585.4,32.82,-14.64,-69.59
626.9,32.82,-14.64,-69.59
667.6,33.64,-14.18,-70.31
707.9,33.64,-14.18,-70.31
749.6,35.27,-14.82,-68.47
790.8,34.91,-15.45,-68.88
832.8,34.91,-15.45,-68.88
872.3,32.64,-16.45,-69.80
913.5,33.64,-16.09,-68.47
955.4,33.64,-16.09,-68.47
995.7,37.55,-15.09,-68.98
1036.0,37.55,-15.09,-68.98
1078.1,34.36,-16.36,-68.78
1118.9,33.91,-17.73,-69.90
1160.0,33.91,-17.73,-69.90
1200.3,36.73,-16.09,-71.12
1241.7,36.00,-16.36,-70.41
1283.1,36.00,-16.36,-70.41
1324.1,34.73,-17.64,-71.84
1365.1,34.73,-17.64,-71.84
1405.9,36.36,-16.82,-71.12
1447.1,34.18,-15.55,-72.04
1488.6,34.18,-15.55,-72.04
1528.6,35.73,-15.91,-71.22
1570.1,35.36,-15.55,-72.65
1611.1,35.36,-15.55,-72.65
1652.0,35.73,-13.82,-73.47
1692.6,35.73,-13.82,-73.47
1733.8,35.91,-14.27,-72.76
1774.6,33.27,-15.91,-70.61
1815.1,33.27,-15.91,-70.61
1856.2,33.55,-15.45,-74.29
1897.3,36.55,-16.55,-72.14
1938.9,36.55,-16.55,-72.14
1980.1,37.09,-13.73,-71.63
2021.9,37.09,-13.73,-71.63
2061.0,36.27,-15.64,-72.65
2102.8,34.18,-17.09,-72.65
2143.9,34.18,-17.09,-72.65
2184.1,35.73,-16.27,-70.82
2226.1,35.73,-16.27,-70.82
2267.1,35.73,-16.27,-70.82
2306.9,35.82,-16.82,-72.35
2349.1,35.82,-16.82,-72.35
2389.7,33.27,-15.36,-72.04
2431.1,32.64,-16.45,-75.71
2471.6,32.64,-16.45,-75.71
2511.9,31.45,-15.36,-74.80
2554.1,31.45,-15.36,-74.80
2595.0,38.64,-16.09,-68.06
2635.9,36.73,-14.09,-70.31
2676.4,36.73,-14.09,-70.31
2717.9,28.82,-15.27,-77.35
2759.4,30.00,-17.00,-77.14
2800.1,30.00,-17.00,-77.14
2840.6,33.73,-16.36,-73.67
2882.1,33.73,-16.36,-73.67
2922.3,41.00,-15.27,-67.14
2964.2,30.09,-16.82,-77.04
3005.4,30.09,-16.82,-77.04
3046.1,31.55,-16.64,-80.92
3088.2,29.18,-15.27,-79.08
3128.0,29.18,-15.27,-79.08
3168.9,34.55,-17.00,-67.86
3209.9,34.55,-17.00,-67.86
3251.1,41.18,-17.27,-66.53
3291.2,30.64,-17.18,-77.96
3333.1,30.64,-17.18,-77.96
3373.1,30.36,-15.91,-79.90
3414.8,29.73,-13.73,-79.69
3454.8,29.73,-13.73,-79.69
3496.8,30.73,-15.27,-73.88
3538.2,30.73,-15.27,-73.88
3578.6,36.18,-14.73,-70.51
3620.2,32.73,-14.45,-72.45
3660.8,32.73,-14.45,-72.45
3702.0,33.00,-15.18,-73.78
3742.9,32.45,-14.91,-73.98
3783.7,32.45,-14.91,-73.98
3824.5,35.27,-16.09,-73.06
3865.6,35.27,-16.09,-73.06
3906.7,33.36,-15.36,-71.53
3947.8,34.91,-15.91,-71.94
3988.8,34.91,-15.91,-71.94
4030.2,34.45,-15.18,-71.63
4071.3,32.91,-15.00,-71.53
4112.0,32.91,-15.00,-71.53
4152.9,34.36,-15.64,-72.65
4194.1,34.36,-15.64,-72.65
4234.9,33.36,-14.45,-71.63
4275.5,33.36,-14.91,-74.39
4317.2,33.36,-14.91,-74.39
4357.7,33.27,-13.55,-71.43
4398.8,33.18,-15.00,-73.67
4439.6,33.18,-15.00,-73.67
4479.8,34.09,-13.82,-70.92
4521.7,34.09,-13.82,-70.92
4562.6,33.73,-14.18,-71.43
4604.0,34.73,-13.73,-70.41
4645.1,34.73,-13.73,-70.41
4686.1,34.45,-14.73,-71.43
4726.9,34.45,-16.55,-70.92
4768.2,34.45,-16.55,-70.92
4809.2,34.64,-15.00,-71.94
4850.2,34.64,-15.00,-71.94
4890.8,33.27,-15.09,-71.63
4931.1,36.18,-16.64,-71.02
4972.4,36.18,-16.64,-71.02
5014.1,35.36,-14.45,-69.08
5054.9,36.18,-14.36,-70.71
5094.0,36.18,-14.36,-70.71
5137.1,36.73,-14.18,-69.90
5177.7,36.73,-14.18,-69.90
5218.2,34.73,-14.45,-70.61
5259.2,36.09,-14.18,-70.92
5300.2,36.09,-14.18,-70.92
5340.8,36.91,-14.55,-69.90
5382.6,39.36,-13.18,-68.67
5422.6,39.36,-13.18,-68.67
5464.2,34.91,-15.45,-68.06
5504.7,34.91,-15.45,-68.06
5545.6,33.45,-14.73,-76.73
5587.1,31.91,-16.64,-78.98
5628.1,31.91,-16.64,-78.98
