timestamp,x_uT,y_uT,z_uT
0.0,-33.45,-67.64,-35.71
1.2,-30.91,-72.64,-35.92
1.2,-30.91,-72.64,-35.92
1.2,-34.82,-75.82,-33.57
2.2,-33.91,-83.00,-29.80
2.2,-33.91,-83.00,-29.80
2.2,-33.27,-87.18,-26.22
3.2,-32.45,-89.09,-25.31
3.2,-32.45,-89.09,-25.31
3.2,-32.18,-91.00,-24.29
4.2,-32.18,-91.00,-24.29
4.2,-32.00,-89.73,-23.98
5.1,-30.18,-89.64,-24.80
5.1,-30.18,-89.64,-24.80
5.1,-29.64,-87.45,-24.69
6.1,-32.55,-90.18,-24.08
6.1,-32.55,-90.18,-24.08
6.1,-31.73,-90.64,-21.63
7.2,-31.73,-90.64,-21.63
7.2,-32.00,-91.64,-20.51
7.2,-34.00,-91.55,-18.78
8.2,-34.00,-91.55,-18.78
8.2,-33.64,-92.36,-17.35
8.2,-32.55,-92.91,-16.33
9.2,-32.55,-92.91,-16.33
9.2,-30.09,-92.27,-16.33
9.2,-30.09,-92.27,-16.33
9.2,-30.73,-91.91,-16.84
9.2,-29.45,-90.82,-16.73
10.7,-29.45,-90.82,-16.73
10.7,-28.82,-91.09,-17.14
10.7,-27.64,-91.73,-16.53
11.7,-27.64,-91.73,-16.53
11.7,-26.73,-90.09,-16.84
11.7,-26.73,-90.09,-16.84
12.7,-25.18,-91.18,-17.24
12.7,-23.09,-93.36,-16.43
12.7,-23.09,-93.36,-16.43
13.7,-21.73,-93.09,-22.86
13.7,-21.55,-96.18,-24.08
13.7,-21.55,-96.18,-24.08
14.7,-21.82,-94.09,-27.55
14.7,-21.82,-94.09,-27.55
14.7,-19.91,-94.64,-28.88
15.7,-19.09,-94.91,-28.88
15.7,-19.09,-94.91,-28.88
46.4,-18.91,-93.64,-28.47
88.2,-17.82,-95.55,-27.35
123.6,-17.82,-95.55,-27.35
170.2,-16.36,-95.82,-28.37
210.3,-16.36,-95.82,-28.37
250.7,-17.64,-93.36,-28.16
292.7,-16.36,-92.27,-27.86
333.7,-16.36,-92.27,-27.86
374.0,-16.00,-92.64,-27.35
415.5,-16.82,-93.09,-26.63
456.3,-16.82,-93.09,-26.63
497.7,-14.64,-89.36,-25.61
538.7,-14.64,-89.36,-25.61
578.5,-16.55,-90.91,-23.78
621.2,-16.36,-89.73,-23.78
660.6,-16.36,-89.73,-23.78
689.5,-16.55,-89.36,-24.90
743.2,-16.36,-90.18,-25.20
783.9,-16.36,-90.18,-25.20
824.4,-15.00,-89.91,-26.73
866.1,-15.00,-89.91,-26.73
907.1,-15.45,-88.82,-26.94
948.6,-16.18,-86.73,-26.53
988.8,-16.18,-86.73,-26.53
1029.8,-14.18,-86.18,-27.45
1071.9,-14.82,-88.00,-27.35
1111.9,-14.82,-88.00,-27.35
1153.4,-15.64,-87.64,-27.45
1194.7,-15.64,-87.64,-27.45
1235.6,-16.55,-87.64,-28.37
1276.2,-16.55,-88.55,-27.24
1317.1,-16.55,-88.55,-27.24
1358.5,-16.27,-91.36,-27.45
1399.5,-15.27,-89.09,-27.55
1439.4,-15.27,-89.09,-27.55
1481.4,-17.73,-90.27,-27.76
1522.4,-17.73,-90.27,-27.76
1562.4,-16.55,-89.45,-27.86
1604.3,-16.91,-89.91,-27.76
1645.4,-16.91,-89.91,-27.76
1686.6,-18.00,-88.91,-27.35
1727.3,-17.36,-89.82,-27.55
1768.0,-17.36,-89.82,-27.55
1809.3,-18.36,-88.36,-27.45
1850.8,-18.36,-88.36,-27.45
1891.1,-17.09,-89.55,-27.96
1933.3,-15.18,-88.64,-26.73
1973.4,-15.18,-88.64,-26.73
2014.9,-15.91,-88.55,-26.53
2055.7,-16.73,-88.36,-26.12
2095.8,-16.73,-88.36,-26.12
2137.0,-15.55,-88.27,-25.92
2178.7,-15.55,-88.27,-25.92
2219.2,-15.36,-87.82,-25.41
2260.2,-15.45,-87.91,-25.61
2302.2,-15.45,-87.91,-25.61
2342.2,-16.09,-88.64,-25.10
2383.7,-16.55,-86.45,-25.10
2423.6,-16.55,-86.45,-25.10
2464.8,-15.73,-87.91,-26.02
2505.8,-15.73,-87.91,-26.02
2547.9,-14.45,-85.91,-27.04
2588.3,-15.00,-86.36,-24.90
2630.1,-15.00,-86.36,-24.90
2670.3,-14.27,-86.45,-25.10
2711.4,-15.09,-87.09,-24.90
2751.6,-15.09,-87.09,-24.90
2793.0,-14.55,-87.73,-25.82
2834.8,-14.55,-87.73,-25.82
2875.2,-16.00,-86.64,-24.69
2916.2,-15.82,-87.91,-25.41
2956.7,-15.82,-87.91,-25.41
2997.9,-15.18,-85.45,-25.82
3039.4,-15.18,-86.45,-24.59
3080.3,-15.09,-86.45,-24.59
3120.9,-17.00,-87.09,-24.08
3162.7,-17.00,-87.09,-24.08
3203.7,-15.82,-87.82,-23.88
3244.4,-16.64,-86.55,-23.27
3285.4,-16.64,-86.55,-23.27
3326.7,-16.36,-87.00,-22.45
3367.7,-16.36,-87.00,-22.45
3407.4,-16.36,-87.00,-22.45
3449.2,-15.73,-86.82,-24.18
3489.6,-15.73,-86.82,-24.18
3531.2,-16.00,-89.45,-22.45
3572.2,-15.09,-86.91,-22.14
3613.6,-15.09,-86.91,-22.14
3654.6,-15.27,-83.27,-23.16
3695.7,-15.27,-83.27,-23.16
3736.0,-14.91,-85.64,-23.57
3777.0,-13.45,-86.27,-23.27
3818.4,-13.45,-86.27,-23.27
3858.4,-15.73,-86.27,-23.78
3900.8,-15.73,-86.64,-23.57
3940.8,-15.73,-86.64,-23.57
3982.8,-15.64,-86.91,-22.96
4022.8,-15.64,-86.91,-22.96
4063.3,-16.64,-85.18,-23.47
4105.0,-16.36,-85.09,-23.47
4146.5,-16.36,-85.09,-23.47
4187.9,-15.09,-87.18,-24.18
4229.0,-15.00,-86.09,-24.69
4269.0,-15.00,-86.09,-24.69
4311.0,-15.18,-86.27,-23.78
4351.5,-15.18,-86.27,-23.78
4391.4,-14.91,-84.82,-24.18
4433.6,-16.45,-86.91,-25.31
4473.8,-16.45,-86.91,-25.31
4515.4,-16.27,-86.82,-25.20
4555.5,-14.91,-85.45,-25.10
4597.6,-14.91,-85.45,-25.10
4638.4,-16.82,-86.00,-24.69
4679.8,-16.82,-86.00,-24.69
4719.8,-15.36,-85.91,-26.02
4760.7,-14.82,-87.09,-25.41
4801.6,-14.82,-87.09,-25.41
4843.1,-14.18,-87.00,-26.22
4884.3,-14.36,-87.36,-26.02
4924.9,-14.36,-87.36,-26.02
4966.9,-15.73,-86.36,-27.35
5007.2,-15.73,-86.36,-27.35
5047.7,-13.82,-87.09,-26.63
5089.1,-14.45,-85.64,-26.73
5129.8,-14.45,-85.64,-26.73
5171.7,-14.09,-86.64,-27.65
5212.5,-13.18,-85.18,-29.08
5253.5,-13.18,-85.18,-29.08
5294.6,-10.36,-86.18,-28.78
5335.3,-10.36,-86.18,-28.78
5376.8,-8.73,-87.36,-27.86
5418.0,-6.27,-88.45,-28.98
5458.4,-6.27,-88.45,-28.98
5499.3,-1.64,-89.27,-26.43
5538.8,4.45,-84.91,-25.61
5581.6,4.45,-84.91,-25.61
5622.9,9.36,-82.91,-23.57
5664.2,9.36,-82.91,-23.57
5703.7,13.45,-79.27,-21.02
5745.2,16.36,-72.64,-18.06
5785.8,16.36,-72.64,-18.06
5827.3,19.64,-67.27,-13.16
5868.8,19.09,-55.55,-8.88
5908.4,19.09,-55.55,-8.88
5949.8,16.91,-47.18,-7.96
5991.4,16.91,-47.18,-7.96
6032.4,9.36,-38.64,-7.86
6072.1,2.36,-32.09,-10.00
6114.7,2.36,-32.09,-10.00
6154.7,-6.36,-26.18,-7.76
6196.4,-16.36,-24.82,-7.24
6237.0,-16.36,-24.82,-7.24
6278.8,-32.82,-26.91,-6.43
6320.2,-32.82,-26.91,-6.43
6361.1,-39.64,-37.55,-8.47
6401.6,-44.45,-50.27,-14.69
6441.5,-44.45,-50.27,-14.69
6483.8,-41.45,-61.00,-22.96
6523.9,-38.82,-67.82,-27.04
6565.6,-38.82,-67.82,-27.04
6606.4,-33.18,-74.36,-30.51
6647.4,-33.18,-74.36,-30.51
6688.6,-29.27,-77.00,-31.43
6729.7,-25.18,-80.55,-33.37
6769.6,-25.18,-80.55,-33.37
6810.4,-22.27,-81.36,-33.37
6853.2,-19.45,-82.45,-33.16
6893.2,-19.45,-82.45,-33.16
6934.6,-17.82,-82.09,-32.55
6975.1,-17.82,-82.09,-32.55
7016.5,-17.36,-83.36,-31.73
7057.2,-16.82,-82.64,-31.12
7098.8,-16.82,-82.64,-31.12
7139.2,-17.45,-83.27,-31.63
7180.8,-17.45,-82.73,-30.82
7221.2,-17.45,-82.73,-30.82
7262.5,-16.45,-82.82,-32.24
7289.6,-16.45,-82.82,-32.24
7344.9,-16.36,-82.91,-32.35
7386.0,-16.45,-83.91,-32.24
7426.6,-16.45,-83.91,-32.24
7468.2,-14.82,-85.45,-33.88
7508.2,-12.91,-88.45,-32.65
7550.0,-12.91,-88.45,-32.65
7590.3,-9.27,-92.18,-30.61
7631.4,-9.27,-92.18,-30.61
7671.7,-3.36,-93.82,-29.80
7714.1,5.36,-96.09,-27.24
7754.3,5.36,-96.09,-27.24
7794.6,11.36,-91.55,-25.41
7836.6,17.36,-90.00,-24.18
7877.0,17.36,-90.00,-24.18
7918.7,25.45,-83.55,-19.69
7958.4,25.45,-83.55,-19.69
8000.5,30.00,-74.64,-15.20
8040.6,29.09,-61.09,-11.22
8081.7,29.09,-61.09,-11.22
8122.6,24.00,-50.73,-10.71
8164.4,18.00,-40.73,-11.73
8205.4,18.00,-40.73,-11.73
8246.7,11.18,-32.64,-11.94
8286.6,11.18,-32.64,-11.94
8328.1,1.18,-24.00,-13.27
8369.3,-12.36,-20.82,-17.35
8410.5,-12.36,-20.82,-17.35
8451.5,-26.00,-24.00,-17.96
8492.0,-40.18,-28.64,-17.96
8527.0,-40.18,-28.64,-17.96
8574.0,-49.45,-40.55,-20.61
8615.2,-49.45,-40.55,-20.61
8656.2,-47.45,-53.64,-25.41
8697.8,-42.45,-65.00,-28.27
8739.0,-42.45,-65.00,-28.27
8779.8,-37.64,-70.91,-28.98
8819.7,-38.09,-77.09,-28.47
8861.2,-38.09,-77.09,-28.47
8902.6,-36.64,-81.82,-27.35
8939.5,-36.64,-81.82,-27.35
8984.5,-36.64,-88.91,-27.24
9024.8,-35.00,-91.18,-24.39
9066.7,-35.00,-91.18,-24.39
9106.3,-32.91,-91.64,-24.39
9148.7,-30.45,-91.09,-25.71
9188.8,-30.45,-91.09,-25.71
9230.3,-31.09,-89.64,-25.00
9271.2,-31.09,-89.64,-25.00
9312.7,-32.00,-89.82,-24.69
9352.7,-30.73,-90.91,-25.10
9395.0,-30.73,-90.91,-25.10
9435.7,-29.73,-90.36,-24.29
9476.0,-28.09,-89.82,-25.41
9517.8,-28.09,-89.82,-25.41
9557.5,-26.82,-93.00,-23.06
9599.5,-26.82,-93.00,-23.06
9640.2,-23.00,-97.00,-20.41
9681.2,-19.00,-101.45,-17.45
9721.9,-19.00,-101.45,-17.45
9764.1,-9.64,-105.09,-14.69
9803.6,0.55,-104.36,-13.67
9844.7,0.55,-104.36,-13.67
9886.2,11.45,-98.18,-15.41
9927.3,11.45,-98.18,-15.41
9968.9,18.36,-92.64,-16.02
10009.1,23.91,-82.00,-16.02
10049.7,23.91,-82.00,-16.02
10091.0,25.82,-73.64,-16.02
10131.0,27.18,-63.00,-14.90
10172.6,27.18,-63.00,-14.90
10214.6,23.09,-51.27,-13.88
10255.0,23.09,-51.27,-13.88
10296.6,16.73,-43.09,-16.73
10337.4,9.45,-40.00,-19.90
10379.1,9.45,-40.00,-19.90
10419.1,2.73,-36.55,-20.92
10460.8,-2.55,-34.36,-20.31
10501.8,-2.55,-34.36,-20.31
10541.7,-8.82,-32.91,-22.45
10583.3,-8.82,-32.91,-22.45
10624.0,-17.18,-28.82,-21.94
10665.8,-29.09,-27.00,-21.63
10706.0,-29.09,-27.00,-21.63
10747.0,-44.09,-29.36,-22.35
10788.0,-54.18,-40.00,-17.76
10829.1,-54.18,-40.00,-17.76
10870.1,-58.18,-54.73,-13.27
10911.7,-58.18,-54.73,-13.27
10952.2,-57.55,-69.27,-11.73
10994.0,-55.91,-80.00,-11.22
11034.8,-55.91,-80.00,-11.22
11075.3,-58.55,-91.64,-11.22
11116.4,-66.18,-102.82,-6.53
11157.3,-66.18,-102.82,-6.53
11198.3,-68.82,-112.55,-1.94
11239.3,-68.82,-112.55,-1.94
11280.6,-65.73,-112.45,-3.57
11320.9,-61.73,-109.82,-6.94
11362.6,-61.73,-109.82,-6.94
11404.3,-59.18,-103.09,-12.76
11443.7,-57.27,-103.82,-12.45
11485.8,-57.27,-103.82,-12.45
11526.4,-55.36,-105.18,-14.69
11567.4,-55.36,-105.18,-14.69
11606.5,-50.55,-100.36,-15.82
11649.6,-44.73,-101.36,-18.57
11690.2,-44.73,-101.36,-18.57
11731.1,-38.55,-105.36,-20.92
11772.5,-31.73,-110.64,-21.73
11812.9,-31.73,-110.64,-21.73
11854.1,-25.09,-117.18,-20.92
11894.6,-25.09,-117.18,-20.92
11935.9,-11.00,-120.91,-17.24
11977.5,6.27,-118.64,-12.86
12019.1,6.27,-118.64,-12.86
12059.1,18.18,-110.27,-12.24
12099.8,26.45,-97.82,-11.53
12140.7,26.45,-97.82,-11.53
12181.9,32.64,-86.18,-11.84
12223.1,32.64,-86.18,-11.84
12264.1,36.27,-75.55,-10.20
12305.2,39.18,-61.00,-8.16
12346.2,39.18,-61.00,-8.16
12387.4,34.09,-48.09,-10.41
12428.9,26.27,-37.18,-14.29
12470.1,26.27,-37.18,-14.29
12510.6,20.55,-28.73,-20.41
12540.1,20.55,-28.73,-20.41
12589.5,12.73,-22.82,-26.33
12632.6,6.18,-15.55,-28.67
12674.0,6.18,-15.55,-28.67
12716.1,-4.09,-7.00,-31.22
12755.2,-16.09,4.91,-25.61
12797.8,-16.09,4.91,-25.61
12837.9,-40.64,16.36,-15.51
12878.9,-40.64,16.36,-15.51
12920.1,-71.91,9.91,-10.92
12961.9,-86.18,-13.64,-13.57
13002.4,-86.18,-13.64,-13.57
13042.7,-83.27,-37.45,-18.47
13084.0,-75.27,-58.45,-21.12
