timestamp,x_uT,y_uT,z_uT
0.0,6.00,-69.36,-28.88
0.0,7.73,-68.09,-29.49
1.8,7.73,-68.09,-29.49
1.8,6.73,-68.36,-28.57
1.8,6.91,-69.82,-27.65
1.8,6.91,-69.82,-27.65
3.5,7.91,-69.36,-28.37
3.5,6.36,-68.36,-29.39
3.5,6.36,-68.36,-29.39
4.3,5.45,-68.91,-28.57
4.3,5.45,-68.91,-28.57
4.9,7.27,-69.09,-28.67
4.9,6.91,-69.09,-28.47
4.9,6.91,-69.09,-28.47
4.9,7.91,-71.45,-28.37
6.3,7.27,-69.27,-29.39
6.3,7.27,-69.27,-29.39
6.3,7.91,-70.00,-29.69
7.3,7.91,-70.00,-29.69
7.3,5.64,-67.82,-29.08
7.3,7.27,-68.27,-28.67
8.3,7.27,-68.27,-28.67
8.3,6.45,-67.91,-28.98
8.3,5.91,-70.00,-28.47
9.3,5.91,-70.00,-28.47
9.3,5.45,-71.18,-28.27
9.3,5.45,-71.18,-28.27
10.3,7.73,-69.64,-27.76
10.3,8.00,-68.64,-29.08
43.6,8.00,-68.64,-29.08
85.9,8.09,-70.00,-28.16
126.6,6.45,-70.45,-29.08
155.9,6.45,-70.45,-29.08
207.6,5.18,-69.09,-27.55
238.4,5.18,-69.09,-27.55
290.5,5.55,-70.00,-28.67
332.2,7.18,-70.09,-28.37
372.6,7.18,-70.09,-28.37
413.3,5.91,-70.18,-28.57
454.0,6.82,-70.36,-28.88
495.4,6.82,-70.36,-28.88
536.2,7.91,-69.55,-28.57
577.2,7.91,-69.55,-28.57
619.3,6.64,-70.45,-28.37
659.2,6.45,-69.55,-28.37
701.2,6.45,-69.55,-28.37
740.7,7.82,-69.09,-29.59
782.0,7.00,-70.73,-26.02
823.1,7.00,-70.73,-26.02
865.2,7.27,-68.36,-28.98
905.5,7.27,-68.36,-28.98
938.8,6.91,-69.55,-26.84
987.9,7.45,-67.64,-28.88
1029.1,7.45,-67.64,-28.88
1069.7,6.55,-70.18,-28.27
1111.5,8.73,-70.27,-27.24
1151.4,8.73,-70.27,-27.24
1193.5,7.45,-68.91,-27.45
