timestamp,x_uT,y_uT,z_uT
0.0,13.73,-92.36,4.29
0.0,13.73,-92.36,4.29
1.0,14.00,-94.45,2.76
1.0,14.00,-94.45,2.76
2.0,13.18,-92.73,3.37
2.0,12.45,-94.55,5.92
2.0,12.45,-94.55,5.92
3.0,13.45,-93.27,10.41
3.0,16.18,-82.27,36.33
4.0,16.18,-82.27,36.33
4.0,18.91,-51.73,117.24
4.0,18.91,-51.73,117.24
5.0,19.36,-46.45,122.04
5.0,19.09,-69.91,75.61
5.0,19.09,-69.91,75.61
6.0,18.00,-81.18,52.96
6.0,15.82,-86.55,41.22
7.0,15.82,-86.55,41.22
7.0,14.82,-86.00,35.51
7.0,14.82,-86.00,35.51
8.0,16.82,-90.09,30.41
8.0,16.27,-85.82,28.16
9.0,16.27,-85.82,28.16
9.0,15.91,-90.18,26.43
9.0,15.55,-89.36,23.16
10.0,15.55,-89.36,23.16
10.0,13.91,-91.00,21.33
10.0,13.91,-91.00,21.33
10.0,15.09,-88.55,21.02
11.0,16.27,-84.91,22.04
11.0,16.27,-84.91,22.04
11.0,15.27,-83.00,23.78
12.0,16.45,-86.27,23.88
12.0,16.45,-86.27,23.88
12.0,18.73,-84.64,25.92
13.0,18.73,-84.64,25.92
13.0,17.00,-85.73,26.84
13.0,17.36,-86.36,27.04
13.0,17.36,-86.36,27.04
14.3,16.27,-84.55,27.04
14.3,16.91,-84.73,27.96
14.3,16.91,-84.73,27.96
14.3,15.55,-86.64,25.51
15.5,15.55,-86.64,25.51
24.1,16.18,-84.00,24.90
65.5,17.09,-85.00,25.51
105.8,17.09,-85.00,25.51
146.8,19.18,-81.82,23.47
189.2,18.64,-85.55,24.18
229.7,18.64,-85.55,24.18
271.1,18.82,-84.27,25.20
311.6,18.82,-84.27,25.20
351.6,19.73,-82.64,25.82
393.0,17.82,-81.55,27.35
433.7,17.82,-81.55,27.35
475.1,18.00,-82.64,28.27
515.5,17.45,-83.82,29.08
556.6,17.45,-83.82,29.08
598.4,18.09,-82.91,29.49
638.9,18.09,-82.91,29.49
680.1,15.18,-83.36,28.57
720.8,14.45,-81.18,32.65
762.3,14.45,-81.18,32.65
802.3,14.55,-82.27,32.55
843.6,15.36,-83.18,23.98
884.6,15.36,-83.18,23.98
926.3,13.09,-87.27,21.12
966.6,13.09,-87.27,21.12
1007.4,15.45,-87.27,21.12
1049.4,13.64,-87.64,22.14
1091.0,13.64,-87.64,22.14
1131.0,15.73,-87.73,19.90
1172.7,12.00,-86.09,19.69
1212.6,12.00,-86.09,19.69
1255.1,14.55,-86.82,20.10
1296.0,14.55,-86.82,20.10
1337.0,13.91,-88.82,22.55
1377.1,14.64,-88.18,21.53
1418.5,14.64,-88.18,21.53
1458.6,14.45,-87.73,21.02
1498.9,14.64,-87.27,19.39
1541.5,14.64,-87.27,19.39
1581.7,14.36,-87.45,23.57
1623.7,14.36,-87.45,23.57
1664.5,14.64,-87.64,24.29
1704.6,13.82,-88.36,21.02
1746.3,13.82,-88.36,21.02
1787.1,12.55,-87.64,21.73
1829.1,14.00,-88.55,22.24
1869.6,14.00,-88.55,22.24
1910.4,13.36,-90.45,21.12
1950.5,13.36,-90.45,21.12
1992.6,12.64,-89.18,20.61
2033.5,13.82,-90.27,19.59
2073.6,13.82,-90.27,19.59
2114.3,13.73,-89.55,19.39
2156.3,14.27,-91.27,19.69
2197.7,14.27,-91.27,19.69
2237.4,13.36,-89.27,20.51
