timestamp,x_uT,y_uT,z_uT
0.0,-10.64,-33.55,-37.04
1.0,-11.91,-34.82,-34.80
1.0,-11.45,-31.45,-31.73
1.9,-11.45,-31.45,-31.73
1.9,-13.09,-32.00,-28.98
1.9,-14.91,-30.00,-27.55
3.0,-14.91,-30.00,-27.55
3.0,-16.36,-29.73,-26.53
3.0,-16.36,-29.73,-26.53
3.0,-13.82,-29.45,-22.35
3.0,-13.82,-31.09,-17.96
3.0,-13.82,-31.09,-17.96
3.0,-12.91,-32.73,-18.37
3.0,-11.45,-37.55,-18.98
3.0,-11.45,-37.55,-18.98
3.0,-11.09,-37.64,-19.69
3.0,-11.09,-37.64,-19.69
7.0,-10.73,-42.00,-21.73
7.0,-9.73,-41.36,-21.63
7.0,-9.73,-41.36,-21.63
7.0,-9.73,-42.36,-23.67
7.0,-9.73,-43.64,-26.43
7.0,-9.73,-43.64,-26.43
7.0,-8.64,-43.64,-28.06
7.0,-8.64,-43.64,-28.06
7.0,-9.18,-43.64,-28.88
7.0,-9.45,-43.45,-29.18
7.0,-9.45,-43.45,-29.18
7.0,-9.27,-45.64,-28.06
7.0,-8.36,-45.36,-27.35
7.0,-8.36,-45.36,-27.35
7.0,-8.00,-44.55,-29.49
7.0,-8.00,-44.55,-29.49
7.0,-9.36,-43.36,-29.80
7.0,-9.73,-44.18,-30.10
7.0,-9.73,-44.18,-30.10
7.0,-7.64,-44.18,-29.39
7.0,-8.45,-43.91,-29.59
7.0,-8.45,-43.91,-29.59
7.0,-9.18,-44.00,-29.90
7.0,-9.18,-44.00,-29.90
7.0,-9.09,-45.55,-31.53
7.0,-9.45,-45.73,-31.84
7.0,-9.45,-45.73,-31.84
7.0,-8.00,-46.64,-30.92
7.0,-8.27,-44.18,-31.02
7.0,-8.27,-44.18,-31.02
17.4,-8.82,-45.27,-31.02
30.3,-8.82,-45.27,-31.02
71.6,-8.36,-44.45,-30.82
112.1,-11.00,-44.36,-31.22
153.4,-11.00,-44.36,-31.22
195.6,-9.27,-46.36,-31.84
235.4,-9.09,-45.00,-32.14
276.8,-9.09,-45.00,-32.14
317.8,-8.91,-44.36,-31.12
359.0,-8.91,-44.36,-31.12
400.4,-8.45,-45.36,-30.82
441.3,-8.27,-44.73,-32.96
481.9,-8.27,-44.73,-32.96
522.9,-9.27,-45.45,-30.82
564.7,-9.45,-43.82,-30.71
603.6,-9.45,-43.82,-30.71
646.4,-8.27,-45.00,-30.00
686.3,-8.27,-45.00,-30.00
727.7,-9.45,-45.00,-29.69
768.5,-9.64,-44.09,-31.94
810.6,-9.64,-44.09,-31.94
851.1,-8.09,-44.36,-30.82
892.2,-10.00,-43.00,-30.20
933.1,-10.00,-43.00,-30.20
974.2,-10.00,-44.09,-30.51
1014.6,-10.00,-44.09,-30.51
1056.0,-8.45,-47.09,-30.71
1097.1,-8.27,-45.00,-30.82
1137.4,-8.27,-45.00,-30.82
1179.5,-10.09,-45.45,-30.10
1219.7,-8.00,-42.73,-29.90
1261.1,-8.00,-42.73,-29.90
1302.5,-8.27,-44.64,-31.02
1343.2,-8.27,-44.64,-31.02
1384.2,-8.45,-44.55,-31.02
1424.7,-9.09,-45.64,-30.51
1465.8,-9.09,-45.64,-30.51
1506.1,-9.64,-44.36,-32.14
1548.1,-9.55,-44.00,-30.41
1588.0,-9.55,-44.00,-30.41
1630.6,-8.82,-43.09,-31.94
1670.3,-8.82,-43.09,-31.94
1711.2,-10.27,-43.91,-31.43
1753.1,-8.00,-43.55,-30.41
1794.1,-8.00,-43.55,-30.41
1835.1,-8.45,-44.00,-30.82
1875.9,-8.73,-44.00,-31.43
1916.1,-8.73,-44.00,-31.43
1958.5,-8.55,-43.55,-31.02
1999.5,-8.55,-43.55,-31.02
2040.2,-9.55,-43.55,-31.33
2080.6,-9.91,-44.18,-30.82
2121.6,-9.91,-44.18,-30.82
2163.3,-10.36,-45.09,-30.41
2203.1,-10.00,-45.55,-30.92
2244.8,-10.00,-45.55,-30.92
2285.3,-9.27,-44.45,-31.84
2327.1,-9.27,-44.45,-31.84
2368.4,-8.91,-43.64,-30.82
2408.7,-9.91,-43.09,-30.92
2450.5,-9.91,-43.09,-30.92
2491.2,-10.27,-44.64,-31.12
2532.2,-9.91,-45.27,-31.33
2569.7,-9.91,-45.27,-31.33
2614.3,-8.55,-44.73,-30.82
2654.0,-8.55,-44.73,-30.82
2696.3,-11.36,-44.18,-30.71
2736.3,-9.73,-44.36,-30.82
2778.4,-9.73,-44.36,-30.82
2817.9,-8.18,-43.55,-30.82
2860.1,-8.91,-45.55,-30.20
2901.0,-8.91,-45.55,-30.20
2941.6,-10.18,-43.91,-29.39
2981.6,-10.18,-43.91,-29.39
3023.9,-7.64,-42.73,-31.73
3065.3,-8.09,-45.09,-30.20
3105.8,-8.09,-45.09,-30.20
3147.2,-9.27,-44.00,-31.12
3187.0,-10.55,-45.27,-31.33
3228.9,-10.55,-45.27,-31.33
3269.2,-9.55,-44.36,-31.02
3311.1,-9.55,-44.36,-31.02
3352.2,-9.91,-45.18,-30.20
3385.7,-8.00,-43.18,-30.00
3434.4,-8.00,-43.18,-30.00
3475.1,-10.27,-43.27,-30.00
3515.7,-8.45,-42.91,-29.80
3556.4,-8.45,-42.91,-29.80
3597.6,-9.55,-45.45,-31.12
3638.4,-9.55,-45.45,-31.12
3680.5,-9.64,-44.00,-29.59
3719.8,-9.64,-45.09,-30.61
3762.0,-9.64,-45.09,-30.61
3802.7,-9.27,-44.64,-30.31
3843.9,-9.55,-44.82,-30.71
3884.9,-9.55,-44.82,-30.71
3925.7,-9.27,-44.73,-31.22
3967.3,-9.27,-44.73,-31.22
4008.4,-9.73,-45.09,-31.02
4049.5,-9.36,-44.45,-30.41
4087.8,-9.36,-44.45,-30.41
4129.8,-9.64,-43.18,-30.82
4171.8,-9.09,-43.91,-31.73
4212.4,-9.09,-43.91,-31.73
4253.0,-10.18,-43.27,-30.61
4295.1,-10.18,-43.27,-30.61
4335.3,-11.18,-42.18,-32.24
4376.9,-10.09,-43.36,-30.51
4417.2,-10.09,-43.36,-30.51
4459.4,-9.00,-44.64,-30.71
4499.7,-10.64,-45.27,-30.00
4541.2,-10.64,-45.27,-30.00
4582.1,-10.18,-46.18,-30.92
4622.8,-10.18,-46.18,-30.92
4663.2,-9.27,-44.18,-31.84
4704.7,-9.18,-44.36,-30.61
4745.6,-9.18,-44.36,-30.61
4785.3,-9.45,-44.27,-30.82
4826.9,-9.00,-44.91,-30.82
4868.4,-9.00,-44.91,-30.82
4909.5,-8.27,-44.45,-29.29
4950.5,-8.27,-44.45,-29.29
4991.5,-7.82,-44.09,-30.61
5033.3,-9.73,-43.45,-31.53
5073.7,-9.73,-43.45,-31.53
5114.9,-9.64,-43.27,-31.02
5155.8,-9.64,-43.64,-31.73
5195.8,-9.64,-43.64,-31.73
5237.4,-10.27,-43.73,-30.61
5278.6,-10.27,-43.73,-30.61
5319.5,-9.45,-45.45,-31.63
