timestamp,x_uT,y_uT,z_uT
2.1,-28.18,55.27,-57.35
2.1,-13.91,14.64,-68.98
3.1,-13.91,14.64,-68.98
4.1,8.09,1.09,-71.73
5.1,8.09,1.09,-71.73
5.1,5.18,11.36,-68.27
6.1,-12.36,23.64,-74.08
7.1,-12.36,23.64,-74.08
8.1,-44.36,33.73,-76.22
8.1,-60.55,26.91,-67.86
9.1,-60.55,26.91,-67.86
10.1,-67.18,14.36,-54.90
11.1,-67.18,14.36,-54.90
11.1,-67.73,2.73,-48.47
12.1,-74.18,-7.09,-48.67
13.1,-74.18,-7.09,-48.67
14.1,-91.18,-28.36,-56.94
15.1,-124.64,-71.73,-68.67
16.1,-124.64,-71.73,-68.67
17.1,-139.73,-142.09,-82.55
18.1,-139.73,-142.09,-82.55
19.1,-130.18,-372.36,-90.10
20.1,-12.09,-372.36,-52.55
21.1,-12.09,-372.36,-52.55
22.1,-372.36,-372.36,1.12
23.1,-372.36,-372.36,24.59
24.1,-372.36,-372.36,24.59
25.1,-372.36,-372.36,20.31
25.1,-372.36,-372.36,20.31
26.1,-372.36,19.00,20.82
27.1,-372.36,62.09,10.71
28.1,-372.36,62.09,10.71
29.1,83.91,72.55,-3.78
30.5,46.82,62.82,-3.06
31.5,46.82,62.82,-3.06
33.4,33.55,76.27,-9.08
34.4,33.55,76.27,-9.08
35.5,15.82,96.45,-29.69
36.5,-18.00,111.00,-63.27
37.5,-18.00,111.00,-63.27
38.5,-37.18,85.00,-71.84
38.5,-36.82,54.73,-58.57
39.4,-36.82,54.73,-58.57
40.5,-31.82,38.18,-52.04
41.5,-31.82,38.18,-52.04
42.5,-39.73,32.18,-42.24
42.5,-49.91,26.36,-35.61
43.5,-49.91,26.36,-35.61
44.5,-55.09,17.73,-26.53
45.5,-62.45,11.73,-27.65
46.5,-62.45,11.73,-27.65
47.5,-70.55,10.18,-30.92
48.5,-70.55,10.18,-30.92
49.5,-70.91,10.91,-39.18
50.5,-68.18,15.55,-42.76
51.5,-68.18,15.55,-42.76
51.5,-63.55,15.09,-42.76
52.7,-62.73,14.00,-41.12
52.7,-62.73,14.00,-41.12
54.2,-72.45,14.09,-39.08
