timestamp,x_uT,y_uT,z_uT
0.0,1.91,-1.00,50.51
3.2,4.55,-1.36,51.02
3.2,4.55,-1.36,51.02
5.2,1.55,0.09,50.31
5.2,1.55,0.09,50.31
5.2,1.91,-0.91,49.69
7.2,1.91,-0.73,51.02
7.2,1.91,-0.73,51.02
9.4,2.18,-1.27,50.20
9.4,3.64,0.73,49.59
9.4,3.64,0.73,49.59
11.7,3.09,-1.55,50.82
13.0,3.09,-1.55,50.82
13.0,1.36,0.82,49.90
14.7,3.00,0.64,49.69
16.5,3.00,0.64,49.69
18.4,2.45,-0.55,49.69
18.4,2.36,-0.73,49.49
20.4,2.36,-0.73,49.49
20.4,-0.36,-0.82,49.29
20.4,-0.36,-0.82,49.29
20.4,1.91,-0.27,49.39
20.4,0.73,0.27,48.06
25.3,0.73,0.27,48.06
25.8,-0.64,-0.82,47.45
25.8,-0.64,-0.64,45.51
28.0,-0.64,-0.64,45.51
28.0,-1.73,-0.73,45.20
31.4,-1.73,-0.73,45.20
31.4,-0.45,-1.27,43.98
33.2,-0.73,-1.55,43.67
33.2,-0.73,-1.55,43.67
33.2,-1.36,1.09,42.96
35.2,0.64,1.00,42.96
36.2,0.64,1.00,42.96
36.2,1.27,-0.36,45.10
36.2,1.27,-0.36,45.10
38.2,0.45,-1.18,43.27
38.2,-0.27,-2.27,41.84
38.2,-0.27,-2.27,41.84
40.2,-0.82,-0.36,43.47
41.9,3.09,-0.45,43.47
43.1,3.09,-0.45,43.47
43.1,0.00,-0.91,43.37
45.2,0.00,-0.91,43.37
45.2,-1.09,-0.82,42.65
45.2,0.27,1.91,41.94
45.2,0.27,1.91,41.94
92.3,-1.18,-1.73,44.49
127.2,1.27,-1.09,43.47
175.1,1.27,-1.09,43.47
216.0,1.36,-0.36,43.47
258.0,1.36,-0.36,43.47
298.5,-0.36,-1.36,44.18
339.5,-1.45,-1.64,45.71
380.1,-1.45,-1.64,45.71
420.9,-0.18,-2.09,46.73
462.9,1.91,-3.18,49.59
503.5,1.91,-3.18,49.59
544.0,0.18,-1.27,52.14
585.8,0.18,-1.27,52.14
626.3,0.18,-3.09,51.53
667.3,3.00,-0.55,51.73
708.6,3.00,-0.55,51.73
749.5,1.64,-1.55,51.43
790.0,-0.18,-2.36,52.24
831.1,-0.18,-2.36,52.24
872.4,-0.27,-1.64,53.27
913.3,-0.27,-1.64,53.27
954.7,1.09,-0.18,54.69
995.1,2.36,0.00,53.27
1036.2,2.36,0.00,53.27
1078.0,1.73,-1.82,52.45
1119.1,1.00,-0.36,53.37
1158.8,1.00,-0.36,53.37
1201.1,2.18,-0.73,53.27
1241.8,2.18,-0.73,53.27
1282.6,2.18,-0.82,53.57
1324.1,2.82,-1.64,52.45
1365.2,2.82,-1.64,52.45
1405.9,2.64,0.18,53.06
1446.0,4.09,-0.45,52.65
1487.4,4.09,-0.45,52.65
1528.8,3.09,-3.00,54.49
1569.3,3.09,-3.00,54.49
1610.3,2.36,-1.91,53.06
1652.0,2.36,-0.73,53.57
1692.7,2.36,-0.73,53.57
1732.8,3.00,-1.27,54.59
1774.8,0.00,0.45,55.20
1815.1,0.00,0.45,55.20
1857.1,2.45,-1.36,53.06
1898.1,2.45,-1.36,53.06
1938.6,3.00,-2.27,53.67
1979.4,1.00,0.36,53.67
2021.1,1.00,0.36,53.67
2061.8,2.36,0.00,54.69
2102.0,3.73,-1.36,53.47
2143.6,3.73,-1.36,53.47
2184.9,1.64,-0.18,53.27
2224.8,1.64,-0.18,53.27
2265.9,2.91,-0.09,53.37
2307.3,5.45,-1.18,53.47
2347.9,5.45,-1.18,53.47
2389.2,4.64,-1.82,54.08
2429.8,3.82,-0.45,54.59
2469.9,3.82,-0.45,54.59
2511.8,4.27,0.09,52.76
2551.8,4.27,0.09,52.76
2593.2,2.45,-1.73,53.37
2633.6,-0.18,-0.36,52.35
2676.2,-0.18,-0.36,52.35
2716.1,0.18,0.73,52.45
2758.5,1.00,-1.00,51.22
2794.2,1.00,-1.00,51.22
2835.0,0.64,0.00,50.61
2877.6,0.64,0.00,50.61
2918.5,1.82,1.09,50.41
2963.4,0.73,0.18,48.98
3003.8,0.73,0.18,48.98
3044.6,2.73,1.73,49.08
3082.1,2.64,-1.00,47.65
3126.4,2.64,-1.00,47.65
3161.6,2.55,-0.45,49.59
3208.5,2.55,-0.45,49.59
3250.7,1.73,0.45,48.57
3291.5,2.36,-1.09,49.18
3332.1,2.36,-1.09,49.18
3373.8,2.36,0.45,49.69
3414.4,-0.18,-0.73,48.47
3448.6,-0.18,-0.73,48.47
3492.0,1.00,-0.18,48.67
3535.3,1.00,-0.18,48.67
3576.7,1.64,-1.18,50.31
3618.6,3.36,-0.18,50.00
3659.9,3.36,-0.18,50.00
3700.5,2.82,0.73,49.08
3741.5,0.82,1.45,48.98
3783.6,0.82,1.45,48.98
3824.6,1.36,-0.09,48.98
3859.7,1.36,-0.09,48.98
3903.2,-1.82,-0.64,49.69
3946.1,-0.27,-0.64,49.49
3980.7,-0.27,-0.64,49.49
4025.4,1.64,-0.18,49.29
4069.5,1.27,1.36,48.47
4110.1,1.27,1.36,48.47
4152.9,2.45,-1.36,49.08
4193.4,2.45,-1.36,49.08
4233.8,1.27,-1.09,48.16
4275.4,1.73,1.45,49.80
4315.6,1.73,1.45,49.80
4354.5,1.27,0.55,48.47
4393.9,2.82,-1.55,50.00
4439.9,2.82,-1.55,50.00
4480.0,2.09,-1.27,49.29
4521.0,2.09,-1.27,49.29
4561.9,1.09,-0.91,49.49
4599.2,2.27,0.45,48.78
4644.2,2.27,0.45,48.78
4685.3,1.91,1.36,49.49
4726.4,1.73,1.27,49.49
4762.9,1.73,1.27,49.49
4807.6,1.18,-0.09,48.67
4848.5,1.18,-0.09,48.67
4890.4,0.64,-0.64,49.18
4932.0,2.00,-1.64,50.20
4972.3,2.00,-1.64,50.20
5011.5,1.09,-1.73,48.27
5050.7,2.36,1.00,49.59
5089.6,2.36,1.00,49.59
5131.7,2.82,-0.09,49.18
5172.9,2.82,-0.09,49.18
5213.8,0.36,1.18,49.39
5255.0,3.27,1.18,47.45
5295.8,3.27,1.18,47.45
5336.8,2.36,-1.27,48.57
5377.7,0.64,0.82,48.67
5419.9,0.64,0.82,48.67
5453.6,-0.82,3.82,46.33
5497.4,-0.82,3.82,46.33
5542.1,-0.27,0.82,46.94
5578.0,0.73,2.55,46.22
5623.3,0.73,2.55,46.22
5664.8,-0.82,0.55,47.96
5705.6,0.36,0.73,46.43
5736.4,0.36,0.73,46.43
5786.8,1.55,-0.73,50.82
5830.3,1.55,-0.73,50.82
5870.2,0.82,-0.36,54.08
5911.4,1.45,-2.64,61.33
5953.1,1.45,-2.64,61.33
5992.8,-3.00,-5.64,68.78
