timestamp,x_uT,y_uT,z_uT
1.3,0.82,-1.55,-0.10
1.3,-0.55,-0.09,-0.61
1.3,-0.55,-0.09,-0.61
1.3,0.55,-1.36,0.00
1.3,-0.64,-0.45,-0.71
1.3,-0.64,-0.45,-0.71
1.3,3.09,3.09,0.20
5.9,60.55,-6.91,3.27
5.9,60.55,-6.91,3.27
5.9,-372.36,-372.36,121.02
5.9,-372.36,-372.36,121.02
5.9,-372.36,-372.36,-417.96
5.9,-48.91,-3.09,-417.96
5.9,-48.91,-3.09,-417.96
5.9,-45.18,-40.36,-417.96
5.9,-23.73,-30.91,81.22
5.9,-23.73,-30.91,81.22
14.2,-8.73,-9.09,53.67
16.2,-8.73,-9.09,53.67
16.2,-5.55,-3.18,49.59
16.2,-5.18,-0.09,46.22
18.2,-5.18,-0.09,46.22
18.2,-2.00,3.00,46.73
18.2,-1.27,2.82,45.61
20.2,-1.27,2.82,45.61
20.2,-4.09,3.64,45.51
20.2,-4.09,3.64,45.51
22.5,-2.27,2.18,42.86
23.9,-1.00,2.18,44.49
24.6,-1.00,2.18,44.49
25.4,-1.82,3.09,44.39
25.4,-1.36,3.09,44.69
25.4,-1.36,3.09,44.69
28.0,-1.18,3.82,45.10
28.0,-1.18,3.82,45.10
28.0,-0.45,4.27,44.08
28.0,0.64,3.73,45.82
28.0,0.64,3.73,45.82
28.0,-0.82,3.45,45.10
33.8,-1.18,2.36,45.41
34.3,-1.18,2.36,45.41
34.3,-1.09,1.55,44.39
75.6,-1.09,1.55,44.39
113.3,-0.36,4.55,43.57
158.7,-0.91,2.00,44.80
196.6,-0.91,2.00,44.80
240.4,-1.45,1.27,46.53
280.1,-1.82,-1.91,46.33
322.9,-1.82,-1.91,46.33
360.2,-3.09,-6.36,52.35
404.0,-3.09,-6.36,52.35
443.5,-0.73,-5.64,55.61
486.3,0.82,-1.18,56.63
528.1,0.82,-1.18,56.63
568.4,0.27,-0.82,56.33
609.2,-0.45,-0.27,52.04
650.6,-0.45,-0.27,52.04
689.5,-2.18,2.18,55.00
732.6,-2.18,2.18,55.00
773.7,-1.64,-1.73,50.20
814.8,1.27,-0.09,52.24
855.9,1.27,-0.09,52.24
897.9,-1.36,2.18,52.65
931.3,-2.18,1.36,52.55
973.9,-2.18,1.36,52.55
1014.2,-1.64,2.45,53.88
1058.5,-1.64,2.45,53.88
1096.4,0.27,1.64,54.29
1139.5,0.55,1.82,48.57
1178.8,0.55,1.82,48.57
1224.8,-1.45,1.64,50.10
1265.3,-1.73,2.00,54.90
1305.9,-1.73,2.00,54.90
1347.8,-1.73,1.91,53.98
1389.8,-1.73,1.91,53.98
1430.8,-1.55,1.73,52.24
1470.8,-2.55,-0.55,53.06
1511.7,-2.55,-0.55,53.06
1552.7,-1.64,-0.27,51.53
1593.7,-3.82,2.09,51.84
1635.3,-3.82,2.09,51.84
1675.8,-3.09,1.64,51.63
1716.1,-3.09,1.64,51.63
1757.2,-1.18,1.27,51.02
1789.5,-2.45,1.73,53.16
1839.8,-2.45,1.73,53.16
1874.5,-2.00,0.64,49.80
1922.8,-2.55,0.18,51.02
1962.9,-2.55,0.18,51.02
2004.7,-1.27,2.18,52.14
2045.0,-1.27,2.18,52.14
2086.3,-0.91,3.45,51.53
2127.3,-0.91,0.09,53.37
2168.7,-0.91,0.09,53.37
2209.1,-2.82,3.82,53.27
2250.7,0.55,2.64,53.06
2290.9,0.55,2.64,53.06
2332.4,-1.00,2.00,52.76
2373.9,-1.00,2.00,52.76
2414.1,0.18,0.18,52.76
2454.8,-1.27,1.64,51.84
2496.8,-1.27,1.64,51.84
2537.5,1.27,4.36,52.24
2578.4,-1.18,1.18,51.12
2619.7,-1.18,1.18,51.12
2660.7,-1.45,2.82,53.57
2701.8,-1.45,2.82,53.57
2742.1,-0.55,2.91,51.22
2782.7,-0.36,3.45,52.55
2824.2,-0.36,3.45,52.55
2865.8,0.09,3.09,54.90
2906.6,-0.45,3.73,48.67
2947.7,-0.45,3.73,48.67
2988.1,1.64,3.36,52.04
3028.9,1.64,3.36,52.04
3070.8,1.73,1.27,52.35
3110.9,-1.18,3.09,52.14
3154.4,-1.18,3.09,52.14
3193.8,-0.64,0.73,51.12
3234.3,0.27,1.73,51.22
3275.0,0.27,1.73,51.22
3315.2,-0.55,2.45,50.51
3356.7,-0.55,2.45,50.51
3398.7,-0.09,1.27,52.04
3439.7,-0.82,0.73,52.76
3480.6,-0.82,0.73,52.76
3521.8,-0.09,4.55,53.27
3562.9,-0.27,3.36,53.06
3603.6,-0.27,3.36,53.06
3644.8,0.00,1.00,49.29
3685.2,0.00,1.00,49.29
3726.6,0.45,1.73,53.37
3767.3,0.00,1.64,53.88
3808.0,0.00,1.64,53.88
3848.8,1.09,3.27,51.63
3890.5,0.73,2.18,52.14
3931.1,0.73,2.18,52.14
3972.8,-2.36,0.45,51.94
4006.6,-2.36,0.45,51.94
4048.3,-1.45,3.45,53.57
4090.1,0.18,1.27,50.31
4133.8,0.18,1.27,50.31
4174.5,-1.00,2.18,51.94
4218.9,-0.82,2.64,51.94
4259.2,-0.82,2.64,51.94
4292.3,-1.00,1.55,51.53
4339.9,-1.00,1.55,51.53
4382.1,-0.45,1.64,51.43
4424.1,-0.36,4.55,51.22
4464.7,-0.36,4.55,51.22
4499.3,-2.45,3.36,52.04
4543.0,1.82,2.45,51.12
4586.4,1.82,2.45,51.12
4628.3,-0.09,2.91,51.63
4659.6,-0.09,2.91,51.63
4709.7,-3.55,2.64,51.02
4750.3,-0.27,0.91,48.37
4791.7,-0.27,0.91,48.37
4827.6,-2.36,2.55,52.35
4874.0,-2.36,2.91,53.37
4908.8,-1.27,2.91,53.37
4957.6,-0.73,1.91,51.33
4996.8,-0.73,1.91,51.33
5038.3,0.55,2.36,51.43
5079.3,-0.27,2.27,52.04
5119.7,-0.27,2.27,52.04
5158.3,0.64,3.73,48.16
5202.2,0.64,3.73,48.16
5242.5,0.64,3.73,48.16
5281.7,-0.45,3.00,53.47
5324.0,-0.45,3.00,53.47
5366.6,0.73,3.27,48.27
5408.0,-0.64,2.18,51.22
5448.3,-0.64,2.18,51.22
5489.3,3.09,2.09,51.02
5530.5,3.09,2.09,51.02
5569.4,3.09,2.09,51.02
5611.7,3.91,0.45,56.12
5650.6,3.91,0.45,56.12
5693.8,0.55,-3.09,67.45
5734.7,7.09,-17.55,97.65
5776.0,7.09,-17.55,97.65
5817.2,6.82,-93.27,-417.96
5857.9,6.82,-93.27,-417.96
5899.7,-122.45,-372.36,-417.96
5940.0,52.09,-372.36,3.88
5981.7,52.09,-372.36,3.88
6022.1,3.91,21.00,-0.51
6062.7,9.27,5.45,0.10
6104.3,9.27,5.45,0.10
6145.2,0.18,1.45,-0.51
6185.5,0.18,1.45,-0.51
6227.8,1.55,-0.09,0.71
6267.5,-1.36,0.45,1.02
6309.8,-1.36,0.45,1.02
6349.8,1.45,-0.18,-0.51
6391.4,1.82,-0.27,-1.12
6431.9,1.82,-0.27,-1.12
6473.5,-1.18,-0.18,-1.73
6513.6,-1.18,-0.18,-1.73
6555.5,-1.09,0.09,0.00
6595.8,-1.00,0.45,-0.71
6637.4,-1.00,0.45,-0.71
6678.2,1.73,0.27,-0.31
6719.5,-0.27,1.73,0.61
6760.1,-0.27,1.73,0.61
6801.1,-1.36,0.64,-0.31
6842.1,-1.36,0.64,-0.31
6883.7,-0.64,0.36,1.12
6923.7,-0.18,-1.09,0.41
6964.8,-0.18,-1.09,0.41
7006.6,-1.82,-0.55,0.10
7047.0,-1.45,-1.18,-0.10
7088.1,-1.45,-1.18,-0.10
7129.4,-1.09,-1.09,0.20
7170.4,-1.09,-1.09,0.20
7211.5,-2.18,-1.91,-0.41
7252.0,-0.18,0.82,-0.61
7293.0,-0.18,0.82,-0.61
7334.4,0.00,-0.27,-1.02
7375.8,2.64,-0.82,-0.20
7416.4,2.64,-0.82,-0.20
7457.4,0.18,-1.00,0.51
7498.1,0.18,-1.00,0.51
7539.3,1.18,-2.36,-0.10
7579.8,2.73,0.64,-0.20
7620.5,2.73,0.64,-0.20
7661.8,-0.09,-0.18,0.00
7702.7,2.27,0.91,0.20
7744.1,2.27,0.91,0.20
7785.0,0.00,0.91,-0.20
7825.9,0.00,0.91,-0.20
7866.9,0.91,-0.45,-0.20
7908.6,-1.82,-2.18,0.10
7946.5,-1.82,-2.18,0.10
7990.0,4.36,-1.18,0.10
8030.0,6.09,-0.09,0.00
8073.3,6.09,-0.09,0.00
8112.1,-2.91,1.36,0.31
8147.9,-2.91,1.36,0.31
8194.7,-8.45,1.27,0.00
8235.5,0.27,2.64,-1.12
8274.3,0.27,2.64,-1.12
8317.5,10.73,2.27,0.00
8358.9,4.91,3.36,0.41
8400.3,4.91,3.36,0.41
8441.2,-0.55,14.73,0.41
8481.5,-0.55,14.73,0.41
8523.9,-2.55,10.91,0.10
8559.3,0.00,1.36,-0.20
8606.2,0.00,1.36,-0.20
8642.9,-0.09,21.82,0.10
8686.8,-7.27,16.73,-0.10
8727.8,-7.27,16.73,-0.10
8768.8,-6.27,10.00,-0.20
8809.9,-6.27,10.00,-0.20
8839.6,-7.18,14.18,-0.10
8891.7,-5.27,18.82,0.10
8930.3,-5.27,18.82,0.10
8974.2,-7.27,23.82,-1.12
9013.5,-15.09,16.64,0.00
9056.0,-15.09,16.64,0.00
9097.2,-8.64,20.91,-0.51
9139.3,-8.64,20.91,-0.51
9179.6,-10.36,22.55,0.00
9219.7,-17.91,28.73,0.61
9260.8,-17.91,28.73,0.61
9301.8,-21.91,29.45,-0.20
9342.2,-15.55,31.82,0.10
9384.5,-15.55,31.82,0.10
9424.4,-15.64,32.18,0.20
9465.2,-15.64,32.18,0.20
9506.9,-17.36,29.18,0.10
9547.8,-16.00,32.91,0.10
9589.6,-16.00,32.91,0.10
9629.5,-11.36,34.91,0.10
9671.4,-13.18,36.55,-1.43
9712.3,-13.18,36.55,-1.43
9752.9,-19.09,30.82,1.02
9790.0,-19.09,30.82,1.02
9835.3,-12.73,18.91,1.53
9876.2,-19.18,26.64,0.71
9917.3,-19.18,26.64,0.71
9958.0,-19.45,22.09,-0.71
9999.7,-12.00,13.27,1.12
10040.6,-12.00,13.27,1.12
10080.9,-9.18,28.73,-0.31
10123.1,-9.18,28.73,-0.31
10162.8,-16.64,20.91,-0.51
10204.9,-9.09,24.55,-0.31
10245.0,-9.09,24.55,-0.31
10286.8,-11.55,21.55,0.41
10326.8,-14.27,27.45,1.02
10368.4,-14.27,27.45,1.02
10409.4,-13.18,29.18,0.00
10450.5,-13.18,29.18,0.00
10491.4,-12.55,18.91,0.82
10532.8,-20.82,27.09,0.10
10573.6,-20.82,27.09,0.10
10614.5,-13.64,28.55,0.20
10654.3,-8.27,15.82,0.51
10696.8,-8.27,15.82,0.51
10737.1,-8.73,23.45,1.22
10778.6,-8.73,23.45,1.22
