timestamp,x_uT,y_uT,z_uT
2.0,18.09,6.82,76.22
3.1,18.09,6.82,76.22
5.0,21.73,6.55,75.82
6.5,21.73,6.55,75.82
7.6,21.09,6.55,76.33
7.6,19.82,5.82,76.12
8.7,19.82,5.82,76.12
10.2,22.27,8.82,76.73
10.2,20.00,8.09,75.20
11.2,20.00,8.09,75.20
12.5,18.82,6.18,77.24
12.5,18.82,6.18,77.24
13.5,19.36,6.36,76.73
14.8,21.82,6.73,76.63
14.8,21.82,6.73,76.63
15.8,20.45,4.55,76.53
16.8,18.73,7.73,77.76
17.7,18.73,7.73,77.76
17.7,18.82,5.36,77.86
18.7,18.82,5.36,77.86
19.7,15.45,0.18,77.65
20.8,14.45,4.91,67.14
21.8,14.45,4.91,67.14
22.8,17.91,9.36,65.20
23.8,17.91,9.00,66.73
25.1,20.00,9.00,66.73
26.1,19.45,9.18,67.14
27.1,19.45,9.18,67.14
27.1,18.36,6.64,69.29
28.2,20.09,7.82,68.88
29.2,20.09,7.82,68.88
29.2,17.82,8.82,67.45
30.2,17.82,8.82,67.45
31.2,17.82,8.82,67.45
62.4,19.55,8.91,68.37
103.4,19.55,8.91,68.37
145.0,18.36,7.36,67.45
185.6,21.36,10.36,67.35
226.8,21.36,10.36,67.35
267.7,16.91,10.09,66.43
308.5,16.91,10.09,66.43
349.3,19.55,10.73,65.41
390.7,19.00,8.36,65.51
431.6,19.00,8.36,65.51
472.3,19.00,10.64,65.71
513.1,19.27,5.91,65.82
554.6,19.27,5.91,65.82
595.6,19.00,9.18,65.20
636.7,19.00,9.18,65.20
678.0,18.55,7.82,65.82
718.4,17.91,9.45,65.82
759.5,17.91,9.45,65.82
800.0,20.00,9.82,64.39
841.3,19.73,9.09,63.88
882.8,19.73,9.09,63.88
923.6,16.64,8.36,63.16
964.1,16.64,8.36,63.16
1005.6,18.09,7.64,63.98
1045.8,17.27,7.45,65.00
1087.8,17.27,7.45,65.00
1128.3,18.82,6.91,63.67
1169.3,17.27,8.73,63.37
1210.1,17.27,8.73,63.37
1251.4,17.36,9.00,64.59
1292.4,17.36,9.00,64.59
1333.1,19.55,8.45,63.78
1374.3,19.00,8.91,63.78
1414.7,19.00,8.91,63.78
1456.1,19.73,8.09,64.29
1497.1,18.64,8.18,65.31
1538.0,18.64,8.18,65.31
1579.9,17.82,9.73,62.76
1621.1,17.82,9.73,62.76
1661.9,19.27,7.91,63.27
1702.9,17.91,10.00,63.78
1744.1,17.91,10.00,63.78
1784.9,18.91,10.27,62.45
1826.1,20.45,9.18,64.49
1866.7,20.45,9.18,64.49
1908.2,21.73,9.27,63.98
1949.1,21.73,9.27,63.98
1989.5,19.91,9.27,62.04
2030.1,19.36,7.82,63.37
2069.0,19.36,7.82,63.37
2109.2,19.73,8.09,63.57
2150.7,18.64,8.55,63.37
2191.5,18.64,8.55,63.37
2232.7,17.64,7.09,64.18
2273.3,17.64,7.09,64.18
2315.1,21.73,9.36,62.55
2355.7,18.45,7.55,65.10
2396.8,18.45,7.55,65.10
2438.2,18.27,9.45,63.16
2478.9,18.00,7.82,62.96
2519.1,18.00,7.82,62.96
2559.9,18.91,8.73,63.88
2601.7,18.91,8.73,63.88
2643.2,18.09,8.73,63.57
2684.2,19.73,7.00,65.10
2725.2,19.73,7.00,65.10
2765.1,17.27,9.27,63.47
2807.1,17.73,7.82,63.78
2847.1,17.73,7.82,63.78
2888.9,20.18,9.64,62.96
2930.2,20.18,9.64,62.96
2970.1,19.09,7.82,62.65
3011.8,17.82,8.45,64.29
3051.8,17.82,8.45,64.29
3093.8,18.64,10.73,63.78
3135.1,20.18,9.18,63.57
3175.6,20.18,9.18,63.57
3216.5,19.18,8.55,63.67
3257.9,19.18,8.55,63.67
3298.6,20.00,7.09,62.55
3339.1,16.91,8.00,63.27
3380.8,16.91,8.00,63.27
3421.0,18.64,10.27,63.57
3462.2,19.00,8.36,62.45
3502.7,19.00,8.36,62.45
3544.6,19.27,8.45,62.76
3586.0,19.27,8.45,62.76
3626.1,16.64,6.91,64.90
3669.1,19.64,9.91,62.65
3702.5,19.64,9.91,62.65
3749.1,19.27,9.55,64.08
3786.0,20.36,7.45,63.98
3827.5,20.36,7.45,63.98
3869.6,18.73,7.18,62.35
3913.3,18.73,7.18,62.35
3954.1,19.36,7.18,63.06
3995.6,19.27,9.82,63.16
4035.6,19.27,9.82,63.16
4074.4,19.09,8.91,63.57
4118.5,20.91,9.36,63.37
4158.9,20.91,9.36,63.37
4200.9,19.00,10.73,62.35
4235.9,19.00,10.73,62.35
4282.2,18.18,10.27,63.37
4318.8,17.55,7.73,64.49
4364.7,17.55,7.73,64.49
4405.4,20.73,7.73,63.98
4443.2,20.27,10.00,62.96
4487.9,20.27,10.00,62.96
4524.6,21.64,7.55,63.16
4569.1,21.64,7.55,63.16
4610.0,17.27,8.55,61.73
4651.4,18.45,11.00,64.18
4692.1,18.45,11.00,64.18
4734.5,17.00,8.64,63.88
4774.7,19.00,10.82,64.80
4815.2,19.00,10.82,64.80
4851.3,18.36,9.00,62.45
4897.0,18.36,9.00,62.45
4938.3,22.00,10.00,63.88
4979.0,19.45,7.73,63.37
5019.3,19.45,7.73,63.37
5060.1,19.09,9.18,63.78
5102.6,17.27,8.73,63.88
5142.6,17.27,8.73,63.88
5184.5,20.73,8.09,63.06
5225.7,20.73,8.09,63.06
5266.5,19.64,7.91,61.53
5307.1,18.27,8.18,63.16
5348.1,18.27,8.18,63.16
5389.2,16.64,9.45,62.45
5431.2,18.82,8.18,65.10
5472.2,18.82,8.18,65.10
5512.0,19.36,8.09,63.47
5553.2,19.36,8.09,63.47
5594.3,19.18,8.91,64.39
5635.9,18.27,9.18,63.78
5677.0,18.27,9.18,63.78
5717.8,20.18,7.18,61.43
5758.8,17.91,10.55,57.35
5800.1,17.91,10.55,57.35
5840.7,12.55,-16.55,8.47
5882.0,12.55,-16.55,8.47
5923.1,-101.27,33.82,172.76
5963.4,0.91,45.64,113.16
6005.1,0.91,45.64,113.16
6045.2,18.00,21.91,98.67
6086.1,23.73,9.82,89.49
6127.4,23.73,9.82,89.49
6168.5,21.73,7.45,83.27
6209.6,21.73,7.45,83.27
6250.5,19.73,4.64,80.51
6292.1,22.00,4.45,77.96
6332.8,22.00,4.45,77.96
6374.2,22.18,3.73,77.65
6414.3,20.45,3.64,76.53
6455.2,20.45,3.64,76.53
6497.1,19.82,6.36,75.82
6537.3,19.82,6.36,75.82
6579.2,20.27,4.82,75.61
6619.4,21.09,3.73,75.10
6661.0,21.09,3.73,75.10
6701.4,20.91,3.45,73.47
6743.0,19.91,4.64,73.88
6784.1,19.91,4.64,73.88
6824.8,19.45,6.82,73.57
6865.3,19.45,6.82,73.57
6906.3,19.36,5.91,73.27
6947.7,22.55,6.36,73.98
6988.3,22.55,6.36,73.98
7029.6,20.55,5.73,74.39
7070.4,19.73,4.73,74.29
7111.1,19.73,4.73,74.29
7152.5,19.36,6.18,74.29
7193.2,19.36,6.18,74.29
7234.9,18.82,4.73,73.16
7275.4,19.36,4.73,73.37
7315.9,19.36,4.73,73.37
7358.1,18.91,6.27,75.31
7398.9,20.55,6.00,72.65
7439.2,20.55,6.00,72.65
7480.1,21.00,4.91,73.57
7521.0,21.00,4.91,73.57
7561.8,18.82,7.09,72.55
7601.3,17.45,6.09,74.08
7643.9,17.45,6.09,74.08
7684.8,19.00,5.36,75.51
7725.9,18.64,4.36,71.73
7767.6,18.64,4.36,71.73
7808.2,21.00,6.91,74.29
7842.8,21.00,6.91,74.29
7889.5,22.64,5.64,72.04
7925.0,19.27,3.82,73.16
7972.3,19.27,3.82,73.16
8008.5,18.91,6.64,72.86
8053.4,20.00,6.18,73.67
8094.8,20.00,6.18,73.67
8137.1,18.91,4.45,72.24
8176.9,18.91,4.45,72.24
8218.1,21.73,6.91,73.98
8259.2,21.55,7.36,74.08
8301.1,21.55,7.36,74.08
8341.0,20.18,7.36,73.67
8382.2,18.00,5.91,74.18
8423.1,18.00,5.91,74.18
8461.1,19.73,5.27,74.69
8502.5,19.73,5.27,74.69
8545.6,20.73,5.64,73.16
8587.1,21.09,6.64,73.16
8628.1,21.09,6.64,73.16
8667.4,19.64,5.91,74.49
8710.2,19.55,6.00,72.76
8751.6,19.55,6.00,72.76
8792.1,18.27,5.82,74.08
8830.8,18.27,5.82,74.08
8870.2,20.64,5.73,74.29
8913.9,19.36,7.09,73.16
8955.9,19.36,7.09,73.16
8997.0,19.45,6.00,71.63
9039.4,19.45,6.45,75.71
9074.3,19.55,6.45,75.71
9120.7,19.00,6.00,72.24
9156.7,19.00,6.00,72.24
9202.0,20.45,6.09,72.96
9239.9,20.73,6.64,74.39
9284.3,20.73,6.64,74.39
9325.1,19.45,5.55,72.04
9366.1,19.45,5.55,72.04
9407.3,20.45,5.55,72.96
9449.1,20.64,8.45,73.57
9489.1,20.64,8.45,73.57
9531.1,18.45,3.82,73.88
9572.2,18.27,4.73,74.39
9613.1,18.27,4.73,74.39
9653.7,20.45,5.36,74.08
9694.7,20.45,5.36,74.08
9735.5,20.00,5.91,73.37
9777.1,22.27,5.91,73.88
9817.9,22.27,5.91,73.88
9858.9,20.00,8.45,73.37
9899.1,19.00,7.00,72.76
9939.8,19.00,7.00,72.76
9981.6,18.73,8.36,74.49
10022.3,18.73,8.36,74.49
10063.6,20.82,6.00,72.55
10104.9,19.55,6.91,74.39
10145.7,19.55,6.91,74.39
10186.8,19.00,8.73,73.88
10227.2,16.73,5.36,73.98
10269.3,16.73,5.36,73.98
10309.6,20.18,5.55,73.37
10351.5,20.18,5.55,73.37
10391.9,19.45,6.45,71.73
10432.4,17.82,7.64,74.59
10473.8,17.82,7.64,74.59
10514.2,20.64,6.55,73.57
10556.1,19.27,7.36,72.55
10597.0,19.27,7.36,72.55
10636.9,20.91,5.55,74.59
10679.1,20.91,5.55,74.59
10718.8,20.64,5.91,73.47
10760.3,19.09,5.45,72.86
10802.0,19.09,5.45,72.86
10842.0,19.82,7.91,72.35
10884.4,20.18,5.55,73.98
10925.1,20.18,5.55,73.98
10965.6,17.36,4.64,73.47
11007.1,17.36,4.64,73.47
11047.9,18.09,7.55,72.96
11089.1,19.45,5.82,73.37
11129.8,19.45,5.82,73.37
11170.5,21.36,7.18,73.47
11212.1,19.45,5.82,73.88
11252.2,19.45,5.82,73.88
11293.1,19.09,7.27,73.57
11334.9,19.09,7.27,73.57
11375.6,20.55,4.36,72.86
11415.8,18.91,6.27,72.65
11455.4,18.91,6.27,72.65
11498.2,20.18,5.55,73.78
11539.1,19.82,7.55,72.04
11578.2,19.82,7.55,72.04
11618.5,20.45,6.09,73.78
11662.1,20.45,6.09,73.78
11703.4,20.27,6.36,75.31
11743.9,18.27,5.64,74.59
11785.6,18.27,5.64,74.59
11826.1,20.09,8.73,72.96
11868.0,19.64,5.27,73.16
11905.4,19.64,5.27,73.16
11945.1,19.09,6.27,74.29
11985.9,19.09,6.27,74.29
12031.1,20.82,6.27,73.57
12071.9,19.55,6.55,73.57
12113.1,19.55,6.55,73.57
12154.0,18.36,4.64,72.96
12194.8,20.09,6.45,73.27
12236.2,20.09,6.45,73.27
12277.1,20.91,7.64,72.45
12318.0,20.91,7.64,72.45
12359.1,19.91,4.09,73.16
12394.1,19.09,5.91,74.29
12437.7,19.09,5.91,74.29
12482.1,19.09,4.36,74.69
12523.1,17.82,4.82,73.06
12560.9,17.82,4.82,73.06
12604.3,20.00,5.91,73.16
12642.1,20.00,5.91,73.16
12687.7,18.55,6.64,74.18
12727.6,17.64,6.09,72.55
12767.4,17.64,6.09,72.55
12800.8,18.82,6.91,74.49
12852.3,19.73,6.45,73.06
12886.6,19.73,6.45,73.06
12933.8,19.82,7.00,73.78
12972.1,19.82,7.00,73.78
13015.7,20.09,5.55,72.65
13052.6,18.64,6.00,72.76
13096.9,18.64,6.00,72.76
