timestamp,x_uT,y_uT,z_uT
1.0,-77.18,-372.36,-417.96
2.0,18.45,-372.36,-417.96
3.0,18.45,-372.36,-417.96
4.0,-372.36,-372.36,-417.96
4.0,-372.36,-164.36,-417.96
6.0,-372.36,-164.36,-417.96
7.0,-57.09,-372.36,-417.96
8.0,73.18,-372.36,-417.96
9.1,73.18,-372.36,-417.96
10.1,-372.36,-372.36,-417.96
11.2,-372.36,-372.36,-417.96
12.2,-372.36,-372.36,-417.96
13.2,-105.91,-372.36,-417.96
14.2,-105.91,-372.36,-417.96
15.2,82.18,-372.36,-417.96
15.2,182.45,-372.36,-417.96
16.2,182.45,-372.36,-417.96
17.2,99.09,-372.36,-417.96
18.2,99.09,-372.36,-417.96
19.2,-19.27,-372.36,-417.96
20.4,-70.09,-372.36,-417.96
22.7,-70.09,-372.36,-417.96
23.7,-78.09,-372.36,-417.96
24.7,-57.36,-85.18,133.88
25.7,-57.36,-85.18,133.88
26.7,-22.45,-35.91,85.20
26.7,-22.45,-35.91,85.20
27.7,6.27,-10.36,64.90
28.7,14.64,2.00,60.20
29.7,14.64,2.00,60.20
30.7,18.64,7.18,60.41
30.7,18.55,9.64,61.22
31.8,18.55,9.64,61.22
32.8,19.36,9.45,62.76
33.8,19.36,9.45,62.76
33.8,18.18,8.45,63.98
34.8,19.00,9.27,63.67
35.8,19.00,9.27,63.67
36.8,19.55,9.09,64.39
37.8,22.64,9.09,64.39
37.8,22.64,9.09,64.39
47.2,17.91,10.18,63.98
88.9,17.91,10.18,63.98
130.0,20.91,8.73,63.67
170.8,19.64,7.64,63.98
212.0,19.64,7.64,63.98
252.7,18.64,8.64,63.78
293.7,17.91,6.45,63.06
335.3,17.91,6.45,63.06
375.3,14.91,-1.45,62.35
417.6,14.91,-1.45,62.35
458.2,9.45,-15.36,68.57
498.2,-2.09,-42.36,92.24
540.1,-2.09,-42.36,92.24
581.1,-11.09,-74.27,117.96
621.7,1.27,-96.18,140.61
662.0,1.27,-96.18,140.61
704.0,16.64,-40.73,118.57
744.8,16.64,-40.73,118.57
785.9,14.82,-22.09,101.43
826.9,12.73,-13.91,91.84
868.2,12.73,-13.91,91.84
909.2,14.64,-8.82,86.22
949.7,16.73,-2.55,81.84
990.7,16.73,-2.55,81.84
1031.8,12.73,-3.27,81.94
1072.3,12.73,-3.27,81.94
1114.3,5.73,-10.00,83.57
1154.9,5.00,-10.64,84.49
1196.1,5.00,-10.64,84.49
1236.8,11.09,-16.91,135.10
1277.5,41.55,20.91,108.67
1319.3,41.55,20.91,108.67
1360.1,40.27,17.45,115.00
1401.5,40.27,17.45,115.00
1441.4,22.55,-12.09,143.47
