timestamp,x_uT,y_uT,z_uT
1.9,75.00,-372.36,-417.96
1.9,75.00,-372.36,-417.96
3.7,-10.45,50.73,2.65
4.5,-10.45,50.73,2.65
4.5,-12.00,-372.36,154.59
4.5,-372.36,-372.36,-417.96
4.5,-372.36,-372.36,-417.96
4.5,-372.36,-372.36,-417.96
4.5,-372.36,67.82,-417.96
4.5,-372.36,67.82,-417.96
4.5,-23.73,36.82,6.12
4.5,-23.73,36.82,6.12
11.9,53.91,-372.36,180.41
11.9,-372.36,-372.36,130.31
13.8,-372.36,-372.36,130.31
13.8,-372.36,-372.36,-167.45
16.0,68.00,-372.36,-124.80
16.0,68.00,-372.36,-124.80
16.0,-36.27,53.36,-26.94
16.0,-36.27,53.36,-26.94
16.0,-61.27,-372.36,-417.96
19.5,-372.36,-372.36,-417.96
21.2,-372.36,-372.36,-417.96
21.2,-372.36,-105.09,-417.96
21.2,15.18,74.00,-417.96
21.2,15.18,74.00,-417.96
24.9,-100.09,16.91,-87.24
24.9,-100.09,16.91,-87.24
29.0,-372.36,39.73,-417.96
29.0,-372.36,-146.64,-417.96
29.0,-372.36,-146.64,-417.96
31.7,100.91,30.00,-120.82
49.8,27.73,73.00,-31.63
49.8,27.73,73.00,-31.63
51.3,-132.91,-147.18,-3.98
53.4,-132.91,-147.18,-3.98
58.1,-177.36,-63.82,136.53
59.6,77.73,-11.18,-124.18
61.6,77.73,-11.18,-124.18
61.6,9.45,40.73,14.39
63.7,-23.00,-3.73,31.84
63.7,-23.00,-3.73,31.84
65.7,57.27,-1.09,-417.96
67.7,57.27,-1.09,-417.96
67.7,-372.36,-372.36,-417.96
69.7,-372.36,-372.36,-126.12
71.3,-372.36,-372.36,-126.12
72.2,12.82,54.82,-1.22
73.3,-165.73,-17.27,-417.96
75.3,-165.73,-17.27,-417.96
75.3,-372.36,45.73,-417.96
77.3,-372.36,45.73,-417.96
77.3,-372.36,-372.36,-417.96
79.4,-372.36,-372.36,-142.35
81.4,-372.36,-372.36,-142.35
81.4,5.91,79.18,-66.22
83.4,-372.36,-170.73,-417.96
84.6,-372.36,-170.73,-417.96
86.6,-372.36,-136.73,-417.96
88.7,-372.36,-136.73,-417.96
88.7,-372.36,27.82,-417.96
90.7,-372.36,-372.36,-417.96
91.7,-372.36,-372.36,-417.96
93.7,-372.36,-372.36,-101.12
93.7,-372.36,-372.36,-112.14
95.7,-372.36,-372.36,-112.14
97.7,-372.36,-372.36,-132.24
97.7,-372.36,-372.36,-132.24
99.7,-42.36,-372.36,-150.71
101.7,-87.18,-372.36,-162.14
101.7,-87.18,-372.36,-162.14
103.7,-82.91,-372.36,-138.67
105.8,-23.18,-372.36,-168.47
105.8,-23.18,-372.36,-168.47
107.8,-22.64,-372.36,-417.96
109.8,-22.64,-372.36,-417.96
109.8,-10.18,-372.36,-147.14
111.8,-11.09,-372.36,-145.10
113.8,-11.09,-372.36,-145.10
113.8,1.45,-372.36,-417.96
115.8,13.00,-372.36,-417.96
117.8,13.00,-372.36,-417.96
117.8,23.18,-372.36,-417.96
119.8,23.18,-372.36,-417.96
119.8,68.36,-372.36,-417.96
121.8,64.55,39.09,-417.96
123.9,64.55,39.09,-417.96
123.9,32.73,34.73,20.61
125.9,21.82,15.18,54.90
127.9,21.82,15.18,54.90
127.9,21.45,12.45,59.49
129.9,21.45,12.45,59.49
129.9,18.45,8.00,63.47
131.9,20.18,8.45,63.78
131.9,20.18,8.45,63.78
131.9,18.64,8.45,64.69
131.9,21.00,6.27,63.67
131.9,21.00,6.27,63.67
131.9,18.91,7.00,63.27
131.9,18.91,7.00,63.27
131.9,21.36,10.00,63.67
138.0,21.91,7.55,63.06
138.0,21.91,7.55,63.06
139.6,18.09,6.27,64.29
167.6,17.27,7.18,63.98
205.7,17.27,7.18,63.98
248.1,21.64,7.91,63.37
287.8,21.64,7.91,63.37
331.4,21.09,10.45,62.45
373.0,21.09,15.36,57.35
407.3,21.09,15.36,57.35
454.7,24.27,27.73,44.49
496.3,23.82,44.27,21.94
536.9,23.82,44.27,21.94
577.5,27.91,56.00,-11.22
618.4,27.91,56.00,-11.22
659.8,28.00,60.09,-45.41
700.5,21.45,55.27,-73.16
741.8,21.45,55.27,-73.16
782.9,31.64,48.36,-86.33
823.0,65.27,54.36,-67.24
864.8,65.27,54.36,-67.24
905.9,74.09,46.73,-41.94
946.6,74.09,46.73,-41.94
987.4,67.09,40.36,-25.20
1028.2,68.09,35.18,-0.10
1069.8,68.09,35.18,-0.10
1110.6,71.00,26.73,21.33
1151.4,70.27,22.09,32.35
1192.8,70.27,22.09,32.35
1233.8,68.18,19.91,37.55
1274.6,68.18,19.91,37.55
1315.1,72.36,20.45,36.53
1355.9,70.55,18.36,39.08
1397.3,70.55,18.36,39.08
1437.9,68.73,17.18,37.55
1478.5,69.18,17.27,38.88
1520.8,69.18,17.27,38.88
1561.8,68.00,17.18,38.67
1602.8,68.00,17.18,38.67
1643.8,71.36,17.55,38.78
1683.4,71.45,20.27,38.88
1724.8,71.45,20.27,38.88
1766.8,72.09,17.45,37.24
1807.5,70.73,18.18,38.27
1848.4,70.73,18.18,38.27
1888.7,71.00,17.64,38.47
1930.4,71.00,17.64,38.47
1972.1,72.55,17.00,38.88
2012.8,69.82,18.36,38.67
2053.5,69.82,18.36,38.67
2094.6,70.27,16.27,38.06
2135.5,70.64,19.55,39.18
2176.7,70.64,19.55,39.18
2218.0,70.73,17.64,38.98
2258.8,70.73,17.64,38.98
2299.9,72.00,16.91,38.47
