timestamp,x_uT,y_uT,z_uT
1.0,0.45,-10.09,56.94
2.1,11.64,-0.45,65.20
3.2,11.64,-0.45,65.20
3.2,12.82,0.82,65.51
4.2,12.82,0.82,65.51
5.2,0.18,-12.00,52.04
6.2,4.73,-15.18,-27.86
6.2,4.73,-15.18,-27.86
7.2,3.91,-7.45,61.94
8.2,12.09,0.64,65.10
9.2,12.09,0.64,65.10
9.2,14.36,-1.91,64.39
10.2,14.36,-1.91,64.39
11.2,-12.09,-17.36,59.80
12.4,-46.73,-52.27,95.51
13.6,-46.73,-52.27,95.51
15.1,3.91,-6.64,86.02
15.1,11.09,-2.82,68.98
16.1,11.09,-2.82,68.98
17.1,12.18,1.55,66.43
17.1,12.18,1.55,66.43
18.1,1.64,-9.64,69.29
19.1,-42.73,-106.36,-20.71
20.1,-42.73,-106.36,-20.71
21.1,-11.73,-24.00,49.39
22.3,9.91,-2.00,67.24
22.3,9.91,-2.00,67.24
23.7,13.09,1.18,66.02
25.2,13.09,1.18,66.02
25.2,10.64,-2.91,65.82
26.2,-15.09,-31.91,25.10
27.2,-15.09,-31.91,25.10
28.2,-2.36,-13.91,58.47
29.2,12.45,0.36,67.96
30.2,12.45,0.36,67.96
30.2,14.73,2.36,65.82
31.2,14.73,2.36,65.82
32.2,13.27,0.82,67.55
33.2,-3.36,-10.64,70.71
33.2,-3.36,-10.64,70.71
34.2,3.73,-8.36,66.33
35.2,11.55,1.18,68.88
36.2,11.55,1.18,68.88
36.2,14.45,4.45,67.14
37.2,14.45,4.45,67.14
38.2,13.36,-0.18,68.47
39.2,2.73,-7.91,64.39
40.2,2.73,-7.91,64.39
40.2,8.27,-2.36,69.29
41.2,15.55,0.45,70.82
42.2,15.55,0.45,70.82
43.2,13.64,0.73,68.06
43.2,13.64,0.73,68.06
44.2,5.55,-3.82,70.51
45.2,4.00,-6.00,65.31
46.6,4.00,-6.00,65.31
46.6,13.27,1.00,69.08
47.6,15.55,4.45,68.88
48.6,15.55,4.45,68.88
49.6,10.91,1.00,67.76
49.6,10.91,1.00,67.76
50.8,-1.91,-7.45,66.63
51.9,4.45,-6.45,67.86
52.8,4.45,-6.45,67.86
53.9,13.00,1.27,69.90
53.9,14.73,4.91,69.69
54.9,14.73,4.91,69.69
56.2,11.64,-0.27,69.90
57.2,11.64,-0.27,69.90
58.2,-5.55,-15.82,57.14
59.2,-1.91,-7.45,58.06
59.2,-1.91,-7.45,58.06
60.2,9.82,-3.27,59.59
61.2,14.55,1.55,52.65
62.2,14.55,1.55,52.65
63.2,21.36,8.64,53.37
64.6,21.36,8.64,53.37
65.6,23.27,10.64,59.49
66.6,20.55,9.45,59.80
67.6,20.55,9.45,59.80
67.6,20.55,8.45,60.51
68.6,21.73,9.64,62.86
69.6,21.73,9.64,62.86
70.6,20.36,8.45,62.65
71.6,20.36,8.45,62.65
81.1,20.73,8.55,64.08
121.7,18.00,8.18,61.84
163.1,18.00,8.18,61.84
204.8,20.09,8.64,63.98
244.9,20.27,9.09,62.35
286.7,20.27,9.09,62.35
327.6,19.64,7.73,61.73
368.6,19.64,7.73,61.73
409.5,21.36,8.82,60.51
450.4,21.18,10.45,57.14
491.6,21.18,10.45,57.14
532.7,21.18,13.55,52.65
573.3,22.09,12.00,49.08
614.0,22.09,12.00,49.08
655.8,20.27,11.55,47.04
696.4,20.27,11.55,47.04
737.9,20.18,10.45,45.41
778.2,17.36,5.82,43.57
819.8,17.36,5.82,43.57
860.4,13.73,0.82,43.78
900.9,12.45,-1.00,47.45
942.8,12.45,-1.00,47.45
983.7,10.82,-1.27,51.12
1023.9,10.82,-1.27,51.12
1065.7,11.82,-1.00,54.90
1106.1,12.45,1.09,57.04
1146.7,12.45,1.09,57.04
1188.8,11.91,0.82,58.98
1229.1,10.91,0.27,58.88
1270.3,10.91,0.27,58.88
1311.5,12.91,2.18,56.43
1352.7,12.91,2.18,56.43
1393.0,13.09,-1.36,58.06
1434.4,12.73,-0.09,57.04
1475.7,12.73,-0.09,57.04
1516.6,12.55,-1.73,57.65
1557.6,11.45,-0.55,56.43
1598.6,11.45,-0.55,56.43
1639.2,11.55,0.00,58.16
1680.4,11.55,0.00,58.16
1721.7,12.18,-0.55,57.14
1762.9,14.00,-0.55,56.73
1803.7,14.00,-0.55,56.73
1843.7,11.73,1.18,57.55
1885.5,12.27,-0.91,57.45
1926.8,12.27,-0.91,57.45
1967.6,13.45,-0.64,57.14
2008.1,13.45,-0.64,57.14
2048.1,11.64,-0.18,58.78
2089.3,12.91,-0.64,57.96
2130.1,12.91,-0.64,57.96
2171.3,13.55,0.18,57.65
2212.6,13.55,-0.73,55.41
2253.5,15.18,-0.73,55.41
2293.9,12.45,-3.27,57.04
2334.9,12.45,-3.27,57.04
2375.8,12.64,0.00,56.94
2417.3,10.00,1.09,58.78
2458.4,10.00,1.09,58.78
2499.1,12.45,0.18,57.96
2540.9,12.45,0.18,57.96
2581.9,12.45,0.18,57.96
2622.8,13.91,2.00,59.59
2663.1,13.91,2.00,59.59
2703.8,13.45,2.91,61.33
2746.8,15.73,1.27,61.33
2786.4,15.73,1.27,61.33
2827.1,12.64,1.36,62.04
2867.8,12.64,1.36,62.04
2909.8,15.18,1.64,61.73
2950.8,14.73,3.91,62.55
2990.5,14.73,3.91,62.55
3031.7,12.36,1.73,62.24
3073.5,13.64,1.64,61.73
3114.5,13.64,1.64,61.73
3155.6,12.91,3.27,60.82
3195.9,12.91,3.27,60.82
3236.7,11.45,1.36,61.22
3278.8,12.09,0.27,60.82
3318.7,12.09,0.27,60.82
3360.1,11.91,-2.36,59.80
3398.5,11.64,-1.00,60.20
3442.4,11.64,-1.00,60.20
3480.4,10.73,-1.73,60.41
3522.1,10.73,-1.73,60.41
3564.7,8.91,-2.45,56.84
3605.6,7.55,-3.09,55.31
3648.3,7.55,-3.09,55.31
3687.7,8.82,-1.09,58.98
3729.8,11.27,-1.00,60.10
3764.5,11.27,-1.00,60.10
3811.2,13.45,1.45,60.20
3852.0,13.45,1.45,60.20
3893.1,12.09,1.55,60.20
3930.2,15.36,2.18,59.80
3975.7,15.36,2.18,59.80
4013.1,13.73,1.91,59.18
4052.9,14.27,1.73,59.49
4097.7,14.27,1.73,59.49
4139.5,14.45,1.00,60.82
4180.3,14.45,1.00,60.82
4221.4,14.82,2.09,60.00
4262.2,14.09,0.09,60.41
4302.7,14.09,0.09,60.41
4344.4,14.91,2.82,60.51
4384.7,12.82,-0.64,60.31
4426.1,12.82,-0.64,60.31
4462.7,14.91,3.91,60.51
4505.7,14.91,3.91,60.51
4546.0,12.73,1.27,62.04
4589.8,11.45,2.18,60.61
4628.1,11.45,2.18,60.61
4671.6,10.18,-1.27,62.14
4712.7,9.73,-2.09,59.18
4753.7,9.73,-2.09,59.18
4794.7,11.73,-0.09,60.82
4829.8,11.73,-0.09,60.82
4877.8,15.27,1.91,62.35
