timestamp,x_uT,y_uT,z_uT
1.0,19.45,-48.73,-31.12
2.0,37.36,67.64,13.98
2.0,37.36,67.64,13.98
3.0,6.45,-17.36,90.82
4.0,73.09,68.36,-165.10
5.0,73.09,68.36,-165.10
6.2,26.36,45.82,-12.55
8.2,26.36,45.82,-12.55
9.2,7.27,-29.55,131.02
10.3,18.64,-89.55,-102.04
11.3,18.64,-89.55,-102.04
12.3,38.27,84.64,50.71
13.3,6.82,-26.55,125.51
15.3,6.82,-26.55,125.51
16.3,27.00,-53.36,-71.43
17.3,27.00,-53.36,-71.43
18.3,18.27,21.64,1.84
19.3,20.27,25.27,70.31
19.3,20.27,25.27,70.31
20.3,11.91,4.55,81.02
21.3,12.82,0.91,72.04
22.3,12.82,0.91,72.04
23.3,15.45,-0.73,66.73
23.3,15.45,-0.73,66.73
24.3,17.00,3.82,63.16
26.3,18.18,6.27,61.02
27.3,18.18,6.27,61.02
28.3,18.09,6.00,60.61
29.3,17.09,8.27,62.24
30.3,17.09,8.27,62.24
31.3,21.27,7.64,62.24
32.3,21.27,7.64,62.24
33.6,19.64,6.45,60.71
33.6,18.45,7.00,62.76
49.7,18.45,7.00,62.76
91.6,19.73,6.91,62.76
132.8,19.64,7.09,62.14
173.1,19.64,7.09,62.14
213.8,18.45,5.18,60.71
255.8,18.45,5.18,60.71
296.3,17.45,1.27,63.16
337.3,13.55,-4.18,67.76
378.5,13.55,-4.18,67.76
419.7,2.73,-12.45,82.65
460.1,-8.91,-10.45,101.02
501.7,-8.91,-10.45,101.02
542.7,-3.09,-2.73,109.90
584.0,-3.09,-2.73,109.90
624.3,-4.00,-14.82,112.96
665.5,-8.64,-28.00,104.29
706.5,-8.64,-28.00,104.29
747.0,0.91,-23.36,95.31
788.0,8.91,-21.82,99.29
829.1,8.91,-21.82,99.29
870.1,2.91,-26.27,112.24
911.7,2.91,-26.27,112.24
952.7,-5.18,-34.82,120.31
993.4,-6.27,-55.91,102.86
1034.1,-6.27,-55.91,102.86
1075.2,-9.09,-76.82,66.73
1116.7,-15.64,-105.00,37.35
1157.4,-15.64,-105.00,37.35
1198.5,-5.00,-97.18,38.98
1239.6,-5.00,-97.18,38.98
1280.1,19.45,-59.73,-4.08
1321.1,26.55,-48.64,-13.47
1362.1,26.55,-48.64,-13.47
1403.6,24.91,-56.09,-7.55
1444.6,26.91,-57.73,-11.63
1485.3,26.91,-57.73,-11.63
1526.3,28.00,-57.18,-17.35
1567.5,28.00,-57.18,-17.35
1608.0,26.27,-64.45,-18.16
1649.6,24.55,-70.27,-11.94
1690.1,24.55,-70.27,-11.94
1731.1,24.45,-69.27,-10.71
1771.9,24.45,-69.27,-10.71
1813.6,24.45,-69.27,-10.71
1854.1,24.82,-65.09,-11.53
1895.9,24.82,-65.09,-11.53
1936.4,24.36,-68.64,-15.20
1979.1,22.36,-71.00,-8.98
2018.4,22.36,-71.00,-8.98
2059.2,23.27,-71.36,-11.33
2099.6,23.27,-71.36,-11.33
2141.5,24.64,-73.45,-9.59
2181.1,25.27,-71.64,-11.53
2222.8,25.27,-71.64,-11.53
2264.1,25.45,-71.45,-11.12
2304.8,24.64,-72.00,-9.90
2345.9,24.64,-72.00,-9.90
2386.6,26.18,-71.18,-11.02
2427.9,26.18,-71.18,-11.02
2467.7,26.82,-73.64,-13.16
2510.7,25.64,-74.45,-11.63
2550.0,25.64,-74.45,-11.63
2590.8,26.82,-73.36,-12.04
2633.0,25.45,-72.09,-11.02
2673.8,25.45,-72.09,-11.02
2714.6,24.45,-73.55,-11.73
2756.1,24.45,-73.55,-11.73
2796.1,25.00,-71.73,-14.69
2837.8,26.45,-69.18,-15.51
2878.5,26.45,-69.18,-15.51
2919.3,28.18,-68.45,-15.92
2960.3,29.27,-67.36,-18.78
3001.9,29.27,-67.36,-18.78
3043.0,30.18,-61.64,-21.02
3083.6,30.18,-61.64,-21.02
3124.5,31.27,-44.45,-25.41
3165.0,33.64,-28.91,-29.49
3206.7,33.64,-28.91,-29.49
3247.6,34.09,-20.09,-23.27
3287.9,26.55,-24.09,-22.14
3328.8,26.55,-24.09,-22.14
3371.1,31.27,-55.00,-22.35
3411.3,31.27,-55.00,-22.35
3452.0,14.82,-109.00,19.80
3493.7,21.91,-92.00,-14.69
3534.9,21.91,-92.00,-14.69
3576.1,7.09,-104.64,3.27
3616.3,-27.09,-138.64,73.47
3657.8,-27.09,-138.64,73.47
3698.7,-20.18,-130.73,60.51
3739.1,-20.18,-130.73,60.51
3781.2,-8.18,-117.27,37.45
3821.7,-3.00,-106.45,38.88
3862.4,-3.00,-106.45,38.88
3903.5,-4.91,-100.64,44.39
3944.3,-6.27,-98.36,64.80
3985.3,-6.27,-98.36,64.80
4026.4,-7.36,-91.91,46.63
4067.1,-7.36,-91.91,46.63
4108.5,9.00,-55.64,2.24
4150.0,14.73,-37.45,-4.49
4190.1,14.73,-37.45,-4.49
4231.6,20.36,-25.82,-10.51
4272.1,23.18,-21.91,-15.10
4312.8,23.18,-21.91,-15.10
4354.8,28.45,-10.73,-21.84
4396.2,28.45,-10.73,-21.84
4436.8,32.82,-2.18,-22.55
4478.0,30.09,-5.00,-19.80
4518.1,30.09,-5.00,-19.80
4559.7,23.45,-17.36,-20.10
4601.1,28.27,-11.82,-21.53
4641.0,28.27,-11.82,-21.53
4683.0,29.00,-3.91,-25.00
4724.0,29.00,-3.91,-25.00
4764.5,24.36,-9.09,-17.04
4805.7,19.45,0.45,1.33
4846.4,19.45,0.45,1.33
4887.0,20.82,7.09,16.53
4928.1,16.55,8.09,17.76
4969.3,16.55,8.09,17.76
5010.7,18.82,8.18,17.65
5051.0,18.82,8.18,17.65
5091.5,21.45,16.55,18.78
5133.0,22.73,16.91,20.51
5173.0,22.73,16.91,20.51
5214.8,20.64,18.91,19.08
5255.7,23.09,17.00,19.49
5295.8,23.09,17.00,19.49
5337.4,21.45,19.73,18.16
5378.9,21.45,19.73,18.16
5419.2,21.00,-7.36,-30.41
5460.9,-95.27,121.27,-417.96
5501.9,-95.27,121.27,-417.96
5542.9,-76.73,-372.36,-417.96
5583.4,40.18,-372.36,-0.82
5623.9,40.18,-372.36,-0.82
5665.1,-63.09,-122.55,-417.96
5706.2,-63.09,-122.55,-417.96
5747.2,-14.55,19.45,-417.96
5788.7,30.55,12.73,-417.96
5829.9,30.55,12.73,-417.96
5870.0,59.09,-31.18,-91.73
5911.2,-52.00,40.45,-417.96
5953.0,-52.00,40.45,-417.96
5994.2,26.82,12.64,-417.96
6034.9,26.82,12.64,-417.96
6075.6,-7.73,-118.36,88.47
6116.7,4.55,-47.18,182.14
6157.3,4.55,-47.18,182.14
6198.2,14.64,-9.36,28.06
6240.4,21.82,-16.00,147.24
6280.9,21.82,-16.00,147.24
6322.7,18.27,14.09,8.67
6362.6,18.27,14.09,8.67
6403.3,3.91,-56.73,53.16
6443.9,4.00,-72.91,-417.96
6485.6,4.00,-72.91,-417.96
6526.7,29.18,19.55,-417.96
6567.9,22.36,1.00,170.92
6608.2,22.36,1.00,170.92
6648.7,4.82,-47.91,0.61
6690.3,4.82,-47.91,0.61
6731.5,11.82,-38.45,7.65
6772.8,20.00,16.09,167.24
6813.3,20.00,16.09,167.24
6853.9,31.00,24.09,24.59
6895.6,1.82,-62.00,145.82
6936.5,1.82,-62.00,145.82
6976.3,4.18,-76.55,-18.37
7018.2,4.18,-76.55,-18.37
7058.8,46.09,31.55,-16.63
7099.6,12.55,37.64,-417.96
7141.0,12.55,37.64,-417.96
7182.1,49.18,44.45,-417.96
7223.3,-40.55,-145.64,-417.96
7264.1,-40.55,-145.64,-417.96
7305.7,-27.09,-372.36,-417.96
7346.4,-27.09,-372.36,-417.96
7386.9,42.00,37.18,-13.57
7428.0,10.64,8.36,-417.96
7469.4,10.64,8.36,-417.96
7509.7,46.36,43.55,-417.96
7550.8,-33.27,-151.91,-417.96
7592.3,-33.27,-151.91,-417.96
7633.4,-10.00,-137.45,118.78
7674.4,-10.00,-137.45,118.78
7715.0,35.00,28.45,-6.84
7756.0,26.09,59.82,-417.96
7797.8,26.09,59.82,-417.96
7838.3,31.64,27.27,-417.96
7879.3,-0.73,-372.36,-81.33
7920.0,-0.73,-372.36,-81.33
7961.4,27.64,-35.82,-417.96
8002.5,27.64,-35.82,-417.96
8043.3,31.91,25.64,-417.96
8084.2,2.91,-92.00,180.10
8125.5,2.91,-92.00,180.10
8166.6,-10.45,-110.55,83.98
8208.2,30.91,25.18,26.12
8247.5,30.91,25.18,26.12
8290.1,22.18,5.91,200.31
8330.0,22.18,5.91,200.31
8371.1,23.00,-0.18,-7.45
8411.6,31.18,23.36,17.45
8453.0,31.18,23.36,17.45
8495.0,31.91,53.64,202.35
8535.0,26.36,7.09,-1.73
8575.6,26.36,7.09,-1.73
8617.6,29.55,3.09,-6.02
8659.0,29.55,3.09,-6.02
8699.9,22.36,23.00,206.63
8740.3,25.91,15.00,25.00
8781.3,25.91,15.00,25.00
8822.8,48.27,30.09,-30.51
8863.7,50.36,46.36,-417.96
8904.2,50.36,46.36,-417.96
8945.3,25.45,15.91,-417.96
8986.8,25.45,15.91,-417.96
9027.9,-14.18,-122.82,54.18
9068.4,24.91,-65.55,-417.96
9109.6,24.91,-65.55,-417.96
9150.0,30.82,22.73,-417.96
9191.7,-0.82,-6.73,-417.96
9232.5,-0.82,-6.73,-417.96
9273.5,-19.09,-108.27,-417.96
9314.4,-19.09,-108.27,-417.96
9355.9,28.91,24.18,24.39
9396.9,39.82,51.00,190.41
9437.9,39.82,51.00,190.41
9478.6,18.64,-1.55,-8.47
9519.2,20.91,-8.55,-23.67
9560.9,20.91,-8.55,-23.67
9602.0,42.55,26.64,-417.96
9642.6,42.55,26.64,-417.96
9683.7,28.00,23.91,-417.96
9724.0,-12.45,-161.27,-417.96
9765.7,-12.45,-161.27,-417.96
9807.0,-18.36,-125.09,-417.96
9847.6,29.36,24.36,21.53
9888.7,29.36,24.36,21.53
9929.8,34.36,39.64,164.90
9970.7,34.36,39.64,164.90
10011.7,19.45,2.18,17.86
10052.6,-15.64,-99.55,94.80
10093.8,-15.64,-99.55,94.80
10134.4,20.91,-18.00,169.39
10175.7,2.64,16.18,29.90
10216.0,25.91,16.18,29.90
10257.6,35.36,31.91,187.45
10298.9,35.36,31.91,187.45
10339.7,6.36,-24.00,27.04
10381.0,21.36,6.09,10.20
10422.2,21.36,6.09,10.20
10462.8,42.45,32.64,184.90
10503.7,42.45,9.45,184.90
10543.7,25.73,9.45,21.84
10585.5,-22.55,-113.00,61.94
10626.9,-22.55,-113.00,61.94
10667.4,7.82,-36.27,-417.96
10708.5,25.73,16.73,-417.96
10749.5,25.73,16.73,-417.96
10790.7,-17.18,-60.82,-417.96
10831.9,-17.18,-60.82,-417.96
10872.0,-26.36,-90.45,-417.96
10912.9,21.73,16.18,41.02
10954.9,21.73,16.18,41.02
10996.1,7.55,68.82,-417.96
11036.3,24.36,-7.09,-417.96
11077.0,24.36,-7.09,-417.96
11118.9,7.09,9.09,52.35
11158.8,7.09,9.09,52.35
11200.0,8.45,54.91,170.41
11241.6,28.00,7.18,17.45
11282.0,28.00,7.18,17.45
11323.4,3.91,67.82,24.39
