timestamp,x_uT,y_uT,z_uT
1771360021537,27.83,-23.14,-80.21
1771360021579,27.97,-23.19,-80.37
1771360021621,27.76,-23.19,-80.10
1771360021662,27.71,-23.73,-80.10
1771360021703,27.68,-24.06,-80.10
1771360021744,27.19,-23.74,-80.47
1771360021785,26.89,-23.55,-80.69
1771360021826,26.86,-22.86,-80.58
1771360021867,27.61,-23.72,-80.06
1771360021908,28.06,-24.23,-79.75
1771360021949,28.73,-23.34,-79.52
1771360021989,28.33,-23.35,-79.88
1771360022029,28.09,-23.35,-80.09
1771360022072,28.49,-24.01,-80.42
1771360022113,28.73,-24.41,-80.62
1771360022153,28.44,-24.57,-80.25
1771360022195,28.15,-24.38,-80.07
1771360022236,27.98,-24.26,-79.96
1771360022277,27.81,-24.19,-79.98
1771360022318,28.32,-24.22,-80.15
1771360022361,28.63,-24.24,-80.25
1771360022400,29.00,-23.78,-80.11
1771360022440,29.22,-23.50,-80.03
1771360022482,29.31,-23.34,-80.38
1771360022521,28.89,-23.75,-80.43
1771360022564,28.64,-23.99,-80.46
1771360022605,29.41,-23.38,-80.69
1771360022646,28.44,-23.12,-80.25
1771360022687,27.87,-22.96,-79.98
1771360022728,28.21,-22.72,-79.99
1771360022769,28.42,-22.58,-79.99
1771360022810,28.65,-23.47,-79.92
1771360022851,28.21,-23.61,-80.15
1771360022892,27.95,-23.70,-80.30
1771360022933,27.93,-23.64,-80.59
1771360022974,27.70,-23.24,-80.68
1771360023015,27.57,-23.00,-80.74
1771360023056,27.78,-23.66,-80.44
1771360023096,27.90,-24.05,-80.26
1771360023138,27.61,-23.74,-80.85
1771360023179,28.02,-24.68,-80.71
1771360023219,28.27,-25.24,-80.63
1771360023260,28.63,-23.91,-80.46
1771360023302,28.16,-24.31,-80.48
1771360023343,27.88,-24.55,-80.49
1771360023384,28.29,-23.75,-80.01
1771360023425,28.54,-23.27,-79.72
1771360023466,28.69,-23.09,-79.67
1771360023508,28.88,-23.09,-79.93
1771360023548,29.00,-23.09,-80.08
1771360023588,28.20,-23.05,-80.29
1771360023630,27.54,-22.63,-80.79
1771360023670,27.14,-22.38,-81.08
1771360023711,28.03,-22.70,-80.41
1771360023753,28.56,-22.89,-80.00
1771360023793,29.14,-23.23,-79.76
1771360023834,27.63,-23.43,-80.26
1771360023874,26.72,-23.55,-80.56
1771360023917,27.78,-23.62,-80.58
1771360023958,28.34,-23.84,-80.68
1771360023999,28.67,-23.98,-80.73
1771360024038,28.58,-23.04,-80.44
1771360024081,28.53,-22.48,-80.26
1771360024122,28.10,-22.87,-79.91
1771360024162,28.24,-23.25,-80.23
1771360024203,28.32,-23.48,-80.42
1771360024245,27.94,-24.31,-80.01
1771360024286,28.51,-23.60,-79.97
1771360024327,28.85,-23.18,-79.94
1771360024368,28.73,-23.80,-79.72
1771360024408,28.66,-24.17,-79.59
1771360024450,28.94,-24.00,-79.55
1771360024491,28.53,-23.71,-79.89
1771360024532,28.28,-23.53,-80.10
1771360024573,27.44,-23.86,-80.06
1771360024614,27.96,-23.77,-79.71
1771360024655,28.27,-23.72,-79.50
1771360024696,28.09,-24.16,-79.62
1771360024737,27.98,-24.42,-79.69
1771360024778,28.32,-24.40,-80.06
1771360024819,28.45,-24.17,-80.20
1771360024860,28.52,-24.03,-80.28
1771360024900,27.73,-24.16,-80.37
1771360024941,28.02,-24.02,-80.22
1771360024983,28.19,-23.94,-80.13
1771360025025,28.70,-24.37,-79.96
1771360025065,29.00,-24.62,-79.85
1771360025106,28.96,-25.06,-79.79
1771360025145,28.83,-24.53,-79.91
1771360025187,28.76,-24.21,-79.99
1771360025229,28.71,-24.02,-79.95
1771360025270,27.81,-24.41,-80.14
1771360025310,27.26,-24.65,-80.25
1771360025352,28.21,-23.99,-79.98
1771360025393,28.78,-23.59,-79.83
1771360025434,28.03,-23.50,-79.94
1771360025475,27.73,-23.81,-79.92
1771360025516,27.55,-23.99,-79.91
1771360025557,27.62,-23.96,-79.62
1771360025597,28.03,-23.50,-80.10
1771360025639,28.27,-23.23,-80.39
1771360025680,28.42,-22.85,-80.23
1771360025720,28.51,-22.62,-80.14
1771360025762,28.05,-23.21,-80.21
1771360025806,28.07,-23.52,-80.33
1771360025843,28.08,-23.71,-80.40
1771360025885,28.01,-23.61,-80.00
1771360025926,27.57,-23.84,-80.20
1771360025967,27.31,-23.97,-80.33
1771360026008,26.68,-23.48,-80.24
1771360026049,26.30,-23.18,-80.18
1771360026090,27.45,-23.21,-80.19
1771360026131,27.60,-23.56,-79.67
1771360026172,27.69,-23.77,-79.35
1771360026214,27.67,-23.61,-79.28
1771360026254,27.80,-23.44,-80.14
1771360026295,27.88,-23.33,-80.66
1771360026336,27.96,-23.42,-80.43
1771360026376,28.01,-23.47,-80.30
1771360026417,27.83,-23.18,-79.85
1771360026458,27.35,-22.53,-79.91
1771360026499,27.07,-22.14,-79.95
1771360026541,27.95,-22.85,-79.80
1771360026580,27.97,-22.91,-79.76
1771360026621,27.98,-22.94,-79.73
1771360026664,28.21,-23.29,-80.08
1771360026704,28.35,-23.50,-80.29
1771360026746,28.57,-23.56,-80.10
1771360026788,29.00,-23.30,-80.02
1771360026828,29.26,-23.14,-79.97
1771360026869,28.93,-23.12,-80.06
1771360026910,28.23,-23.91,-79.96
1771360026951,27.81,-24.38,-79.89
1771360026992,27.78,-23.83,-79.90
