timestamp,x_uT,y_uT,z_uT
1771360180966,31.85,-38.88,-79.37
1771360181008,31.80,-38.49,-79.91
1771360181048,30.97,-39.06,-80.31
1771360181088,30.48,-39.40,-80.56
1771360181130,30.18,-39.60,-80.70
1771360181171,30.47,-40.85,-81.48
1771360181212,30.65,-41.60,-81.95
1771360181253,31.08,-41.98,-83.41
1771360181294,30.83,-43.19,-84.09
1771360181335,30.68,-43.91,-84.49
1771360181376,31.10,-44.02,-84.66
1771360181417,31.35,-43.83,-92.47
1771360181458,30.67,-43.72,-86.70
1771360181499,30.36,-44.12,-82.19
1771360181540,30.18,-44.37,-79.48
1771360181581,29.49,-45.20,-78.34
1771360181623,28.64,-45.45,-74.96
1771360181663,28.13,-45.60,-72.94
1771360181704,27.17,-45.50,-70.54
1771360181745,26.59,-45.99,-68.61
1771360181785,27.23,-46.29,-67.45
1771360181827,27.97,-46.75,-66.34
1771360181868,28.42,-47.03,-65.68
1771360181909,28.22,-48.07,-64.51
1771360181950,27.33,-50.44,-64.34
1771360181991,26.80,-51.87,-64.24
1771360182032,26.73,-54.39,-60.71
1771360182073,26.70,-57.47,-58.71
1771360182113,23.84,-59.32,-47.06
1771360182154,16.12,-48.61,-9.18
1771360182195,11.49,-42.19,13.55
1771360182236,-18.30,-21.57,43.48
1771360182277,-61.71,-55.81,18.42
1771360182318,-87.75,-76.36,3.38
1771360182360,-17.82,-194.76,-165.16
1771360182400,24.15,-265.80,-266.28
1771360182441,-134.46,-308.42,-326.95
1771360182482,-229.62,-129.13,-363.35
1771360182524,-286.71,-21.55,-385.20
1771360182565,-231.56,31.84,-398.30
1771360182606,-287.88,-28.79,-406.17
1771360182647,-321.67,-65.17,-410.88
1771360182689,-341.95,-188.04,-233.63
1771360182730,-354.11,-261.77,-129.73
1771360182770,-361.41,-306.01,-245.02
1771360182811,-365.79,-332.55,-73.67
1771360182852,-368.42,-348.47,29.15
1771360182893,-370.00,-179.45,64.75
1771360182934,-181.09,-68.58,66.89
1771360182975,-67.75,-2.05,68.18
1771360183016,-18.61,34.19,56.33
1771360183057,10.87,51.97,49.23
1771360183098,17.36,62.64,41.00
1771360183138,13.76,68.89,36.81
1771360183180,11.60,72.64,34.29
1771360183221,-2.13,75.55,37.51
1771360183261,-27.14,77.59,48.18
1771360183302,-42.14,78.81,54.58
1771360183344,-68.66,72.38,56.95
1771360183385,-84.58,51.46,50.54
1771360183426,-111.29,38.91,46.69
1771360183467,-138.92,2.40,27.20
1771360183508,-155.49,-19.50,15.50
1771360183550,-158.75,-160.65,-43.55
1771360183590,-93.54,-245.33,-193.32
1771360183631,-54.42,-296.14,-283.17
1771360183672,-181.59,-326.63,-337.09
1771360183714,-257.90,-136.05,-369.44
1771360183754,-303.68,-21.70,-388.85
1771360183795,-331.15,-161.97,-400.49
1771360183836,-347.64,-246.12,-407.48
1771360183877,-357.53,-296.62,-411.67
1771360183918,-200.95,-326.91,-414.19
1771360183959,-107.01,-345.09,-415.70
1771360184000,-84.86,-356.00,-416.60
1771360184041,-71.57,-362.54,-417.14
1771360184082,-63.60,-366.47,-417.47
1771360184124,-104.27,-368.83,-417.67
1771360184164,-128.67,-370.24,-417.78
1771360184205,-226.15,-190.18,-417.85
1771360184246,-284.63,-123.56,-417.90
1771360184287,-319.72,-83.59,-417.92
1771360184328,-340.78,-199.10,-417.94
1771360184369,-353.41,-268.40,-417.95
1771360184411,-360.99,-309.99,-417.95
1771360184451,-365.54,-334.94,-235.71
1771360184492,-368.27,-349.91,-126.37
1771360184533,-369.90,-216.31,-35.41
1771360184574,-370.89,-96.44,32.30
1771360184615,-371.48,-24.52,72.93
1771360184656,-371.83,37.51,110.54
1771360184696,-372.04,74.72,133.10
1771360184738,-372.17,97.05,146.63
1771360184779,-232.14,106.05,153.20
1771360184820,-148.12,111.45,157.15
1771360184861,-121.93,98.18,144.25
1771360184902,-118.32,77.96,122.79
1771360184943,-116.16,65.83,109.92
1771360184984,-125.33,45.28,94.03
1771360185025,-130.83,32.95,84.50
1771360185067,-134.14,25.55,78.78
1771360185107,-153.54,-34.81,19.92
1771360185148,-165.18,-71.03,-15.40
1771360185189,-159.62,-191.56,-176.42
1771360185230,-116.24,-263.88,-273.04
1771360185271,-90.22,-307.27,-331.01
1771360185312,-11.99,-333.31,-365.79
1771360185353,34.95,-348.93,-386.66
1771360185394,-127.97,-358.30,-399.18
1771360185435,-225.73,-363.92,-406.69
1771360185476,-284.38,-367.30,-411.20
1771360185517,-319.57,-369.32,-413.90
1771360185559,-241.85,-370.54,-415.53
1771360185599,-195.22,-371.27,-416.50
1771360185640,-190.44,-371.70,-417.08
1771360185681,-187.57,-371.97,-417.43
1771360185722,-261.49,-198.02,-417.64
1771360185763,-305.84,-145.47,-417.77
1771360185804,-332.45,-113.94,-417.85
1771360185845,-348.41,-134.14,-417.89
1771360185886,-251.19,-229.43,-300.37
1771360185927,-192.86,-286.60,-229.85
1771360185968,-128.66,-320.90,-167.99
1771360186010,-90.14,-341.49,-130.87
1771360186050,-38.16,-353.84,-93.50
1771360186092,21.91,-361.25,-57.08
1771360186132,57.94,-365.69,-35.23
1771360186173,-114.18,-368.36,-0.03
1771360186214,-217.45,-249.92,51.74
1771360186255,-279.41,-178.86,82.80
1771360186296,-316.59,-80.70,114.66
1771360186338,-338.90,-21.80,133.78
1771360186378,-352.28,46.16,146.63
1771360186419,-360.31,99.99,156.31
1771360186460,-365.13,132.28,162.11
1771360186501,-242.21,136.64,160.78
1771360186542,-192.74,136.46,153.20
1771360186583,-163.07,136.35,148.66
1771360186624,-246.78,132.97,148.05
1771360186665,-297.01,130.95,147.69
1771360186706,-327.15,99.04,117.92
1771360186747,-345.24,26.88,45.36
1771360186787,-356.09,-16.42,1.83
1771360186828,-362.60,-158.79,-166.09
1771360186869,-366.50,-244.22,-266.84
1771360186911,-368.84,-295.48,-327.29
1771360186952,-370.25,-326.23,-363.56
1771360186993,-371.09,-344.68,-385.32
1771360187034,-209.96,-192.23,-398.37
1771360187075,-142.63,-42.25,-406.21
1771360187116,-102.24,47.74,-410.91
1771360187157,-120.40,-120.30,-413.73
1771360187198,-221.18,-221.12,-415.42
1771360187239,-281.65,-281.62,-416.44
1771360187280,-317.94,-175.77,-417.05
1771360187321,-339.71,-112.26,-417.41
1771360187362,-352.77,-125.98,-256.82
1771360187403,-259.08,-224.53,-142.50
1771360187445,-202.87,-283.66,-73.91
1771360187485,-142.66,-319.14,-32.06
1771360187526,-86.80,-340.43,8.19
1771360187567,-53.28,-353.20,32.34
1771360187608,30.61,-360.86,-147.78
1771360187649,80.95,-365.46,-255.85
1771360187690,-100.38,-368.22,-320.69
1771360187731,-209.17,-369.88,-359.60
1771360187772,-274.45,-370.87,-382.94
1771360187813,-313.61,-184.05,-396.95
1771360187854,-337.11,-259.37,-405.35
1771360187895,-351.21,-304.57,-410.40
1771360187936,-359.67,-331.69,-413.42
1771360187977,-364.75,-347.96,-415.24
1771360188018,-238.12,-357.72,-416.33
1771360188059,-195.38,-363.57,-416.98
1771360188100,-169.74,-367.09,-417.37
1771360188141,-170.17,-184.18,-206.10
1771360188182,-251.05,-92.40,-96.64
1771360188223,-299.57,-37.33,-30.96
1771360188264,-328.69,-30.73,-19.15
1771360188306,-346.16,-26.76,-12.06
1771360188346,-356.64,-55.66,-50.54
1771360188387,-362.93,-93.76,-106.49
1771360188427,-366.70,-116.62,-140.06
1771360188469,-368.96,-218.92,-251.22
1771360188510,-370.32,-280.29,-317.92
1771360188551,-371.14,-317.12,-357.93
1771360188592,-371.63,-339.22,-381.94
1771360188633,-371.92,-352.47,-396.35
1771360188674,-284.46,-360.43,-404.99
1771360188715,-228.78,-226.29,-410.18
1771360188756,-195.38,-145.81,-413.29
1771360188797,-181.70,-44.32,-415.16
1771360188837,-175.35,36.35,-416.28
1771360188879,-171.54,84.75,-416.95
1771360188920,-174.34,112.63,-417.36
1771360188961,-176.03,129.36,-417.60
1771360189002,-254.56,122.64,-417.74
1771360189043,-301.68,91.80,-287.13
1771360189084,-329.95,73.30,-208.77
1771360189125,-346.91,29.32,-123.26
1771360189166,-357.09,-28.91,-48.24
1771360189207,-363.20,-63.86,-3.23
1771360189248,-253.88,-107.01,21.62
1771360189289,-188.29,-132.90,36.52
1771360189330,-130.14,-228.68,36.69
1771360189371,-76.92,-286.15,40.46
1771360189412,-44.99,-320.64,42.72
1771360189454,-6.41,-341.33,44.53
1771360189494,34.62,-353.74,47.49
1771360189535,59.25,-361.19,49.27
1771360189576,93.55,-365.66,63.24
1771360189617,114.13,-368.34,71.61
1771360189658,-80.47,-280.86,93.25
1771360189699,-197.22,-207.14,121.38
1771360189740,-267.28,-162.90,138.26
1771360189781,-309.31,-108.83,157.73
1771360189822,-334.53,-46.83,-72.55
1771360189862,-349.66,-9.62,-210.71
1771360189904,-358.74,36.15,-293.61
1771360189944,-364.19,63.62,-343.35
1771360189986,-367.46,97.44,-373.19
1771360190027,-200.44,127.19,-391.10
1771360190068,-100.23,145.04,-401.84
1771360190109,-75.41,153.97,-408.29
1771360190149,-92.81,148.42,-172.77
1771360190190,-103.25,145.09,-31.46
1771360190231,-134.09,128.80,44.47
1771360190272,-152.60,119.02,90.03
1771360190312,-240.50,103.41,112.35
1771360190354,-293.25,77.68,117.90
1771360190395,-324.89,62.25,121.23
1771360190436,-343.88,2.51,81.80
1771360190477,-355.27,-147.44,-25.66
1771360190518,-362.11,-237.41,-90.13
1771360190559,-366.21,-291.39,-221.26
1771360190600,-368.67,-323.78,-299.94
1771360190641,-370.15,-343.21,-347.15
1771360190682,-371.03,-354.87,-375.47
1771360190722,-371.56,-361.87,-392.47
1771360190764,-247.59,-170.61,-402.66
1771360190806,-175.50,-251.31,-408.78
1771360190847,-132.24,-299.73,-412.45
1771360190887,-138.40,-328.78,-414.66
1771360190929,-142.10,-346.21,-415.98
1771360190970,-234.20,-356.67,-416.77
1771360191011,-289.47,-362.95,-417.25
1771360191052,-322.62,-366.71,-417.53
1771360191093,-342.52,-220.76,-417.70
1771360191134,-354.45,-281.40,-190.70
1771360191175,-361.62,-317.78,-54.50
1771360191216,-365.91,-339.61,-199.88
1771360191257,-368.49,-352.71,-287.11
1771360191298,-253.90,-360.57,-339.45
1771360191339,-131.72,-365.29,-370.86
1771360191380,-58.41,-368.12,-389.70
1771360191421,38.30,-369.81,-401.00
1771360191461,-125.97,-232.18,-407.79
1771360191504,-224.52,-149.60,-411.86
1771360191544,-283.66,-51.54,-414.30
1771360191585,-319.14,7.30,-415.76
1771360191626,-340.43,64.27,-202.35
1771360191667,-177.20,104.31,-89.78
1771360191708,-79.26,128.33,-22.24
1771360191749,-43.01,142.23,12.09
1771360191790,-44.64,148.00,25.86
1771360191831,-45.62,151.45,34.13
1771360191872,-71.77,148.22,29.66
1771360191913,-87.46,146.27,26.98
1771360191954,-117.90,114.24,-2.50
1771360191995,-139.58,43.92,-46.77
1771360192036,-152.58,1.73,-73.32
1771360192077,-142.46,-54.27,-109.71
