timestamp,x_uT,y_uT,z_uT
1772717307797,-84.09,4.36,42.35
1772717307837,-82.36,4.45,42.65
1772717307878,-82.36,4.45,42.65
1772717307919,-81.91,3.36,44.18
1772717307960,-85.36,5.27,42.55
1772717308001,-85.36,5.27,42.55
1772717308042,-81.45,4.73,42.45
1772717308083,-81.45,2.45,38.67
1772717308124,-81.18,2.45,38.67
1772717308165,-82.09,3.64,39.18
1772717308206,-82.09,3.64,39.18
1772717308247,-80.82,3.45,39.59
1772717308288,-77.27,3.91,37.14
1772717308329,-77.27,3.91,37.14
1772717308371,-78.82,3.64,37.96
1772717308412,-78.82,4,39.39
1772717308452,-78.55,4,39.39
1772717308493,-79.36,2.36,37.55
1772717308534,-79.36,2.36,37.55
1772717308575,-79,2.45,38.47
1772717308616,-79.36,0.73,39.8
1772717308658,-79.36,0.73,39.8
1772717308698,-77.27,1.64,38.27
1772717308739,-77.27,1.64,38.57
1772717308780,-79.91,1.64,38.57
1772717308822,-79.55,0.64,38.57
1772717308862,-79.55,0.64,38.57
1772717308903,-78.27,2.45,38.88
1772717308945,-76.64,1,37.76
1772717308985,-76.64,1,37.76
1772717309026,-77.64,2.36,38.78
1772717309067,-77.64,2.36,38.78
1772717309109,-77.64,2.36,38.78
1772717309149,-75.82,0.82,36.43
1772717309192,-75.82,0.82,36.43
1772717309231,-75,-0.27,35.1
1772717309272,-76.82,0.55,35.82
1772717309313,-76.82,0.55,35.82
1772717309354,-77.27,-0.27,34.69
1772717309395,-77.27,-0.27,34.69
1772717309436,-75.36,-0.09,34.49
1772717309477,-72.64,1,33.78
1772717309518,-72.64,1,33.78
1772717309559,-73.36,1.09,34.29
1772717309600,-74.73,0.27,33.98
1772717309642,-74.73,0.27,33.98
1772717309683,-76.36,1.45,34.18
1772717309724,-76.36,1.45,34.18
1772717309764,-76,-2.18,34.39
1772717309805,-76.82,-0.09,35.1
1772717309846,-76.82,-0.09,35.1
1772717309888,-76.09,0.09,35.71
1772717309928,-77.55,2.64,36.94
1772717309969,-77.55,2.64,36.94
1772717310011,-77,1.18,34.9
1772717310051,-77,1.18,34.9
1772717310092,-80.36,-1.55,36.43
1772717310133,-81.27,0.82,33.88
1772717310174,-81.27,0.82,33.88
1772717310215,-77.82,0.55,34.39
1772717310257,-77.73,1.91,34.08
1772717310297,-77.73,1.91,34.08
1772717310338,-77.55,0.82,32.96
1772717310379,-77.55,0.82,32.96
1772717310420,-76.64,1.45,33.98
1772717310461,-77,0.18,32.65
1772717310502,-77,0.18,32.65
1772717310543,-68.82,1.18,26.12
1772717310584,-53.82,-2,20.82
1772717310626,-53.82,-2,20.82
1772717310666,-46.55,-0.82,19.39
1772717310709,-46.55,-0.82,19.39
1772717310748,-44.18,-1,20.51
1772717310789,-48.27,-2,22.24
1772717310830,-48.27,-2,22.24
1772717310871,-49.18,-3.91,21.02
1772717310912,-54.18,-11.82,20.82
1772717310953,-54.18,-11.82,20.82
1772717310994,-55,-55.55,21.63
1772717311035,-55,-55.55,21.63
1772717311076,12.64,-105.55,42.35
1772717311117,63.18,-35.82,39.8
1772717311159,63.18,-35.82,39.8
1772717311200,56.27,10.45,25.2
1772717311241,81.36,39.55,31.33
1772717311281,81.36,39.55,31.33
1772717311322,140,123,88.37
1772717311363,140,123,88.37
1772717311404,72.36,-372.36,-417.96
1772717311445,-180,-372.36,-417.96
1772717311486,-180,-372.36,-417.96
1772717311527,-372.36,-372.36,-417.96
1772717311568,-372.36,8.82,19.18
1772717311609,-372.36,8.82,19.18
1772717311650,-66,-2,17.55
1772717311693,-66,-2,17.55
1772717311733,-60.36,-7.09,23.57
1772717311773,-67,-9,27.04
1772717311814,-67,-9,27.04
1772717311855,-68.91,-8.82,25.41
1772717311896,-69.82,-5.45,21.22
1772717311938,-69.82,-5.45,21.22
1772717311978,-65.55,-3.45,18.98
1772717312019,-65.55,-3.45,18.98
1772717312060,-62.09,-3.27,17.65
1772717312101,-57.73,-2.36,14.08
1772717312143,-57.73,-2.36,14.08
1772717312183,-59.36,-8.27,14.49
1772717312226,-59.18,-17,12.76
1772717312266,-59.18,-17,12.76
1772717312306,-54,-33.18,12.86
1772717312347,-54,-33.18,12.86
1772717312389,-47,-59.55,4.39
1772717312429,-10.45,-107.73,11.94
1772717312471,-10.45,-107.73,11.94
1772717312511,79.45,-129.18,36.22
1772717312552,156.45,-54.18,45.2
1772717312593,156.45,-54.18,45.2
1772717312634,138.82,48.73,34.59
1772717312676,138.82,48.73,34.59
1772717312717,89.45,102.09,24.59
1772717312759,35.36,140.27,12.14
1772717312798,35.36,140.27,12.14
1772717312839,-52.45,-372.36,-1.73
1772717312880,-141.91,-372.36,-33.16
1772717312921,-141.91,-372.36,-33.16
1772717312962,-89.36,38.18,-33.27
1772717313003,-89.36,38.18,-33.27
1772717313044,-81.36,23.27,-21.73
1772717313085,-98.91,19.64,-11.02
1772717313126,-98.91,19.64,-11.02
1772717313168,-106.45,16.36,-8.67
1772717313209,-100.27,13.73,-7.35
1772717313250,-100.27,13.73,-7.35
1772717313290,-91.73,12.91,-9.8
1772717313331,-91.73,12.91,-9.8
1772717313372,-85.09,12.45,-9.8
1772717313413,-83.73,14,-11.84
1772717313454,-83.73,14,-11.84
1772717313495,-79,11.18,-16.22
1772717313536,-78.45,7.09,-17.96
1772717313577,-78.45,7.09,-17.96
1772717313618,-88.73,-7.18,-21.94
1772717313659,-88.73,-7.18,-21.94
1772717313700,-118.73,-46.09,-19.29
1772717313743,-131.82,-129.82,0.2
1772717313783,-131.82,-129.82,0.2
1772717313824,-64.09,-372.36,67.86
