timestamp,x_uT,y_uT,z_uT
1771360453974,14.54,-151.05,-56.68
1771360454015,14.62,-153.87,-54.38
1771360454056,14.66,-155.56,-52.99
1771360454096,15.09,-158.17,-50.16
1771360454138,15.38,-161.74,-46.51
1771360454179,15.56,-163.88,-44.31
1771360454220,16.17,-164.58,-43.69
1771360454261,16.28,-165.81,-43.48
1771360454302,16.35,-166.54,-43.35
1771360454341,16.94,-169.74,-42.79
1771360454384,17.29,-171.67,-42.45
1771360454425,18.05,-251.94,-38.24
1771360454466,20.46,-300.11,-30.74
1771360454505,21.91,-329.01,-26.24
1771360454546,25.77,-346.35,-16.97
1771360454587,30.63,-356.75,-8.02
1771360454628,33.54,-363.00,-2.65
1771360454669,36.78,-366.74,2.04
1771360454710,38.72,-368.99,4.86
1771360454752,41.93,-370.34,1.08
1771360454792,36.83,-371.15,-5.76
1771360454833,33.77,-371.63,-9.86
1771360454874,25.32,-371.92,-22.49
1771360454915,20.10,-372.10,-34.96
1771360454958,16.97,-372.20,-42.45
1771360454997,18.54,-372.27,-51.30
1771360455040,19.49,-372.30,-56.62
1771360455081,15.95,-372.33,-61.15
1771360455126,14.59,-372.34,-63.30
1771360455163,13.77,-372.35,-64.59
1771360455204,13.50,-372.35,-63.00
1771360455245,12.72,-372.36,-59.06
1771360455286,12.25,-372.36,-56.70
1771360455326,11.93,-372.36,-51.78
1771360455367,11.74,-372.36,-48.82
1771360455408,9.88,-372.36,-43.83
1771360455450,9.86,-372.36,-47.24
1771360455491,9.84,-372.36,-49.28
1771360455531,5.40,-372.36,-59.32
1771360455573,0.37,-372.36,-69.63
1771360455615,-2.65,-372.36,-75.82
1771360455655,-5.41,-372.36,-81.78
1771360455696,-7.07,-372.36,-85.35
1771360455737,-8.20,-372.36,-84.84
1771360455776,-8.34,-372.36,-82.95
1771360455819,-8.43,-372.36,-81.81
1771360455860,-9.89,-372.36,-81.00
1771360455899,-11.43,-372.36,-80.81
1771360455942,-12.35,-372.36,-80.69
1771360455983,-14.46,-372.36,-79.80
1771360456024,-15.73,-372.36,-79.27
1771360456064,-17.08,-372.36,-76.95
1771360456105,-18.21,-372.36,-74.41
1771360456145,-18.89,-372.36,-72.89
1771360456188,-18.86,-372.36,-74.14
1771360456229,-19.46,-372.36,-73.79
1771360456270,-19.82,-372.36,-73.58
1771360456310,-21.13,-372.36,-73.05
1771360456352,-21.91,-372.36,-72.72
1771360456393,-23.80,-372.36,-71.96
1771360456434,-26.17,-372.36,-71.63
1771360456473,-27.60,-372.36,-71.42
1771360456516,-29.10,-372.36,-73.06
1771360456557,-28.99,-372.36,-72.24
1771360456596,-28.92,-372.36,-71.75
1771360456637,-28.62,-372.36,-69.38
1771360456678,-28.45,-372.36,-67.96
1771360456719,-27.29,-372.36,-66.20
1771360456760,-26.81,-372.36,-64.83
1771360456801,-26.52,-372.36,-64.00
1771360456844,-25.80,-372.36,-62.40
1771360456885,-25.19,-372.36,-59.89
1771360456926,-24.82,-372.36,-58.38
1771360456966,-24.39,-372.36,-56.21
1771360457007,-24.12,-372.36,-54.91
1771360457048,-23.93,-372.36,-53.03
1771360457090,-23.27,-372.36,-51.12
1771360457132,-22.87,-372.36,-49.98
1771360457170,-22.19,-372.36,-48.19
1771360457212,-20.84,-372.36,-44.47
1771360457254,-20.03,-372.36,-42.23
1771360457295,-20.46,-372.36,-38.77
1771360457336,-20.71,-372.36,-36.69
1771360457377,-19.73,-372.36,-34.38
1771360457418,-20.02,-372.36,-31.61
1771360457459,-20.19,-372.36,-29.95
1771360457500,-20.22,-372.36,-30.58
1771360457540,-22.43,-372.36,-33.00
1771360457581,-23.75,-372.36,-34.45
1771360457622,-25.19,-372.36,-37.65
1771360457664,-26.06,-372.36,-39.57
