timestamp,x_uT,y_uT,z_uT
1772540827797,32.36,-7.27,-136.12
1772540827837,32.36,-7.27,-136.12
1772540827879,31.45,-5.64,-136.73
1772540827919,31.73,-6.27,-136.33
1772540827961,31.73,-6.27,-136.33
1772540828002,33.27,-7,-136.12
1772540828042,33.27,-7,-136.12
1772540828083,30.73,-6.91,-137.14
1772540828124,31.55,-6.27,-136.53
1772540828165,31.55,-6.27,-136.53
1772540828206,30,-6.36,-136.73
1772540828249,31.18,-6.27,-136.33
1772540828288,31.18,-6.27,-136.33
1772540828329,30.91,-7,-137.24
1772540828370,30.91,-7,-137.24
1772540828411,32,-5.91,-134.69
1772540828452,32.09,-6.64,-136.33
1772540828494,32.09,-6.64,-136.33
1772540828535,31.36,-7,-135.51
1772540828576,31.36,-5.73,-136.02
1772540828616,31.36,-5.73,-136.02
1772540828657,31.73,-6.64,-136.12
1772540828698,31.73,-6.64,-136.12
1772540828739,31.73,-6.45,-135.61
1772540828782,31.45,-7.27,-136.12
1772540828821,31.45,-7.27,-136.12
1772540828862,31.45,-6.27,-135.92
1772540828903,31.36,-7.27,-136.94
1772540828944,31.36,-7.27,-136.94
1772540828985,31.91,-7.45,-135.61
1772540829027,31.91,-7.45,-135.61
1772540829067,31.91,-6.82,-136.02
1772540829109,30.18,-6.82,-135.92
1772540829149,30.18,-6.82,-135.92
1772540829190,30.36,-6.27,-135.92
1772540829231,32.36,-6.09,-136.84
1772540829272,32.36,-6.09,-136.84
1772540829313,31.91,-6.45,-136.53
1772540829354,31.91,-6.45,-136.53
1772540829395,32.18,-7.82,-137.24
1772540829436,31,-7.55,-136.84
1772540829477,31,-7.55,-136.84
1772540829518,32.64,-5.91,-136.43
1772540829559,31.36,-6.55,-136.43
1772540829600,31.36,-6.55,-136.43
1772540829641,31.82,-6.82,-136.73
1772540829682,31.82,-6.82,-136.73
1772540829724,32.36,-6.09,-136.22
1772540829764,32,-7.27,-137.24
1772540829806,32,-7.27,-137.24
1772540829847,31.91,-7.73,-134.8
1772540829888,31.18,-7.18,-137.14
1772540829929,31.18,-7.18,-137.14
1772540829969,32,-7.36,-135.51
1772540830011,32,-7.36,-135.51
1772540830051,31.55,-7.91,-136.33
1772540830093,31.73,-6.55,-136.53
1772540830134,31.73,-6.55,-136.53
1772540830174,32.36,-6.64,-136.63
1772540830216,32.36,-7.18,-135.1
1772540830257,31.73,-7.18,-135.1
1772540830297,31.36,-4.82,-136.33
1772540830339,31.36,-4.82,-136.33
1772540830379,32.18,-5.91,-136.02
1772540830420,32.27,-6,-135.2
1772540830461,32.27,-6,-135.2
1772540830502,32.18,-6.55,-135.92
1772540830544,32.18,-6.55,-135.92
1772540830584,31.73,-6.18,-135.92
1772540830626,32.09,-6.18,-135.61
1772540830666,32.09,-6.18,-135.61
1772540830708,31.82,-6.55,-135.82
1772540830749,31,-6.45,-136.53
1772540830789,31,-6.45,-136.53
1772540830830,32.45,-6.82,-139.29
1772540830871,32.45,-6.82,-139.29
1772540830912,32.27,-9.36,-142.45
1772540830954,30.82,-10.36,-150.61
1772540830995,30.82,-10.36,-150.61
1772540831036,29.18,-12.91,-162.04
1772540831076,29.27,-11.45,-171.94
1772540831117,29.27,-11.45,-171.94
1772540831158,25.09,-10.55,-194.59
1772540831199,25.09,-10.55,-194.59
1772540831240,20.36,-1.09,-417.96
1772540831282,16.09,23.36,-417.96
1772540831323,16.09,23.36,-417.96
1772540831364,15,59.91,-417.96
1772540831404,14.36,134.91,-417.96
1772540831445,14.36,134.91,-417.96
1772540831487,11,-372.36,-417.96
1772540831528,11,-372.36,-417.96
1772540831568,9.18,-372.36,-417.96
1772540831609,11.91,-372.36,-417.96
1772540831650,11.91,-372.36,-417.96
1772540831691,11.18,-372.36,-165.51
1772540831732,8.09,-372.36,-158.57
1772540831773,8.09,-372.36,-158.57
1772540831817,9.73,-372.36,-150.51
1772540831855,9.73,-372.36,-150.51
1772540831897,5.91,-372.36,-144.18
1772540831937,5.82,-372.36,-136.43
1772540831978,5.82,-372.36,-136.43
1772540832019,4.64,-372.36,-130.61
1772540832060,2.27,-372.36,-129.59
1772540832102,2.27,-372.36,-129.59
1772540832143,3.73,-372.36,-135.82
1772540832183,3.73,-372.36,-135.82
1772540832224,3.36,-372.36,-137.14
1772540832265,-1.27,-372.36,-158.16
1772540832306,-1.27,-372.36,-158.16
1772540832349,1.18,-372.36,-163.88
1772540832389,-3.82,-372.36,-166.84
1772540832429,-3.82,-372.36,-166.84
1772540832471,-1.36,-372.36,-174.8
1772540832512,-1.36,-372.36,-174.8
1772540832552,1.36,-372.36,-178.06
1772540832594,-3.36,-372.36,-192.55
1772540832635,-3.36,-372.36,-192.55
1772540832675,-0.36,-372.36,-196.53
1772540832716,-0.82,-372.36,-195.1
1772540832758,-0.82,-372.36,-195.1
1772540832798,2.18,-372.36,-417.96
1772540832839,2.18,-372.36,-417.96
1772540832883,5.27,-372.36,-417.96
1772540832921,13,-372.36,-417.96
1772540832962,13,-372.36,-417.96
1772540833004,50.27,-372.36,-417.96
1772540833045,58.82,30.45,-417.96
1772540833085,58.82,30.45,-417.96
1772540833127,50.18,-9.73,-417.96
1772540833167,50.18,-9.73,-417.96
1772540833209,41.27,-17.82,-417.96
1772540833249,38.91,-15.27,-150.41
1772540833290,38.91,-15.27,-150.41
1772540833331,36.64,-8.91,-136.02
1772540833373,36.64,-5.82,-127.55
1772540833414,36.64,-5.82,-127.55
1772540833454,36.36,-5.82,-128.37
1772540833496,36.36,-5.82,-128.37
1772540833536,36.36,-5.45,-129.08
1772540833577,36,-6.18,-129.08
1772540833618,36,-6.18,-129.08
1772540833660,36.27,-8,-127.96
1772540833700,37.36,-5.45,-128.16
1772540833742,37.36,-5.45,-128.16
1772540833783,35.55,-6.45,-128.47
1772540833823,35.55,-6.45,-128.47
1772540833864,36.36,-6.09,-127.45
1772540833905,35.55,-6.45,-129.69
1772540833947,35.55,-6.45,-129.69
1772540833988,35.27,-6.18,-129.39
1772540834029,36.55,-6.82,-128.57
1772540834069,36.55,-6.82,-128.57
1772540834111,36.27,-7.27,-129.8
1772540834151,36.27,-7.27,-129.8
1772540834192,36,-6.45,-130
1772540834233,37.36,-6.82,-128.78
1772540834275,37.36,-6.82,-128.78
1772540834316,36.36,-6,-128.47
1772540834357,36.64,-6.91,-128.57
1772540834397,36.64,-6.91,-128.57
1772540834438,35.82,-5.82,-129.29
1772540834480,35.82,-5.82,-129.29
1772540834520,36.45,-5.36,-129.18
1772540834561,36.91,-5.73,-128.67
1772540834602,36.91,-5.73,-128.67
1772540834644,36,-6.82,-129.69
1772540834684,36.64,-5.82,-127.55
1772540834725,36.64,-5.82,-127.55
1772540834767,37.55,-5.73,-127.55
1772540834807,37.55,-5.73,-127.55
1772540834849,37,-6.82,-129.08
1772540834889,35.82,-5.73,-129.29
