timestamp,x_uT,y_uT,z_uT
1772541400242,34.91,-41.91,15.61
1772541400280,34.91,-41.91,15.61
1772541400321,33.55,-43.09,15.41
1772541400362,33.55,-43.09,15.41
1772541400404,35.36,-40.82,15.31
1772541400445,35.91,-42.82,15.41
1772541400485,35.91,-42.82,15.41
1772541400526,34.36,-41.55,16.22
1772541400567,34.55,-43.64,16.02
1772541400608,34.55,-43.64,16.02
1772541400649,34.91,-42.09,15.82
1772541400690,34.91,-42.09,15.82
1772541400731,34.73,-42.64,15.1
1772541400772,34.55,-41.36,16.12
1772541400813,34.55,-41.36,16.12
1772541400854,33.64,-42.27,16.33
1772541400895,34.91,-42.73,16.22
1772541400937,34.91,-42.73,16.22
1772541400977,33.82,-41.55,15.92
1772541401018,33.82,-41.55,15.92
1772541401059,34.27,-41.27,17.24
1772541401100,35.55,-42.18,16.43
1772541401141,35.55,-42.18,16.43
1772541401182,34.55,-41.27,16.22
1772541401223,34.64,-42.55,14.9
1772541401264,34.64,-42.55,14.9
1772541401305,33.82,-42.45,15.82
1772541401346,33.82,-42.45,15.82
1772541401387,34,-41.73,15.92
1772541401428,34.45,-40.55,15.82
1772541401470,34.45,-40.55,15.82
1772541401511,35.45,-41.36,16.43
1772541401551,35.45,-41.36,15.41
1772541401592,34.73,-41.36,15.41
1772541401633,33.82,-41.91,16.33
1772541401674,33.82,-41.91,16.33
1772541401715,35.91,-41.82,16.02
1772541401756,35.18,-42.36,16.02
1772541401797,35.18,-42.36,16.02
1772541401838,35.82,-41.64,15.92
1772541401879,35.82,-41.64,15.92
1772541401920,35.82,-41.64,15.92
1772541401961,34.27,-42.73,16.73
1772541402002,34.27,-42.73,16.73
1772541402043,33,-41.82,16.22
1772541402084,35,-42.18,15.61
1772541402125,35,-42.18,15.61
1772541402166,34.27,-41.82,16.43
1772541402207,34.27,-41.82,16.43
1772541402248,34.27,-41.82,16.43
1772541402289,34.45,-40.73,16.33
1772541402330,34.45,-40.73,16.33
1772541402371,35.09,-42.45,16.33
1772541402413,35.73,-43.09,16.12
1772541402453,35.73,-43.09,16.12
1772541402494,34.09,-41.73,16.43
1772541402537,34.09,-41.73,16.43
1772541402576,34.18,-42.45,16.22
1772541402617,34.82,-43.27,16.33
1772541402658,34.82,-43.27,16.33
1772541402699,36.73,-41.82,16.33
1772541402740,34.27,-42.18,16.53
1772541402781,34.27,-42.18,16.53
1772541402822,34.82,-42.27,16.43
1772541402863,34.82,-42.27,16.43
1772541402904,35.09,-42.82,16.33
1772541402945,35.73,-42.36,16.63
1772541402986,35.73,-42.36,16.63
1772541403027,35.27,-42.36,15
1772541403069,35.45,-42.09,16.63
1772541403109,35.45,-42.09,16.63
1772541403150,35.09,-41.27,16.53
1772541403191,35.09,-41.27,16.53
1772541403232,34.64,-42.18,16.84
1772541403273,34.91,-42.91,17.24
1772541403314,34.91,-42.91,17.24
1772541403355,35.64,-42,16.63
1772541403396,35.45,-42.36,16.94
1772541403437,35.45,-42.36,16.94
1772541403478,36.91,-43.18,17.96
1772541403519,36.91,-43.18,17.96
1772541403560,34.82,-43.09,21.22
1772541403601,35.09,-45.91,27.96
1772541403642,35.09,-45.91,27.96
1772541403683,35.64,-49.27,40.82
1772541403724,34.27,-56.27,71.94
1772541403765,34.27,-56.27,71.94
1772541403806,30.27,-75.36,150.2
1772541403847,30.27,-75.36,150.2
1772541403888,2.64,-118.09,-417.96
1772541403929,-177.55,-168,-417.96
