timestamp,x_uT,y_uT,z_uT
1771360153044,27.28,-22.50,-45.44
1771360153087,27.31,-21.94,-44.93
1771360153128,27.33,-21.60,-44.63
1771360153169,27.96,-22.12,-45.31
1771360153210,27.80,-22.65,-45.63
1771360153251,27.70,-22.97,-45.83
1771360153292,27.46,-22.80,-45.54
1771360153333,27.31,-22.70,-45.36
1771360153373,27.41,-22.42,-45.09
1771360153415,28.15,-22.32,-45.50
1771360153456,28.60,-22.27,-45.75
1771360153497,27.92,-22.63,-45.86
1771360153538,27.81,-22.82,-45.64
1771360153579,27.74,-22.93,-45.51
1771360153620,27.88,-22.52,-45.59
1771360153661,27.96,-22.28,-45.64
1771360153702,27.83,-21.87,-45.46
1771360153743,27.28,-21.78,-46.09
1771360153784,26.95,-21.72,-46.47
1771360153825,27.04,-22.56,-45.92
1771360153868,27.82,-22.70,-46.00
1771360153907,28.29,-22.78,-46.05
1771360153948,27.88,-22.47,-46.12
1771360153989,27.64,-22.28,-46.16
1771360154030,27.86,-22.28,-46.18
1771360154071,28.21,-22.24,-45.95
1771360154112,28.42,-22.22,-45.82
1771360154153,28.69,-22.39,-45.57
1771360154194,28.34,-22.49,-45.34
1771360154235,28.13,-22.55,-45.21
1771360154274,27.90,-22.80,-45.45
1771360154317,27.76,-22.95,-45.60
1771360154358,27.82,-22.46,-45.52
1771360154399,27.35,-22.24,-45.44
1771360154440,27.06,-22.11,-45.39
1771360154481,27.18,-22.10,-45.31
1771360154522,27.95,-21.80,-45.64
1771360154563,28.40,-21.63,-45.83
1771360154604,28.13,-22.21,-45.70
1771360154645,27.97,-22.56,-45.62
1771360154686,27.69,-22.63,-45.58
1771360154725,27.38,-22.81,-45.51
1771360154768,27.19,-22.92,-45.47
1771360154809,26.71,-22.66,-46.34
1771360154854,27.63,-22.73,-46.13
1771360154889,28.18,-22.76,-46.01
1771360154932,28.29,-22.82,-46.22
1771360154973,28.35,-22.86,-46.34
1771360155014,28.47,-22.88,-46.29
1771360155055,28.32,-23.22,-46.31
1771360155096,28.23,-23.42,-46.32
1771360155137,28.46,-23.69,-46.40
1771360155178,28.46,-23.16,-45.97
1771360155219,28.45,-22.84,-45.70
1771360155260,28.38,-23.05,-45.83
1771360155301,28.34,-23.17,-45.91
1771360155341,28.24,-23.80,-45.99
1771360155383,28.69,-22.64,-45.92
1771360155424,28.96,-21.95,-45.88
1771360155465,28.03,-21.93,-45.98
1771360155506,27.62,-21.85,-45.91
1771360155547,27.37,-21.80,-45.88
1771360155588,28.06,-22.68,-46.10
1771360155629,28.47,-23.21,-46.23
1771360155670,27.95,-22.87,-46.51
1771360155711,28.30,-22.67,-46.64
1771360155750,28.51,-22.54,-46.72
1771360155793,28.85,-22.40,-47.09
1771360155834,28.51,-23.00,-47.11
1771360155875,28.31,-23.37,-47.12
1771360155916,28.98,-23.84,-47.58
1771360155957,29.39,-24.12,-47.86
1771360155998,29.93,-24.33,-47.73
1771360156039,30.36,-23.94,-47.46
1771360156080,30.61,-23.71,-47.29
1771360156121,30.62,-23.57,-47.43
1771360156162,30.41,-23.60,-47.52
1771360156203,30.28,-23.61,-47.57
1771360156244,30.86,-23.91,-47.52
1771360156285,31.21,-24.09,-47.49
1771360156326,31.27,-24.60,-47.80
1771360156367,32.14,-24.83,-48.19
1771360156408,32.66,-24.97,-48.43
1771360156449,33.38,-25.93,-48.20
1771360156491,34.65,-25.78,-49.00
1771360156531,35.41,-25.69,-49.48
1771360156572,36.41,-26.54,-49.36
1771360156613,37.01,-27.05,-49.29
1771360156654,38.75,-27.39,-49.49
1771360156695,40.49,-28.47,-50.31
1771360156736,41.53,-29.12,-50.80
1771360156777,43.72,-30.16,-51.70
1771360156818,47.47,-31.15,-52.69
1771360156858,49.72,-31.75,-53.29
1771360156900,52.77,-32.69,-54.18
1771360156941,54.61,-33.25,-54.71
1771360156982,57.24,-34.82,-56.09
1771360157023,64.34,-37.44,-57.94
1771360157063,68.61,-39.01,-59.05
1771360157105,75.02,-43.08,-61.59
1771360157146,85.67,-47.55,-65.28
1771360157185,92.06,-50.24,-67.50
1771360157226,104.69,-56.98,-72.25
1771360157267,112.27,-61.02,-75.11
1771360157308,129.22,-69.92,-82.01
1771360157349,-71.41,-82.13,-93.12
1771360157390,-191.79,-89.46,-99.79
1771360157431,-264.02,-101.57,-113.02
1771360157472,-307.36,-120.98,-136.30
1771360157513,-333.36,-132.62,-150.27
1771360157556,-348.96,-228.52,-257.34
1771360157597,-358.32,-286.05,-321.59
1771360157638,-363.94,-320.58,-360.14
1771360157679,-367.31,-341.29,-383.27
1771360157720,-369.33,-353.72,-397.14
1771360157761,-370.54,-212.12,-405.47
1771360157802,-230.18,-127.38,-410.47
1771360157843,-145.96,-76.54,-413.46
1771360157884,-89.51,-45.96,-415.26
1771360157925,-55.63,-27.61,-416.34
1771360157966,-29.31,-5.51,-221.72
1771360158007,-11.80,14.40,-118.05
1771360158048,-1.30,26.35,-55.85
1771360158089,4.38,32.35,-21.18
1771360158130,8.99,40.72,4.92
1771360158171,11.76,45.74,20.59
1771360158212,15.02,45.44,31.25
1771360158253,16.98,45.27,37.64
1771360158294,18.37,50.43,37.73
1771360158333,18.76,52.62,36.64
1771360158376,19.00,53.94,35.98
1771360158417,17.98,54.83,33.18
1771360158458,16.93,51.04,34.11
1771360158499,16.30,48.77,34.67
1771360158540,14.84,48.64,24.56
1771360158581,13.96,48.57,18.49
1771360158622,14.78,48.41,30.97
1771360158663,15.63,49.74,40.99
1771360158704,16.14,50.54,47.00
1771360158745,15.50,42.21,50.89
1771360158786,14.87,35.73,53.96
1771360158827,14.48,31.84,55.81
1771360158868,13.27,26.77,30.50
1771360158909,12.54,23.74,15.32
1771360158950,12.00,26.06,39.32
1771360158991,11.34,29.75,27.06
1771360159032,10.95,31.96,19.70
1771360159072,9.11,29.83,-155.36
1771360159114,6.12,19.53,-260.40
1771360159155,4.33,13.36,-323.42
1771360159195,3.03,10.31,-361.24
1771360159237,2.26,8.48,-383.93
1771360159278,1.17,8.25,-397.54
1771360159319,1.94,6.99,-405.71
1771360159361,2.40,6.23,-410.61
1771360159401,-1.18,3.92,-413.55
1771360159442,-12.85,2.75,-415.31
1771360159483,-19.86,2.05,-416.37
1771360159524,-160.86,-147.71,-417.01
1771360159565,-245.46,-237.57,-417.39
1771360159606,-296.22,-291.49,-417.62
1771360159647,-326.68,-203.91,-290.49
1771360159688,-344.95,-151.37,-214.21
1771360159729,-176.03,-108.75,-157.14
1771360159770,-85.65,-78.74,-117.10
1771360159811,-31.43,-60.74,-93.08
1771360159852,-3.91,-47.46,-76.66
1771360159893,12.60,-39.50,-66.81
1771360159934,21.38,-34.57,-59.56
1771360159975,25.12,-30.81,-55.69
1771360160017,27.36,-28.56,-53.38
1771360160057,28.85,-27.21,-51.33
1771360160098,29.31,-25.20,-50.15
1771360160139,29.59,-23.99,-49.44
1771360160180,30.26,-23.77,-48.52
1771360160220,30.66,-23.64,-47.97
1771360160262,29.53,-23.31,-47.96
1771360160303,29.46,-23.92,-48.00
1771360160343,29.42,-24.28,-48.03
1771360160385,28.09,-24.27,-48.28
1771360160426,28.20,-24.09,-47.62
1771360160467,28.26,-23.98,-47.23
1771360160508,28.56,-23.63,-47.19
1771360160549,28.73,-23.41,-47.17
1771360160589,27.60,-23.14,-47.85
1771360160631,27.54,-23.38,-47.53
1771360160671,27.51,-23.52,-47.33
1771360160712,27.48,-23.24,-47.30
1771360160754,28.23,-23.94,-47.32
1771360160795,28.68,-24.37,-47.33
1771360160835,27.87,-24.22,-47.29
1771360160876,27.38,-24.13,-47.27
1771360160918,27.81,-23.17,-47.22
1771360160959,27.41,-23.25,-47.23
1771360161001,27.17,-23.29,-47.23
1771360161041,27.54,-23.00,-47.28
1771360161082,27.36,-23.36,-47.26
1771360161123,27.25,-23.58,-47.25
1771360161164,27.44,-23.35,-47.17
1771360161205,27.56,-23.21,-47.12
1771360161246,27.66,-23.09,-47.29
1771360161287,27.62,-23.42,-47.23
1771360161328,27.59,-23.61,-47.19
1771360161369,27.50,-23.70,-46.97
1771360161410,27.52,-23.53,-46.92
1771360161450,27.53,-23.42,-46.89
1771360161492,27.90,-23.00,-46.82
1771360161533,28.12,-22.74,-46.79
1771360161574,28.22,-22.85,-47.05
1771360161615,28.60,-23.05,-46.84
1771360161656,28.83,-23.17,-46.72
1771360161697,28.83,-23.14,-46.85
1771360161738,28.46,-23.12,-46.52
1771360161779,28.24,-23.11,-46.32
1771360161820,27.92,-23.10,-46.44
1771360161861,27.73,-23.10,-46.52
1771360161902,27.91,-22.62,-46.65
