timestamp,x_uT,y_uT,z_uT
1772541291758,31.45,-53.73,-133.98
1772541291794,29.73,-52.55,-132.65
1772541291835,30.91,-52.82,-133.16
1772541291876,30.91,-52.82,-133.16
1772541291917,31.91,-52.82,-133.27
1772541291958,31.91,-55.18,-132.86
1772541291999,31.91,-55.18,-132.86
1772541292040,31.82,-52.18,-133.16
1772541292081,31.82,-52.18,-133.16
1772541292122,31.91,-53.73,-133.16
1772541292163,32.27,-53.64,-132.04
1772541292204,32.27,-53.64,-132.04
1772541292245,32.45,-53.55,-132.35
1772541292286,33.55,-55.09,-132.14
1772541292327,33.55,-55.09,-132.14
1772541292368,32.64,-54.27,-132.24
1772541292409,32.64,-54.27,-132.24
1772541292450,33.45,-55,-130.92
1772541292491,33.45,-53.09,-132.14
1772541292532,33.45,-53.09,-132.14
1772541292573,33.09,-52.91,-131.84
1772541292614,33.09,-51.18,-132.45
1772541292655,33.09,-51.18,-132.45
1772541292696,32.45,-53,-132.14
1772541292737,32.45,-53,-132.14
1772541292778,31.27,-52.55,-132.24
1772541292819,32.45,-51.64,-130.82
1772541292860,32.45,-51.64,-130.82
1772541292901,32.27,-53.09,-130.1
1772541292942,32.45,-54.64,-131.84
1772541292983,32.45,-54.64,-131.84
1772541293024,33.09,-51.82,-131.53
1772541293066,33.09,-51.82,-131.53
1772541293106,33.27,-54.27,-130.71
1772541293147,33.73,-55.09,-131.22
1772541293188,33.73,-55.09,-131.22
1772541293229,33.09,-53.91,-130.71
1772541293270,33.18,-54.27,-130
1772541293311,33.18,-54.27,-130
1772541293352,34.36,-55.36,-130.92
1772541293393,34.36,-55.36,-130.92
1772541293434,32.82,-54.45,-130.61
1772541293475,33.27,-53.55,-132.14
1772541293516,33.27,-53.55,-132.14
1772541293557,33.73,-54.64,-131.22
1772541293598,33.36,-55.09,-130.82
1772541293639,33.36,-55.09,-130.82
1772541293680,35.09,-53.82,-130.1
1772541293721,35.09,-53.82,-130.1
1772541293762,32.73,-54.55,-130
1772541293803,34.73,-56,-130.51
1772541293844,34.73,-56,-130.51
1772541293886,34.36,-54.36,-130.82
1772541293926,35.45,-56.64,-130.61
1772541293967,35.45,-56.64,-130.61
1772541294008,33.91,-54.91,-130.61
1772541294049,33.91,-54.91,-130.61
1772541294090,34,-53.73,-131.33
1772541294131,29.36,-50.55,-134.29
1772541294172,29.36,-50.55,-134.29
1772541294213,25.45,-44.91,-136.43
1772541294254,25.45,-38.55,-138.88
1772541294295,20.27,-38.55,-138.88
1772541294336,17.18,-36.82,-138.98
