timestamp,x_uT,y_uT,z_uT
1771360397869,33.85,-21.76,-63.83
1771360397910,33.69,-21.13,-63.85
1771360397951,33.59,-20.75,-63.86
1771360397992,33.98,-20.99,-64.03
1771360398032,34.21,-21.14,-64.14
1771360398074,34.16,-20.76,-64.03
1771360398115,34.68,-21.18,-64.05
1771360398156,34.99,-21.44,-64.06
1771360398197,34.52,-21.52,-64.03
1771360398238,33.95,-20.87,-63.60
1771360398280,33.60,-20.49,-63.35
1771360398319,33.87,-20.22,-63.32
1771360398361,34.03,-20.06,-63.30
1771360398402,34.53,-19.64,-63.16
1771360398443,35.44,-20.55,-63.08
1771360398484,35.99,-21.09,-63.03
1771360398525,35.70,-21.02,-62.88
1771360398567,34.95,-20.50,-62.79
1771360398607,34.50,-20.19,-62.73
1771360398648,34.59,-19.72,-62.66
1771360398690,34.65,-19.43,-62.62
1771360398730,35.12,-19.48,-62.47
1771360398771,34.78,-20.38,-61.64
1771360398812,34.57,-20.92,-61.15
1771360398854,33.98,-20.92,-61.34
1771360398894,33.84,-21.02,-61.58
1771360398935,33.76,-21.08,-61.72
1771360398975,33.53,-20.98,-61.69
1771360399017,33.39,-20.92,-61.66
1771360399058,33.71,-20.62,-61.85
1771360399098,33.82,-20.74,-61.80
1771360399140,33.89,-20.81,-61.77
1771360399182,33.43,-21.21,-61.96
1771360399222,33.00,-21.63,-62.16
1771360399263,32.74,-21.89,-62.27
1771360399304,31.68,-21.83,-61.69
1771360399345,31.05,-21.79,-61.34
1771360399387,31.43,-21.51,-61.13
1771360399427,31.88,-21.56,-61.42
1771360399468,32.15,-21.59,-61.59
1771360399509,31.87,-22.26,-60.67
1771360399550,32.36,-22.99,-60.03
1771360399591,32.65,-23.43,-59.65
1771360399632,32.43,-23.80,-57.79
1771360399672,32.29,-24.03,-56.67
1771360399715,30.83,-26.27,-52.33
1771360399755,24.57,-28.27,-34.58
1771360399796,20.81,-29.47,-23.93
1771360399837,-0.24,12.39,24.21
1771360399879,-3.78,38.89,-30.58
1771360399919,-5.90,54.79,-63.45
1771360399960,6.39,42.55,-74.44
1771360400001,13.76,35.20,-81.03
1771360400042,25.09,22.90,-78.66
1771360400083,31.82,9.27,-75.64
1771360400124,35.86,1.09,-73.83
1771360400165,37.08,-6.40,-72.58
1771360400206,37.05,-12.17,-70.94
1771360400249,37.03,-15.63,-69.95
1771360400289,36.54,-18.07,-69.73
1771360400329,36.25,-19.53,-69.59
1771360400370,35.90,-20.01,-69.14
1771360400411,35.50,-20.23,-69.28
1771360400452,35.27,-20.36,-69.37
1771360400493,35.92,-20.61,-69.34
1771360400534,35.85,-20.40,-69.15
1771360400575,35.80,-20.28,-69.04
1771360400617,34.94,-20.06,-69.18
1771360400656,34.42,-19.93,-69.27
1771360400698,34.65,-20.61,-68.91
1771360400739,34.83,-20.15,-69.18
1771360400781,34.93,-19.87,-69.34
1771360400821,34.92,-20.14,-68.99
1771360400862,34.59,-20.34,-68.50
1771360400902,34.39,-20.46,-68.20
1771360400944,34.34,-20.68,-68.07
1771360400985,34.31,-20.81,-67.98
1771360401027,33.64,-20.56,-68.38
1771360401067,33.86,-20.88,-68.46
1771360401108,33.99,-21.07,-68.50
1771360401148,33.74,-21.84,-66.90
1771360401190,33.30,-24.05,-64.51
1771360401231,33.03,-25.37,-63.07
1771360401272,31.13,-27.80,-61.97
1771360401314,29.99,-29.26,-61.30
1771360401354,27.48,-32.39,-61.03
1771360401396,20.93,-37.04,-56.29
1771360401438,16.99,-39.82,-53.44
1771360401477,0.96,-44.33,-23.49
1771360401518,-15.75,5.80,28.23
1771360401559,-25.78,35.88,59.27
1771360401600,-16.60,62.44,13.40
1771360401641,-11.09,78.37,-14.13
1771360401682,4.51,63.79,-34.31
1771360401723,20.67,43.80,-43.81
1771360401764,30.37,31.81,-49.51
1771360401805,35.31,15.41,-54.69
1771360401846,37.01,1.90,-59.34
1771360401887,38.02,-6.20,-62.14
1771360401929,37.61,-11.76,-64.51
1771360401970,37.37,-15.09,-65.93
1771360402011,36.42,-18.00,-67.27
1771360402051,35.27,-20.07,-68.24
1771360402093,34.58,-21.31,-68.82
1771360402134,35.22,-22.06,-68.96
1771360402174,34.26,-23.38,-68.85
1771360402215,33.68,-24.17,-68.78
1771360402257,33.77,-23.16,-69.10
1771360402297,33.83,-22.55,-69.30
1771360402338,34.37,-22.66,-68.60
1771360402379,34.22,-22.43,-68.30
1771360402420,34.13,-22.29,-68.13
1771360402461,34.22,-22.43,-67.00
1771360402502,33.59,-21.53,-67.02
1771360402543,33.21,-20.99,-67.03
1771360402583,33.13,-21.29,-67.20
1771360402625,33.08,-21.46,-67.30
1771360402666,33.48,-22.11,-67.23
1771360402707,34.05,-21.52,-66.71
1771360402748,34.40,-21.17,-66.39
1771360402789,34.57,-21.94,-66.20
1771360402830,34.88,-22.54,-66.17
1771360402871,35.07,-22.91,-66.15
1771360402912,33.59,-22.84,-65.24
1771360402953,32.70,-22.79,-64.70
1771360402994,32.38,-24.04,-64.25
1771360403035,30.49,-26.39,-62.79
1771360403076,29.35,-27.80,-61.92
1771360403117,26.77,-31.08,-62.74
1771360403158,23.16,-34.25,-59.48
1771360403199,20.99,-36.15,-57.53
1771360403240,5.06,-42.82,-40.11
1771360403282,-4.49,-46.82,-29.66
1771360403322,-49.27,-23.43,47.51
1771360403363,-44.29,-163.00,60.55
1771360403404,-41.30,-246.75,68.37
1771360403446,-9.22,-296.99,36.29
1771360403485,21.81,-167.83,11.53
1771360403527,40.43,-90.33,-3.33
1771360403568,49.24,-58.82,-20.81
1771360403609,54.52,-39.91,-31.30
1771360403650,52.02,-33.40,-44.05
1771360403691,46.85,-31.13,-53.86
1771360403732,43.75,-29.77,-59.74
1771360403773,41.41,-28.81,-64.90
1771360403814,38.52,-28.34,-68.33
1771360403855,36.78,-28.06,-70.39
1771360403896,35.49,-28.14,-71.29
1771360403937,34.71,-28.19,-71.84
1771360403978,34.57,-28.44,-72.45
1771360404018,34.60,-28.52,-72.41
1771360404059,34.62,-28.57,-72.39
1771360404100,34.37,-28.45,-72.12
1771360404141,34.91,-28.23,-71.93
1771360404182,35.24,-28.10,-71.81
1771360404224,34.49,-28.35,-71.82
1771360404265,34.04,-28.50,-71.83
1771360404306,34.13,-28.05,-71.87
1771360404347,33.90,-27.81,-71.53
1771360404388,33.76,-27.66,-71.33
1771360404429,33.96,-27.18,-71.86
1771360404470,34.41,-27.36,-71.65
1771360404512,34.68,-27.47,-71.52
1771360404552,33.47,-26.81,-70.99
1771360404594,32.74,-26.42,-70.68
1771360404634,33.39,-26.72,-70.45
1771360404675,33.01,-27.27,-70.68
1771360404716,32.79,-27.60,-70.81
1771360404757,32.98,-27.94,-70.24
1771360404798,32.52,-28.51,-69.41
1771360404839,32.24,-28.85,-68.91
1771360404880,31.01,-30.04,-68.20
1771360404921,30.28,-30.75,-67.78
1771360404962,27.88,-33.51,-66.13
1771360405003,24.55,-39.08,-62.74
1771360405043,22.55,-42.43,-60.70
1771360405085,8.47,-55.75,-46.14
1771360405126,-48.01,-61.27,-194.87
1771360405167,-81.90,-64.58,-284.10
1771360405208,-94.37,-187.69,-337.65
1771360405249,-101.86,-261.56,-369.77
1771360405290,-52.61,-305.88,-389.05
1771360405331,-6.22,-169.49,-238.98
1771360405372,21.61,-87.66,-148.94
1771360405413,36.46,-57.29,-106.67
1771360405454,40.24,-44.48,-88.74
1771360405495,42.51,-36.80,-77.98
1771360405536,41.47,-34.22,-74.66
1771360405576,40.85,-32.68,-72.67
1771360405618,39.27,-30.08,-72.18
1771360405659,37.63,-29.79,-72.29
1771360405700,36.65,-29.62,-72.35
1771360405741,36.17,-29.41,-72.72
1771360405782,35.63,-28.66,-72.98
1771360405823,35.31,-28.22,-73.14
1771360405864,35.26,-29.11,-72.62
1771360405905,35.23,-29.65,-72.31
1771360405946,35.72,-29.17,-72.12
1771360405987,35.29,-29.39,-72.17
1771360406028,35.03,-29.53,-72.20
1771360406069,35.20,-29.24,-72.13
1771360406110,35.26,-29.07,-72.06
1771360406151,35.30,-28.97,-72.01
1771360406192,35.29,-28.55,-71.29
1771360406233,35.28,-28.29,-70.85
1771360406274,34.80,-28.87,-71.25
1771360406315,34.81,-29.10,-71.24
1771360406356,34.81,-29.24,-71.23
1771360406397,34.63,-28.96,-70.94
1771360406438,34.85,-28.98,-71.38
1771360406479,34.98,-28.99,-71.64
1771360406520,34.59,-29.14,-71.56
1771360406561,34.35,-29.23,-71.51
1771360406601,34.28,-29.32,-71.44
1771360406643,33.63,-29.73,-71.27
1771360406684,33.23,-29.98,-71.17
1771360406725,32.27,-30.68,-70.21
1771360406766,31.10,-31.35,-69.44
1771360406807,30.41,-31.76,-68.97
1771360406848,28.06,-33.78,-67.99
1771360406889,26.66,-35.00,-67.41
1771360406930,23.92,-36.38,-65.10
1771360406971,18.57,-37.35,-60.41
1771360407012,15.36,-37.94,-57.59
1771360407052,5.73,-37.46,-46.15
1771360407094,-9.11,-20.44,-14.63
1771360407135,-18.01,-10.23,4.28
1771360407176,-19.57,24.81,6.29
1771360407217,-20.51,45.83,7.49
1771360407258,-12.20,45.57,-22.90
1771360407299,3.30,38.65,-40.39
1771360407340,12.60,34.50,-50.89
1771360407381,25.02,25.03,-56.57
1771360407421,32.54,11.24,-60.39
1771360407463,37.05,2.96,-62.68
1771360407504,39.14,-5.50,-64.71
1771360407545,40.39,-10.57,-65.93
1771360407586,39.54,-15.83,-67.44
1771360407625,38.56,-19.79,-68.50
1771360407668,37.97,-22.17,-69.14
1771360407709,36.96,-23.74,-69.56
1771360407750,36.36,-25.37,-70.11
1771360407791,35.99,-26.35,-70.43
1771360407832,36.29,-27.08,-70.22
1771360407873,36.47,-27.52,-70.09
1771360407914,35.99,-27.53,-70.18
1771360407955,36.61,-27.10,-69.78
1771360407996,36.99,-26.84,-69.54
1771360408037,36.45,-26.90,-69.32
1771360408077,36.53,-27.45,-69.02
1771360408119,36.57,-27.78,-68.84
1771360408160,36.34,-28.12,-68.69
1771360408201,36.21,-28.33,-68.60
