timestamp,x_uT,y_uT,z_uT
1772541580598,55.27,-48.18,-417.96
1772541580643,54,-48.27,-417.96
1772541580681,54,-48.27,-417.96
1772541580721,49.64,-49.45,-417.96
1772541580762,46.45,-47.64,-417.96
1772541580805,46.45,-47.64,-417.96
1772541580845,46.55,-47.45,-417.96
1772541580886,46.55,-47.45,-417.96
1772541580926,44.45,-49.45,-417.96
1772541580967,44.91,-49,-417.96
1772541581008,44.91,-49,-417.96
1772541581049,43,-46.82,-417.96
1772541581090,41.64,-47.18,-417.96
1772541581131,41.64,-47.18,-417.96
1772541581172,39.36,-47,-417.96
1772541581213,39.36,-47,-417.96
1772541581254,41.64,-47.45,-417.96
1772541581295,42,-44.82,-417.96
1772541581337,42,-44.82,-417.96
1772541581378,40.73,-44.45,-417.96
1772541581419,43.36,-44.73,-417.96
1772541581459,43.36,-44.73,-417.96
1772541581500,46.09,-44.36,-417.96
1772541581541,46.09,-44.36,-417.96
1772541581582,46.36,-44.73,-417.96
1772541581623,47.55,-45,-417.96
1772541581664,47.55,-45,-417.96
1772541581705,49.55,-46.55,-417.96
1772541581746,52.55,-47.27,-417.96
1772541581787,52.55,-47.27,-417.96
1772541581828,54.64,-49.55,-417.96
1772541581870,54.64,-49.55,-417.96
1772541581910,55.09,-51.27,-417.96
1772541581951,53.91,-50.82,-417.96
1772541581992,53.91,-50.82,-417.96
1772541582033,55.09,-51.36,-417.96
1772541582074,49.64,-49,-417.96
1772541582116,49.64,-49,-417.96
1772541582156,45.36,-47.09,-417.96
1772541582197,45.36,-47.09,-417.96
1772541582238,46.64,-48.64,-417.96
1772541582279,66.64,-66.36,-417.96
1772541582320,66.64,-66.36,-417.96
1772541582361,90.91,-86.91,-417.96
1772541582402,140.09,-134.27,-417.96
1772541582443,140.09,-134.27,-417.96
1772541582484,168.91,-170.36,-417.96
1772541582525,168.91,-170.36,-417.96
1772541582566,149.09,-154.91,-417.96
1772541582607,-19.09,8.91,-417.96
1772541582648,-19.09,8.91,-417.96
1772541582689,-30.09,11.82,-417.96
1772541582730,-24.82,14.36,171.73
1772541582771,-24.82,14.36,171.73
1772541582813,19.82,-14.45,-417.96
1772541582853,19.82,-14.45,-417.96
1772541582894,-13.82,6,-417.96
1772541582935,-0.55,-3.27,-417.96
1772541582976,-0.55,-3.27,-417.96
1772541583018,36.91,-29.91,-417.96
1772541583058,66.82,-62.55,-417.96
1772541583099,66.82,-62.55,-417.96
1772541583140,35.36,-52.09,-417.96
1772541583181,35.36,-52.09,-417.96
1772541583222,-53.82,12.91,-417.96
1772541583263,-0.91,-12.64,-417.96
1772541583304,-0.91,-12.64,-417.96
1772541583345,93.18,-108.36,158.27
1772541583386,52.09,-71.64,202.35
1772541583427,52.09,-71.64,202.35
1772541583468,-54.27,8.91,192.04
1772541583509,-54.27,8.91,192.04
1772541583550,15,-40.91,-417.96
1772541583591,68.09,-96.36,-417.96
1772541583632,68.09,-96.36,-417.96
1772541583674,-21.55,-4.18,167.55
1772541583714,-4.73,-4.82,-417.96
1772541583755,-28,-4.82,-417.96
1772541583796,73.45,-114.91,-417.96
1772541583837,73.45,-114.91,-417.96
1772541583878,21.09,-46.18,-417.96
1772541583919,-35,2.36,192.04
1772541583960,-35,2.36,192.04
1772541584001,31.09,-45.09,-417.96
1772541584042,31.09,-87.45,-417.96
1772541584083,57.82,-87.45,-417.96
1772541584125,-33.18,0.82,162.55
1772541584165,-33.18,0.82,162.55
1772541584206,-23.27,-9.27,-417.96
1772541584248,77.64,-120.64,-417.96
1772541584288,77.64,-120.64,-417.96
1772541584329,16.36,-48.09,-417.96
1772541584371,16.36,-48.09,-417.96
1772541584411,-46.64,1.27,175
1772541584452,3.09,-31.45,-417.96
1772541584493,3.09,-31.45,-417.96
1772541584534,49.27,-101.91,-417.96
1772541584575,-34.45,2.18,-417.96
1772541584616,-34.45,2.18,-417.96
1772541584657,11.82,-25.27,-417.96
1772541584698,11.82,-25.27,-417.96
1772541584739,75.55,-94.73,-417.96
1772541584780,5.73,-29.36,204.8
1772541584821,5.73,-29.36,204.8
1772541584862,-43.45,6.36,174.29
1772541584905,26.55,-44.36,-417.96
1772541584944,26.55,-44.36,-417.96
1772541584985,45.55,-77.55,-417.96
1772541585026,45.55,-77.55,-417.96
1772541585067,-20.82,0.45,-417.96
1772541585108,45.09,-48.45,190.92
1772541585149,45.09,-48.45,190.92
1772541585190,63.82,-75.82,172.45
1772541585231,-17.64,0,158.37
1772541585272,-17.64,0,158.37
1772541585314,-3.55,-4.73,197.45
1772541585354,-3.55,-4.73,197.45
1772541585395,72.45,-81.27,-417.96
1772541585436,11.91,-21.82,-417.96
1772541585477,11.91,-21.82,-417.96
1772541585518,-13.82,3.18,189.69
1772541585559,66.73,-68.18,202.04
1772541585600,66.73,-68.18,202.04
1772541585641,33.45,-39.82,201.63
1772541585682,33.45,-39.82,201.63
1772541585723,-30,8.09,176.53
1772541585764,39,-37.27,-417.96
1772541585805,39,-37.27,-417.96
1772541585846,73,-87.91,196.02
1772541585887,-18.18,0.64,175
1772541585928,-18.18,0.64,175
1772541585969,5.45,-7.64,197.35
1772541586010,5.45,-7.64,197.35
1772541586052,47.09,-50,-417.96
1772541586092,-10.36,-4.91,169.9
1772541586134,-10.36,-4.91,169.9
1772541586174,-11.73,-2.91,174.8
1772541586215,44.36,-50.55,197.24
1772541586256,44.36,-50.55,197.24
1772541586297,26.73,-44.91,-417.96
1772541586338,26.73,-44.91,-417.96
1772541586379,-28.82,1.73,164.39
1772541586420,17.18,-36.82,-417.96
1772541586461,17.18,-36.82,-417.96
1772541586503,22.91,-44.82,202.24
1772541586543,-25.73,-0.73,146.12
1772541586584,-25.73,-0.73,146.12
1772541586625,-13.55,-5.09,178.78
1772541586666,-13.55,-5.09,178.78
1772541586708,18.82,-48,-417.96
1772541586748,-12.91,-6.82,-417.96
1772541586789,-12.91,-6.82,-417.96
1772541586830,3.91,-14.64,168.27
1772541586871,37.45,-56.64,171.73
1772541586912,37.45,-56.64,171.73
1772541586953,-9.36,-11.73,151.02
1772541586994,-9.36,-11.73,151.02
1772541587035,-10.55,-9.82,163.37
1772541587076,43.36,-74.09,-417.96
1772541587117,43.36,-74.09,-417.96
1772541587158,15.36,-37.09,183.78
1772541587199,-16.45,-6.27,146.22
1772541587240,-16.45,-6.27,146.22
1772541587281,5.45,-29.18,194.69
1772541587322,5.45,-29.18,194.69
1772541587363,0.91,-20.27,163.06
1772541587404,-11.18,-11.73,139.9
1772541587445,-11.18,-11.73,139.9
1772541587486,12.18,-31,164.08
1772541587527,18.73,-47.73,180
1772541587568,18.73,-47.73,180
1772541587609,-12.82,-10.91,126.12
1772541587650,-12.82,-10.91,126.12
1772541587691,-1.36,-18.18,158.16
1772541587732,20.36,-58.09,-417.96
1772541587773,20.36,-58.09,-417.96
1772541587814,-11.73,-14.73,160.82
1772541587855,-16.27,-7.64,143.06
1772541587896,-16.27,-7.64,143.06
1772541587939,-6.82,-19.09,195.92
1772541587978,-6.82,-19.09,195.92
1772541588020,16.73,-42.64,-417.96
1772541588060,17.82,-45,196.43
1772541588101,17.82,-45,196.43
1772541588142,7.91,-33.91,198.88
1772541588183,10.64,-33,198.78
1772541588224,10.64,-33,198.78
1772541588265,15.18,-37,190
1772541588306,15.18,-37,190
1772541588348,17.45,-39,185.2
1772541588388,15.82,-40.27,188.16
1772541588429,15.82,-40.27,188.16
1772541588471,17.55,-40.18,188.98
1772541588511,20.73,-42.18,184.49
1772541588552,20.73,-42.18,184.49
1772541588593,22.18,-44,185.92
