timestamp,x_uT,y_uT,z_uT
1771360518154,-71.49,-372.36,97.27
1771360518196,-71.98,-372.36,97.59
1771360518237,-72.83,-372.36,98.14
1771360518278,-73.33,-372.36,98.48
1771360518320,-74.22,-372.36,99.66
1771360518359,-78.60,-372.36,104.53
1771360518400,-81.23,-372.36,107.45
1771360518442,-85.21,-372.36,114.27
1771360518483,-87.60,-372.36,118.36
1771360518524,-91.94,-372.36,125.83
1771360518565,-92.66,-372.36,131.05
1771360518606,-93.09,-372.36,134.18
1771360518648,-88.03,-372.36,130.67
1771360518688,-78.56,-372.36,119.18
1771360518729,-72.88,-372.36,112.28
1771360518771,-63.62,-372.36,99.45
1771360518811,-58.06,-372.36,91.75
1771360518852,-50.95,-372.36,80.81
1771360518893,-48.93,-372.36,82.93
1771360518934,-47.72,-372.36,84.21
1771360518975,-49.58,-372.36,85.91
1771360519015,-59.71,-372.36,107.83
1771360519057,-65.79,-372.36,120.98
1771360519098,-73.91,-372.36,138.18
1771360519139,-78.78,-372.36,148.50
1771360519179,-76.54,-372.36,149.71
1771360519221,-90.00,-372.36,170.16
1771360519262,-98.07,-372.36,182.42
1771360519303,-130.01,-372.36,-57.73
1771360519344,-148.48,-372.36,-201.82
1771360519385,-159.56,-372.36,-288.28
1771360519426,-161.66,-372.36,-340.15
1771360519467,-162.93,-372.36,-371.27
1771360519508,-164.70,-372.36,-389.95
1771360519549,-168.71,-372.36,-401.15
1771360519590,-171.12,-372.36,-407.88
1771360519631,-168.27,-372.36,-411.91
1771360519672,-249.91,-372.36,-414.33
1771360519713,-298.89,-372.36,-415.78
1771360519754,-328.28,-190.94,-416.65
1771360519795,-345.91,-82.09,-417.18
1771360519836,-356.49,-27.76,-417.49
1771360519877,-362.84,-12.15,-417.68
1771360519918,-366.65,-2.78,-417.79
1771360519958,-368.93,8.55,-417.86
1771360520000,-370.30,18.29,-417.90
1771360520041,-371.13,24.14,-417.92
1771360520082,-371.62,27.58,-417.94
1771360520123,-371.92,29.64,-417.95
1771360520165,-372.09,23.64,-417.95
1771360520205,-372.20,12.55,-417.96
1771360520246,-372.26,5.89,-417.96
1771360520287,-372.30,-2.10,-417.96
1771360520328,-372.33,-10.50,-417.96
1771360520369,-372.34,-15.53,-417.96
1771360520410,-372.35,-21.28,-417.96
1771360520451,-372.35,-24.73,-417.96
1771360520493,-372.36,-27.28,-417.96
1771360520533,-372.36,-24.07,-417.96
1771360520575,-372.36,-22.15,-417.96
1771360520615,-372.36,-16.56,-417.96
1771360520656,-372.36,-26.16,-417.96
1771360520697,-372.36,-31.91,-417.96
1771360520738,-372.36,-50.64,-417.96
1771360520779,-372.36,-61.88,-417.96
1771360520820,-372.36,-74.76,-417.96
1771360520861,-372.36,-69.40,-417.96
1771360520902,-372.36,-66.18,-417.96
1771360520943,-372.36,-82.80,-417.96
1771360520984,-372.36,-198.63,-417.96
1771360521025,-372.36,-268.12,-417.96
1771360521066,-372.36,-309.82,-417.96
1771360521107,-372.36,-334.83,-417.96
1771360521148,-372.36,-349.84,-417.96
1771360521189,-372.36,-358.85,-417.96
1771360521230,-372.36,-364.25,-417.96
1771360521270,-372.36,-367.50,-417.96
1771360521312,-372.36,-369.44,-417.96
1771360521353,-372.36,-370.61,-417.96
1771360521394,-372.36,-371.31,-417.96
1771360521435,-372.36,-371.73,-417.96
1771360521475,-372.36,-371.98,-417.96
1771360521517,-372.36,-372.13,-417.96
1771360521558,-372.36,-372.22,-417.96
1771360521599,-372.36,-372.28,-417.96
1771360521640,-372.36,-372.31,-417.96
1771360521681,-372.36,-372.33,-417.96
1771360521722,-372.36,-372.34,-417.96
1771360521762,-372.36,-372.35,-417.96
1771360521804,-372.36,-372.35,-417.96
1771360521845,-372.36,-372.36,-417.96
1771360521886,-372.36,-372.36,-417.96
1771360521928,-372.36,-372.36,-417.96
1771360521968,-372.36,-372.36,-417.96
1771360522009,-372.36,-372.36,-417.96
1771360522050,-372.36,-372.36,-417.96
1771360522091,-372.36,-372.36,-417.96
1771360522132,-372.36,-372.36,-417.96
1771360522173,-372.36,-372.36,-417.96
1771360522214,-372.36,-372.36,-417.96
1771360522255,-372.36,-372.36,-417.96
1771360522296,-372.36,-372.36,-190.41
1771360522337,-372.36,-372.36,-53.88
1771360522378,-372.36,-372.36,40.57
1771360522419,-372.36,-372.36,97.24
1771360522460,-372.36,-372.36,114.47
1771360522501,-372.36,-372.36,106.76
1771360522542,-372.36,-372.36,102.14
1771360522583,-372.36,-372.36,87.12
1771360522624,-372.36,-372.36,76.88
1771360522665,-372.36,-372.36,70.74
1771360522706,-372.36,-372.36,64.89
1771360522747,-372.36,-372.36,61.38
1771360522788,-372.36,-372.36,45.69
1771360522829,-372.36,-372.36,37.13
1771360522870,-372.36,-372.36,31.99
1771360522911,-372.36,-372.36,29.12
1771360522952,-372.36,-372.36,55.02
1771360522993,-372.36,-372.36,70.56
1771360523033,-372.36,-372.36,64.13
1771360523075,-372.36,-372.36,60.28
1771360523116,-372.36,-372.36,68.37
1771360523157,-372.36,-372.36,76.13
1771360523199,-372.36,-372.36,80.78
1771360523239,-372.36,-372.36,53.53
1771360523280,-372.36,-372.36,50.73
1771360523320,-372.36,-372.36,49.05
1771360523362,-372.36,-372.36,49.06
1771360523403,-372.36,-372.36,49.07
1771360523444,-372.36,-372.36,35.81
1771360523486,-372.36,-372.36,26.51
1771360523527,-372.36,-372.36,20.92
1771360523567,-372.36,-372.36,16.76
1771360523608,-372.36,-372.36,27.16
1771360523649,-372.36,-372.36,33.40
1771360523690,-372.36,-372.36,36.53
1771360523731,-372.36,-372.36,38.40
1771360523772,-372.36,-372.36,55.17
1771360523813,-372.36,-372.36,37.47
1771360523854,-372.36,-372.36,26.85
1771360523896,-372.36,-372.36,48.89
1771360523936,-372.36,-372.36,79.46
1771360523977,-372.36,-372.36,97.80
1771360524018,-236.14,-372.36,84.15
1771360524059,-154.41,-372.36,75.96
1771360524100,-106.87,-195.52,61.17
1771360524141,-84.41,-88.29,45.76
1771360524182,-70.94,-23.96,36.52
1771360524223,-74.06,18.25,35.71
1771360524264,-73.05,42.18,35.14
1771360524305,-72.45,56.55,34.80
1771360524346,-73.87,66.36,35.29
1771360524387,-74.72,72.25,35.58
1771360524429,-76.83,77.39,33.55
1771360524469,-50.97,78.14,19.97
1771360524510,-35.46,78.59,11.82
1771360524551,-12.15,-101.79,-160.09
1771360524592,-22.49,-210.02,-263.24
1771360524633,-28.69,-274.95,-325.13
1771360524673,-16.96,-313.92,-362.26
1771360524716,-9.92,-337.29,-384.54
1771360524758,1.54,-351.32,-397.91
1771360524797,4.34,-359.74,-405.93
1771360524838,6.03,-364.79,-410.74
1771360524879,19.07,-367.82,-413.63
1771360524920,77.08,-369.63,-415.36
1771360524962,111.88,-370.72,-416.40
1771360525001,-81.81,-371.38,-417.02
1771360525042,-198.03,-371.77,-417.40
1771360525083,-267.76,-372.01,-417.62
1771360525124,-309.60,-372.15,-417.76
1771360525165,-334.71,-372.23,-417.84
1771360525206,-349.77,-372.28,-417.89
1771360525247,-358.80,-372.31,-280.12
1771360525288,-364.23,-372.33,-197.46
1771360525329,-223.19,-214.34,-148.15
1771360525370,-138.57,-119.55,-118.56
1771360525411,-108.85,-41.69,-99.54
1771360525452,-94.07,8.15,-81.97
1771360525493,-85.21,38.05,-71.43
1771360525536,-71.31,51.09,-60.16
1771360525576,-58.38,55.85,-51.65
1771360525617,-50.63,58.71,-46.54
1771360525658,-45.29,59.30,-41.19
1771360525699,-42.08,59.65,-37.98
1771360525740,-55.14,67.53,-42.75
1771360525781,-182.03,-108.42,-56.79
1771360525822,-258.16,-214.00,-65.22
1771360525863,-303.84,-277.34,-206.32
1771360525903,-331.25,-315.35,-290.97
1771360525945,-347.69,-338.15,-341.77
1771360525986,-357.56,-351.84,-372.24
1771360526027,-363.48,-360.05,-390.53
1771360526068,-367.03,-364.97,-401.50
1771360526109,-369.16,-367.93,-408.09
1771360526150,-370.44,-369.70,-412.04
1771360526191,-371.21,-370.76,-414.41
1771360526231,-371.67,-371.40,-415.83
1771360526273,-371.95,-371.79,-416.68
1771360526314,-372.11,-372.02,-417.19
1771360526356,-372.21,-372.15,-417.50
1771360526396,-372.27,-372.24,-417.68
1771360526436,-372.31,-372.29,-417.79
1771360526478,-372.33,-372.32,-417.86
1771360526519,-372.34,-372.33,-283.04
