timestamp,x_uT,y_uT,z_uT
1772541044194,55.73,-78.09,-180.51
1772541044235,56.09,-80.64,-181.63
1772541044277,56.45,-79,-181.02
1772541044317,56.45,-79,-181.02
1772541044359,55.73,-79.27,-181.33
1772541044400,55.73,-79.27,-181.33
1772541044441,57.27,-80.82,-181.22
1772541044482,58.09,-80.91,-179.59
1772541044523,58.09,-80.91,-179.59
1772541044564,56.82,-81.64,-179.18
1772541044605,57.27,-82.27,-177.86
1772541044646,57.27,-82.27,-177.86
1772541044687,56.82,-84.09,-176.63
1772541044727,56.82,-84.09,-176.63
1772541044768,55.91,-84.09,-177.65
1772541044810,56.64,-82.27,-175.92
1772541044850,56.64,-82.27,-175.92
1772541044892,57.55,-85.45,-176.73
1772541044934,58.73,-87,-178.06
1772541044973,58.73,-87,-178.06
1772541045015,56.09,-86.27,-178.67
1772541045055,56.09,-86.27,-178.67
1772541045097,56.36,-87.09,-178.47
1772541045137,58.55,-87.45,-178.37
1772541045179,58.55,-87.45,-178.37
1772541045220,58.27,-87.55,-179.49
1772541045261,58.36,-89.82,-178.37
1772541045301,58.36,-89.82,-178.37
1772541045343,59.55,-89.64,-178.47
1772541045383,59.55,-89.64,-178.47
1772541045424,56.09,-89.09,-178.88
1772541045467,58.36,-89.73,-178.78
1772541045506,58.36,-89.73,-178.78
1772541045548,60,-89.18,-178.27
1772541045588,57.64,-88.18,-178.78
1772541045630,57.64,-88.18,-178.78
1772541045671,58.91,-92.36,-179.9
1772541045712,58.91,-92.36,-179.9
1772541045752,60,-91.64,-179.49
1772541045794,58.36,-91.09,-180.41
1772541045834,58.36,-91.09,-180.41
1772541045876,58.82,-90.27,-179.8
1772541045916,58.91,-90.55,-179.69
1772541045957,58.91,-90.55,-179.69
1772541045999,58.91,-89.45,-180.41
1772541046039,58.91,-89.45,-180.41
1772541046081,59.27,-91.91,-181.22
1772541046121,58.91,-92.45,-182.04
1772541046162,58.91,-92.45,-182.04
1772541046203,58.91,-93.09,-179.39
1772541046245,57.91,-92.91,-178.78
1772541046285,57.91,-92.91,-178.78
1772541046327,59,-92.09,-178.78
1772541046367,59,-92.09,-178.78
1772541046409,59.73,-92.09,-180
1772541046449,59.91,-95.27,-179.69
1772541046491,59.91,-95.27,-179.69
1772541046532,59.18,-94.45,-179.39
1772541046573,60.36,-94.82,-181.02
1772541046614,60.36,-94.82,-181.02
1772541046655,60.82,-96.18,-183.27
1772541046695,60.82,-96.18,-183.27
1772541046736,60.91,-88.73,-188.27
1772541046778,40.91,-34.73,-417.96
1772541046819,40.91,-34.73,-417.96
1772541046862,15.64,-27.64,-417.96
1772541046901,91.55,-96.45,-417.96
1772541046942,91.55,-96.45,-417.96
1772541046982,-116.64,-150.82,190.71
1772541047023,-116.64,-150.82,190.71
1772541047064,64.09,-150.36,-187.55
1772541047106,94.55,18.55,-417.96
1772541047147,94.55,18.55,-417.96
1772541047188,22.18,37.55,-417.96
1772541047229,-10,6.55,-196.73
1772541047269,-10,6.55,-196.73
1772541047311,47.82,-83.18,-417.96
1772541047351,47.82,-83.18,-417.96
1772541047393,-74.45,-94.91,-417.96
1772541047434,118.18,-372.36,-417.96
1772541047474,118.18,-372.36,-417.96
1772541047516,105.36,-372.36,-417.96
