timestamp,x_uT,y_uT,z_uT
1772541654524,90.36,-43,68.98
1772541654562,90.36,-43,68.98
1772541654604,92.36,-42,72.35
1772541654644,92.36,-42.45,71.53
1772541654685,92.36,-42.45,71.53
1772541654727,95.64,-43.82,74.39
1772541654767,94.27,-42.91,74.69
1772541654808,94.27,-42.91,74.69
1772541654849,95.55,-43.73,74.18
1772541654890,95.55,-43.73,74.18
1772541654931,91.55,-43.27,75.31
1772541654972,88,-42.91,77.96
1772541655013,88,-42.91,77.96
1772541655055,79.82,-43.27,75.1
1772541655095,73.64,-42.27,77.55
1772541655136,73.64,-42.27,77.55
1772541655177,73.82,-42,74.29
1772541655218,73.82,-42,74.29
1772541655259,75.73,-40.91,75
1772541655301,77.64,-41.64,71.33
1772541655341,77.64,-41.64,71.33
1772541655382,77.82,-40.64,72.55
1772541655423,77.82,-40.64,72.55
1772541655464,77.82,-40.64,72.55
1772541655505,78.73,-41,70.2
1772541655546,78.73,-41,70.2
1772541655588,77.64,-41.27,68.57
1772541655629,78.36,-42.45,68.06
1772541655670,78.36,-42.45,68.06
1772541655710,78.36,-42.55,65.92
1772541655752,78.36,-42.55,65.92
1772541655794,76,-40.64,67.86
1772541655834,73.18,-42.18,68.37
1772541655874,73.18,-42.18,68.37
1772541655915,72.64,-41.18,68.67
1772541655956,72.45,-39.91,66.22
1772541655998,72.45,-39.91,66.22
1772541656038,74.82,-41.09,70.82
1772541656079,74.82,-41.09,70.82
1772541656122,75,-41.55,67.14
1772541656162,76.09,-41.82,70.41
1772541656202,76.09,-41.82,70.41
1772541656243,76.27,-42.82,70.51
1772541656284,76.09,-41.73,73.06
1772541656325,76.09,-41.73,73.06
1772541656367,76.09,-41.64,73.67
1772541656407,76.09,-41.64,73.67
1772541656448,73.27,-41.45,72.96
1772541656489,73.73,-41,73.88
1772541656530,73.73,-41,73.88
1772541656571,72.18,-41.55,75.1
1772541656612,74.36,-43,76.22
1772541656653,74.36,-43,76.22
1772541656695,74.82,-43.09,76.84
1772541656735,74.82,-43.09,76.84
1772541656776,75.91,-44.27,75.82
1772541656817,79.18,-42.82,78.98
1772541656858,79.18,-42.82,78.98
1772541656899,78.18,-43.18,75.61
1772541656940,73.45,-42.09,78.06
1772541656981,73.45,-42.09,78.06
1772541657022,64.36,-43.91,82.55
1772541657064,64.36,-43.91,82.55
1772541657104,56.73,-45,87.04
1772541657145,62,-48.45,80.2
1772541657187,62,-48.45,80.2
1772541657228,162,-66.45,76.33
1772541657268,-372.36,-100.36,192.55
1772541657310,-372.36,-100.36,192.55
1772541657350,-372.36,-54.55,79.39
1772541657391,-372.36,-54.55,79.39
1772541657432,60.91,-46.91,69.8
1772541657473,117.55,-55.09,51.22
1772541657514,117.55,-55.09,51.22
1772541657555,-372.36,-372.36,-417.96
1772541657596,-372.36,-372.36,-417.96
1772541657637,-372.36,-372.36,-417.96
1772541657679,-372.36,-58.91,60
1772541657719,-372.36,-58.91,60
1772541657760,136,-67.09,32.86
1772541657801,-372.36,-372.36,42.76
