timestamp,x_uT,y_uT,z_uT
1771360064774,26.63,-20.14,-79.58
1771360064815,26.74,-20.19,-79.62
1771360064856,26.62,-20.88,-79.12
1771360064897,26.77,-20.53,-79.27
1771360064939,26.86,-20.32,-79.36
1771360064980,27.50,-20.26,-79.37
1771360065021,27.88,-20.23,-79.38
1771360065061,26.91,-19.99,-78.85
1771360065103,26.36,-20.18,-79.07
1771360065143,26.04,-20.29,-79.20
1771360065184,26.32,-20.61,-79.35
1771360065226,26.30,-20.40,-79.33
1771360065266,26.29,-20.28,-79.31
1771360065307,26.43,-20.31,-79.10
1771360065350,26.51,-20.33,-78.97
1771360065389,26.96,-20.74,-78.69
1771360065431,26.58,-20.99,-78.93
1771360065471,26.35,-21.14,-79.07
1771360065513,27.19,-20.50,-78.96
1771360065554,27.33,-20.96,-78.60
1771360065595,27.42,-21.23,-78.38
1771360065635,27.69,-20.88,-78.34
1771360065676,27.85,-20.67,-78.31
1771360065717,27.73,-20.22,-78.29
1771360065759,27.95,-20.10,-78.28
1771360065799,28.08,-20.02,-78.28
1771360065840,27.47,-20.81,-78.11
1771360065881,27.57,-20.78,-78.17
1771360065922,27.63,-20.76,-78.21
1771360065964,28.00,-20.09,-78.19
1771360066003,28.22,-19.69,-78.18
1771360066046,27.70,-19.56,-78.13
1771360066087,27.71,-19.48,-78.31
1771360066128,27.72,-19.43,-78.41
1771360066168,28.09,-19.48,-78.27
1771360066209,27.87,-20.02,-78.43
1771360066250,27.74,-20.34,-78.53
1771360066291,28.25,-19.87,-78.34
1771360066333,28.55,-19.60,-78.23
1771360066373,28.58,-19.83,-78.81
1771360066414,28.49,-19.97,-78.84
1771360066456,28.44,-20.05,-78.86
1771360066497,27.90,-19.67,-78.83
1771360066537,28.48,-19.84,-78.93
1771360066579,28.83,-19.94,-78.99
1771360066618,29.01,-19.31,-79.23
1771360066661,29.11,-18.93,-79.37
1771360066701,29.61,-19.98,-79.50
1771360066742,30.24,-19.19,-79.21
1771360066783,30.62,-18.71,-79.04
1771360066825,30.99,-17.81,-79.18
1771360066866,31.39,-15.08,-79.96
1771360066906,31.64,-13.45,-80.42
1771360066947,33.78,-4.91,-82.74
1771360066989,35.07,0.22,-84.13
1771360067030,44.35,28.17,-91.87
1771360067070,83.19,-132.04,-135.12
1771360067112,106.49,-228.17,-161.07
1771360067153,62.19,-285.85,-74.56
1771360067194,19.93,-166.38,-32.05
1771360067235,-5.42,-94.70,-6.54
1771360067275,-17.54,-54.31,4.93
1771360067317,-24.82,-30.08,11.82
1771360067358,-4.16,-166.99,3.58
1771360067398,37.03,-249.14,-45.28
1771360067440,61.75,-298.43,-74.60
1771360067480,55.67,-165.86,-76.84
1771360067520,47.29,-99.59,-77.00
1771360067562,42.27,-59.82,-77.10
1771360067604,38.52,-40.04,-77.03
1771360067645,36.28,-28.17,-77.00
1771360067686,33.88,-23.19,-76.85
1771360067727,32.25,-20.97,-77.25
1771360067768,31.28,-19.64,-77.50
1771360067808,30.77,-18.84,-77.19
1771360067848,29.55,-18.72,-77.33
1771360067889,28.82,-18.65,-77.42
1771360067930,28.67,-19.70,-77.35
1771360067971,28.58,-20.33,-77.30
1771360068012,28.79,-20.45,-77.36
1771360068053,29.31,-20.67,-77.27
1771360068095,29.62,-20.80,-77.22
1771360068136,29.08,-20.23,-77.31
1771360068177,28.79,-20.61,-77.78
1771360068218,28.62,-20.84,-78.05
1771360068260,28.30,-21.05,-78.14
1771360068301,28.11,-21.17,-78.19
1771360068342,28.43,-20.77,-77.57
1771360068382,28.19,-20.14,-77.23
1771360068422,28.04,-19.75,-77.03
1771360068464,27.92,-19.63,-76.79
1771360068505,28.31,-18.58,-76.85
1771360068547,28.55,-17.95,-76.89
1771360068587,29.82,-16.80,-76.09
1771360068628,30.59,-16.12,-75.62
1771360068669,30.90,-12.94,-75.57
1771360068710,33.48,-1.99,-74.32
1771360068752,35.03,4.59,-73.57
1771360068793,44.11,36.46,-67.16
1771360068834,81.38,-127.07,-23.97
1771360068875,103.73,-225.18,1.95
1771360068915,62.28,-284.05,-15.24
1771360068956,37.40,-319.38,-25.55
1771360068997,22.30,-340.57,-15.00
1771360069037,12.91,-353.29,-8.76
1771360069080,7.27,-360.92,-5.01
1771360069121,4.07,-365.49,-2.56
1771360069161,3.02,-368.24,-20.31
1771360069202,2.39,-369.89,-30.96
1771360069243,42.31,-370.88,20.40
1771360069284,66.26,-371.47,51.22
1771360069325,59.57,-371.83,19.34
1771360069366,50.58,-220.30,-9.41
1771360069408,45.18,-129.38,-26.67
1771360069447,39.73,-81.30,-40.04
1771360069489,35.62,-55.40,-49.04
1771360069530,33.15,-39.86,-54.45
1771360069571,31.42,-30.68,-58.30
1771360069612,30.38,-25.17,-60.61
1771360069653,30.01,-22.96,-61.76
1771360069695,28.84,-22.03,-62.89
1771360069735,28.14,-21.47,-63.57
1771360069776,28.56,-20.52,-64.10
1771360069817,28.81,-20.71,-64.46
1771360069859,28.63,-20.83,-64.68
1771360069901,29.21,-20.79,-64.48
1771360069941,29.56,-20.77,-64.36
1771360069982,28.21,-19.80,-64.90
1771360070023,28.75,-19.41,-65.43
1771360070063,29.07,-19.17,-65.74
1771360070104,28.64,-19.43,-65.41
1771360070145,28.38,-19.48,-65.20
1771360070186,28.56,-19.51,-64.55
1771360070227,27.86,-19.81,-64.40
1771360070268,27.45,-20.00,-64.31
1771360070309,27.78,-20.00,-64.38
1771360070350,28.81,-19.93,-64.63
1771360070391,29.43,-19.88,-64.78
1771360070433,29.59,-19.82,-64.87
1771360070474,29.68,-19.79,-64.92
1771360070514,29.74,-19.76,-64.95
1771360070554,29.44,-19.71,-64.52
1771360070596,29.26,-19.68,-64.27
1771360070637,29.01,-18.50,-64.15
1771360070678,29.84,-16.41,-63.88
1771360070719,30.34,-15.15,-63.72
1771360070760,31.66,-10.33,-62.39
1771360070800,32.45,-7.43,-61.60
1771360070842,32.93,-5.70,-61.12
1771360070883,48.19,53.60,-46.71
1771360070924,57.35,89.18,-38.07
1771360070965,-114.53,-95.44,28.38
1771360071005,-217.66,-206.21,0.17
1771360071048,-279.54,-272.67,-16.75
1771360071088,-169.62,-134.04,-9.93
1771360071129,-103.66,-50.86,-5.83
1771360071170,-62.05,-26.55,-3.91
1771360071211,-37.56,-13.64,-2.92
1771360071252,-22.86,-5.89,-2.32
1771360071293,-15.21,39.59,-1.27
1771360071334,30.55,-125.19,-38.56
1771360071375,58.00,-224.06,-60.93
1771360071416,63.89,-283.38,-14.23
1771360071457,67.43,-318.97,13.79
1771360071499,56.78,-181.85,2.40
1771360071539,46.58,-110.89,-11.38
1771360071581,40.46,-68.32,-19.64
1771360071622,35.11,-46.52,-26.44
1771360071663,33.25,-35.00,-32.23
1771360071703,32.13,-28.09,-35.71
1771360071744,30.08,-25.04,-38.36
1771360071785,28.85,-23.20,-39.96
1771360071826,28.14,-21.26,-40.79
1771360071867,27.21,-20.76,-41.29
1771360071908,26.66,-20.46,-41.59
1771360071949,26.94,-20.35,-41.97
1771360071990,26.82,-20.17,-41.84
1771360072030,26.75,-20.07,-41.75
1771360072072,26.52,-20.40,-42.11
1771360072114,26.38,-20.61,-42.33
1771360072155,26.19,-20.33,-42.38
1771360072196,26.77,-19.83,-42.12
1771360072237,27.12,-19.54,-41.96
1771360072277,27.11,-20.19,-42.36
1771360072318,26.81,-19.97,-42.72
1771360072360,26.63,-19.84,-42.94
1771360072400,26.71,-20.92,-43.03
1771360072441,26.75,-21.57,-43.08
1771360072482,27.14,-20.76,-43.03
1771360072523,27.49,-20.46,-42.47
1771360072564,27.69,-20.28,-42.14
1771360072605,27.81,-20.42,-42.43
1771360072646,27.52,-19.92,-42.56
1771360072687,27.35,-19.63,-42.64
1771360072729,26.92,-19.12,-42.73
1771360072769,26.66,-18.82,-42.78
1771360072810,27.67,-19.69,-42.36
1771360072851,28.24,-19.92,-42.11
1771360072892,28.58,-20.06,-41.96
1771360072933,28.05,-19.56,-41.83
1771360072974,28.14,-18.39,-41.67
1771360073015,28.19,-17.69,-41.57
1771360073055,28.04,-17.20,-41.07
1771360073097,27.95,-16.90,-40.76
1771360073139,28.81,-14.65,-40.33
1771360073180,30.67,-10.86,-39.10
1771360073221,31.78,-8.59,-38.35
1771360073262,35.32,0.08,-34.64
1771360073303,42.94,26.41,-26.95
1771360073343,47.51,42.21,-22.33
1771360073384,68.83,-123.62,1.54
1771360073425,81.63,-223.11,15.86
1771360073466,-99.97,-282.81,68.78
1771360073507,-208.92,-318.63,15.15
1771360073547,-274.30,-340.12,-17.04
1771360073589,-164.47,-168.40,-15.77
1771360073630,-113.74,-63.44,-11.34
1771360073671,-83.30,-0.46,-8.68
1771360073712,-49.76,38.85,-8.10
1771360073753,-29.64,62.44,-7.76
1771360073795,-20.51,64.12,-10.41
1771360073835,50.02,-110.47,25.75
1771360073877,92.34,-215.23,47.45
1771360073917,85.00,-278.08,32.55
1771360073959,69.37,-155.94,11.86
1771360073999,59.98,-82.66,-0.56
1771360074041,50.06,-49.27,-12.66
1771360074081,44.11,-29.23,-19.93
1771360074123,39.27,-22.05,-26.98
1771360074164,34.87,-19.88,-31.98
1771360074204,32.23,-18.59,-34.98
1771360074245,30.39,-18.39,-37.68
1771360074286,29.87,-19.36,-39.35
1771360074327,29.56,-19.94,-40.34
1771360074368,28.90,-19.60,-41.10
1771360074409,28.50,-19.40,-41.56
1771360074450,28.01,-19.82,-42.08
1771360074491,27.24,-19.60,-41.82
1771360074532,26.78,-19.47,-41.66
1771360074573,27.09,-19.86,-41.98
1771360074614,26.62,-20.24,-42.41
1771360074655,26.33,-20.47,-42.67
1771360074696,26.82,-20.50,-42.46
1771360074737,27.11,-20.52,-42.33
1771360074778,26.96,-21.22,-42.50
1771360074819,27.20,-20.99,-42.19
1771360074860,27.34,-20.85,-42.01
1771360074902,27.78,-20.58,-42.18
1771360074943,27.73,-20.53,-42.33
1771360074984,27.69,-20.50,-42.42
1771360075024,27.85,-20.52,-42.43
1771360075064,27.95,-20.53,-42.44
1771360075107,28.04,-20.86,-42.65
1771360075147,28.24,-20.55,-42.65
1771360075189,28.37,-20.37,-42.65
1771360075230,28.40,-20.48,-42.41
1771360075271,28.28,-20.58,-42.63
1771360075311,28.20,-20.64,-42.76
1771360075352,28.66,-20.78,-42.47
1771360075393,28.94,-20.87,-42.30
1771360075434,27.59,-20.74,-42.24
1771360075476,27.35,-20.27,-42.03
1771360075517,27.21,-19.98,-41.91
1771360075558,27.75,-20.42,-41.92
1771360075598,27.41,-20.51,-41.89
1771360075639,27.21,-20.56,-41.87
1771360075680,28.00,-19.14,-41.73
1771360075721,28.47,-18.28,-41.65
1771360075762,29.12,-17.37,-41.16
1771360075803,29.33,-16.02,-40.08
1771360075844,29.45,-15.21,-39.44
1771360075885,30.51,-12.00,-38.03
1771360075927,34.34,-4.14,-34.82
1771360075968,36.64,0.57,-32.89
1771360076009,42.20,13.32,-27.73
1771360076050,45.54,20.97,-24.64
1771360076091,53.95,42.08,-14.95
1771360076131,70.70,84.70,1.19
1771360076172,80.75,110.28,10.88
1771360076214,106.23,-82.78,27.06
1771360076255,-85.21,-198.61,37.91
1771360076295,-200.07,-268.11,44.42
1771360076337,-268.99,-309.81,34.20
1771360076377,-310.34,-334.83,28.07
1771360076418,-186.93,-349.84,29.78
1771360076459,-111.83,-191.51,22.15
1771360076500,-66.77,-96.50,17.58
1771360076541,-39.95,-41.57,27.81
1771360076581,-16.26,-173.89,21.17
1771360076622,-2.05,-253.28,17.19
1771360076663,-150.17,-300.91,8.48
1771360076704,-239.05,-329.49,3.25
1771360076745,-292.37,-346.64,-3.89
1771360076786,-152.62,-186.16,-12.05
1771360076827,-68.77,-89.88,-16.94
1771360076868,-25.23,-50.03,-23.27
1771360076909,-1.90,-32.75,-28.90
1771360076951,12.10,-22.38,-32.28
1771360076992,19.44,-18.88,-35.37
1771360077033,23.84,-16.79,-37.22
1771360077074,26.01,-16.04,-39.11
1771360077114,26.95,-17.26,-40.32
1771360077155,27.52,-17.99,-41.05
1771360077196,27.97,-18.79,-42.10
1771360077237,26.82,-19.42,-42.52
1771360077278,26.13,-19.80,-42.78
1771360077319,26.73,-20.31,-43.46
1771360077361,27.09,-20.62,-43.87
1771360077402,27.75,-20.88,-44.32
1771360077444,27.74,-21.07,-44.27
1771360077484,27.74,-21.19,-44.23
1771360077525,27.62,-21.37,-44.21
1771360077566,27.88,-21.08,-44.40
1771360077607,28.04,-20.90,-44.52
1771360077649,27.88,-21.38,-44.38
1771360077690,27.78,-21.66,-44.30
1771360077729,27.61,-21.29,-44.46
1771360077772,27.91,-21.14,-44.02
1771360077812,28.09,-21.05,-43.76
1771360077853,27.95,-21.14,-43.72
1771360077894,27.53,-21.12,-43.75
1771360077935,27.28,-21.11,-43.76
1771360077976,27.35,-21.24,-44.01
1771360078017,27.39,-21.33,-44.16
1771360078058,27.41,-21.20,-44.05
1771360078099,27.43,-20.72,-43.57
1771360078140,27.44,-20.43,-43.29
1771360078182,28.50,-19.20,-43.65
1771360078222,30.15,-17.23,-43.78
1771360078262,31.15,-16.05,-43.86
1771360078305,33.20,-11.96,-44.28
1771360078345,34.43,-9.50,-44.53
1771360078386,38.73,-2.72,-45.08
1771360078428,48.58,11.02,-45.66
