timestamp,x_uT,y_uT,z_uT
1771359460864,-372.36,-7.55,207.86
1771359460905,-372.36,-7.82,207.04
1771359460947,-372.36,-7.82,207.04
1771359460988,-372.36,-8.55,207.35
1771359461029,-372.36,-9.09,207.55
1771359461071,-372.36,-9.09,207.55
1771359461109,-372.36,-7.45,205.92
1771359461153,-372.36,-7.73,207.55
1771359461194,-372.36,-7.73,207.55
1771359461235,-372.36,-8.64,207.55
1771359461276,-372.36,-8.64,207.55
1771359461317,-372.36,-8.36,207.04
1771359461358,-372.36,-8.64,207.55
1771359461397,-372.36,-8.64,207.55
1771359461439,-372.36,-7,-417.96
1771359461480,-372.36,-6.27,208.16
1771359461522,-372.36,-6.27,208.16
1771359461561,-372.36,-9.18,204.49
1771359461603,-372.36,-9.18,204.49
1771359461643,-372.36,-13.73,185.41
1771359461685,-372.36,-15.45,171.02
1771359461727,-372.36,-15.45,171.02
1771359461767,-372.36,38.55,-417.96
1771359461808,-372.36,135.45,-417.96
1771359461849,-372.36,135.45,-417.96
1771359461890,-372.36,50.36,11.53
1771359461931,-372.36,50.36,11.53
1771359461972,94.64,26.18,-3.06
1771359462013,118.27,30.91,3.98
1771359462055,118.27,30.91,3.98
1771359462096,-372.36,19.64,11.84
1771359462136,-372.36,-63.09,-71.02
1771359462178,-372.36,-63.09,-71.02
1771359462217,-372.36,-58.27,-185.2
1771359462259,-372.36,-58.27,-185.2
1771359462301,-372.36,-39,-62.86
1771359462339,-372.36,-39.73,-27.76
1771359462380,-372.36,-39.73,-27.76
1771359462421,-372.36,-28.73,-28.88
1771359462463,168.45,-33.73,-29.29
1771359462505,168.45,-33.73,-29.29
1771359462546,-372.36,-48.91,-21.02
1771359462589,-372.36,-48.91,-21.02
1771359462628,-372.36,-54.27,36.84
1771359462669,-372.36,5.64,57.14
1771359462710,-372.36,5.64,57.14
1771359462751,-372.36,18.64,18.98
1771359462792,117.73,11.73,-0.51
1771359462832,117.73,11.73,-0.51
1771359462874,102.27,3.18,-6.22
1771359462915,102.27,3.18,-6.22
1771359462956,106.73,0.27,-7.55
1771359462997,128.09,-2.64,-6.22
1771359463038,128.09,-2.64,-6.22
1771359463080,177.09,-15.36,-6.12
1771359463120,162.91,-56.09,-24.08
1771359463162,-372.36,-56.09,-24.08
1771359463202,-372.36,-107.91,-119.8
1771359463242,-372.36,-107.91,-119.8
1771359463285,-372.36,-73.18,-417.96
1771359463325,-372.36,-6.91,-417.96
1771359463367,-372.36,-6.91,-417.96
1771359463408,-372.36,0.64,-100.92
1771359463446,-372.36,1.27,-73.27
1771359463488,-372.36,1.27,-73.27
1771359463529,-372.36,4.82,-71.73
1771359463571,-372.36,4.82,-71.73
1771359463612,-372.36,11,-83.88
1771359463653,-372.36,10.45,-107.76
1771359463695,-372.36,10.45,-107.76
1771359463735,-372.36,-13.09,-119.9
1771359463777,-372.36,-41.45,-64.18
1771359463818,-372.36,-41.45,-64.18
1771359463859,-372.36,-12,-5.71
1771359463898,-372.36,-12,-5.71
1771359463941,101.36,-4,-7.14
1771359463980,78.64,-6.36,-10
1771359464020,78.64,-6.36,-10
1771359464063,77.64,-4.73,-9.08
1771359464103,88.64,2.36,-2.35
1771359464145,88.64,2.36,-2.35
1771359464186,106.82,15,21.84
1771359464227,106.82,15,21.84
1771359464269,106.27,21.45,73.06
1771359464310,84.09,-11.18,89.18
1771359464350,84.09,-11.18,89.18
1771359464391,72.36,-26.45,80.41
1771359464432,80.27,-9,108.27
1771359464474,80.27,-9,108.27
1771359464513,117.09,47.82,102.04
1771359464555,117.09,47.82,102.04
1771359464596,105.64,27.36,24.59
1771359464635,88.82,9.36,3.98
1771359464678,88.82,9.36,3.98
1771359464719,79,3.73,-2.96
1771359464761,74.91,11,-0.2
1771359464801,74.91,11,-0.2
1771359464843,62.27,21,12.24
1771359464883,62.27,21,12.24
1771359464924,45.09,16.27,23.67
1771359464965,37.82,1.09,30.2
1771359465005,37.82,1.09,30.2
1771359465046,35.45,-12,35.82
1771359465088,38.73,-19.09,45.61
1771359465127,38.73,-19.09,45.61
1771359465170,38.73,-7,82.35
1771359465212,38.73,-7,82.35
1771359465252,80.18,43.82,67.86
1771359465293,81.36,12.73,2.14
1771359465334,81.36,12.73,2.14
1771359465375,73.64,0.64,-6.94
1771359465417,73.64,-3,-6.43
1771359465457,79,-3,-6.43
1771359465499,99.55,-10.18,-3.98
1771359465538,99.55,-10.18,-3.98
1771359465579,152.73,-46.36,-41.63
1771359465619,151.27,-10.73,-93.57
1771359465662,151.27,-10.73,-93.57
1771359465704,101.45,5.55,-50.71
1771359465744,101.45,0,-39.69
1771359465785,90.36,0,-39.69
1771359465826,90.27,2.55,-53.57
1771359465868,90.27,2.55,-53.57
1771359465908,100.64,-18,-97.76
1771359465950,102.18,-58.18,-62.24
1771359465990,102.18,-58.18,-62.24
1771359466031,83.73,-31.18,-20.61
1771359466071,83.73,-21.91,-16.84
1771359466113,73.73,-21.91,-16.84
1771359466154,74.09,-25.82,-15.71
1771359466195,74.09,-25.82,-15.71
1771359466236,77.82,-38.55,-22.55
1771359466278,70.36,-75.91,-48.27
1771359466318,70.36,-75.91,-48.27
1771359466358,-2,-84.36,-130.82
1771359466400,-2,18,-130.82
1771359466439,1.91,18,-109.29
1771359466482,44.82,23.18,-60
1771359466523,44.82,23.18,-60
1771359466565,53.82,15.91,-48.78
1771359466604,41.91,24.09,-68.06
1771359466645,41.91,24.09,-68.06
1771359466687,-33.91,-10,-115.92
1771359466728,-33.91,-96.36,-111.73
1771359466769,-6.36,-96.36,-59.49
1771359466808,48.82,-72.09,-25.92
1771359466850,48.82,-72.09,-25.92
1771359466892,57.27,-58.45,-20.82
1771359466933,56.82,-69.09,-22.35
1771359466975,56.82,-69.09,-22.35
1771359467016,28.09,-119.55,-47.65
1771359467057,28.09,-372.36,-47.65
1771359467096,-109.82,-372.36,-204.8
1771359467138,-80.18,-372.36,-417.96
1771359467179,-80.18,-372.36,-417.96
1771359467220,81.09,79.64,-417.96
1771359467261,86.55,28.45,-46.94
1771359467301,86.55,28.45,-46.94
1771359467342,102.73,22.45,-45.92
1771359467384,102.73,22.45,-45.92
1771359467425,102.73,22.45,-45.92
1771359467466,-372.36,-372.36,-417.96
1771359467506,-372.36,-372.36,-417.96
1771359467548,-372.36,-372.36,-417.96
1771359467590,137.73,-37.18,-6.53
1771359467629,137.73,-37.18,-6.53
1771359467671,171.64,-23.64,4.08
1771359467711,171.64,-23.64,4.08
1771359467754,171.64,-23.64,4.08
1771359467794,-372.36,-15.36,-24.29
1771359467835,-372.36,-15.36,-24.29
1771359467876,-372.36,-56.64,25.1
1771359467917,-372.36,-47.27,4.69
1771359467958,-372.36,-47.27,4.69
1771359467999,176.64,-92.36,49.69
1771359468041,176.64,-92.36,49.69
1771359468082,176.64,-92.36,49.69
1771359468122,-372.36,-372.36,-417.96
1771359468162,-372.36,-372.36,-417.96
1771359468204,-372.36,-372.36,35.31
1771359468245,99.45,127,53.78
1771359468287,99.45,127,53.78
1771359468326,64.73,-372.36,176.53
1771359468367,64.73,-372.36,176.53
1771359468407,64.73,-372.36,176.53
1771359468450,180.82,-179.18,-417.96
1771359468491,180.82,-179.18,-417.96
1771359468531,119.36,-35.55,1.63
1771359468572,90.82,-19.64,-13.06
1771359468613,90.82,-19.64,-13.06
1771359468654,105.55,-29.82,-4.49
1771359468695,105.55,-29.82,-4.49
1771359468736,105.55,-29.82,-4.49
1771359468777,-372.36,-372.36,60.31
1771359468819,-372.36,-372.36,60.31
1771359468860,-372.36,-372.36,72.14
1771359468901,88.55,-372.36,0.82
1771359468942,88.55,-372.36,0.82
1771359468983,78.55,35.82,-2.45
1771359469024,78.55,35.82,-2.45
1771359469065,80.55,50.82,6.63
1771359469104,78.09,111.09,45.1
1771359469145,78.09,111.09,45.1
1771359469186,-32.91,-372.36,-417.96
1771359469227,-20,-372.36,-417.96
1771359469268,-20,-372.36,-417.96
1771359469309,130.55,-372.36,-417.96
1771359469350,130.55,-372.36,-417.96
1771359469393,96.73,-51.73,8.27
1771359469434,90.73,-40.82,1.33
1771359469474,90.73,-40.82,1.33
1771359469516,101.45,-62.27,17.86
1771359469557,89.64,-182.82,189.08
1771359469599,89.64,-182.82,189.08
1771359469639,-372.36,90.27,-417.96
1771359469680,-372.36,90.27,-417.96
1771359469719,-372.36,-372.36,-417.96
1771359469762,47,75.45,17.65
1771359469804,47,75.45,17.65
1771359469845,55.36,50,5.51
1771359469885,50.91,58.27,9.9
1771359469926,50.91,58.27,9.9
1771359469967,29.36,121.82,56.94
1771359470007,29.36,121.82,56.94
1771359470049,-106.45,-372.36,-417.96
1771359470088,-372.36,-372.36,-417.96
1771359470131,-372.36,-372.36,-417.96
1771359470173,-372.36,-372.36,-417.96
1771359470212,-372.36,-0.64,-24.29
1771359470253,-372.36,-0.64,-24.29
1771359470295,91.45,-0.36,-22.65
1771359470336,91.45,-0.36,-22.65
1771359470378,104.27,6.64,-30
1771359470418,164.09,59.18,-68.16
1771359470459,164.09,59.18,-68.16
1771359470500,-372.36,-372.36,-417.96
1771359470541,-372.36,-372.36,-417.96
1771359470582,-372.36,-372.36,-417.96
1771359470623,118.09,-372.36,-26.63
1771359470664,118.09,-372.36,-26.63
1771359470705,98.45,-85.82,-16.94
1771359470744,80.09,-110.09,-15.92
1771359470787,80.09,-110.09,-15.92
1771359470828,-53.18,-372.36,-54.8
1771359470869,-372.36,-372.36,-139.69
