timestamp,x_uT,y_uT,z_uT
1772716685545,-38.27,-31.45,79.49
1772716685579,-36.82,-32.64,79.08
1772716685622,-36.82,-32.64,79.08
1772716685661,-37.55,-30.45,76.84
1772716685704,-37.55,-32.82,77.65
1772716685743,-34.73,-32.82,77.65
1772716685785,-36,-30.73,80.2
1772716685825,-36,-30.73,80.2
1772716685867,-35.18,-31.27,78.78
1772716685908,-35.82,-30.91,78.27
1772716685949,-35.82,-30.91,78.27
1772716685990,-35.09,-31.36,79.9
1772716686031,-35.09,-31.36,79.9
1772716686071,-35.09,-31.36,79.9
1772716686113,-34.18,-33,78.47
1772716686154,-34.18,-33,78.47
1772716686194,-35.82,-31.18,78.37
1772716686238,-35.73,-32.55,77.45
1772716686277,-35.73,-32.55,77.45
1772716686317,-36.27,-32.82,78.78
1772716686358,-36.27,-32.82,78.78
1772716686399,-34.82,-29.64,77.96
1772716686440,-36.91,-30,77.76
1772716686482,-36.91,-30,77.76
1772716686522,-35.73,-31.45,79.49
1772716686563,-36,-30.82,78.78
1772716686605,-36,-30.82,78.78
1772716686645,-33.18,-30,76.53
1772716686688,-33.18,-30,76.53
1772716686727,-35.82,-32.36,76.43
1772716686769,-36.73,-31.18,78.16
1772716686809,-36.73,-31.18,78.16
1772716686851,-37.64,-29.64,78.57
1772716686891,-33.64,-31.55,77.76
1772716686932,-33.64,-31.55,77.76
1772716686973,-35.82,-32.82,76.22
1772716687014,-35.82,-32.82,76.22
1772716687055,-35,-30.82,77.04
1772716687096,-35.73,-32.18,77.65
1772716687138,-35.73,-32.18,77.65
1772716687179,-35.64,-31.45,76.22
1772716687220,-34.91,-30.64,75.92
1772716687261,-34.91,-30.64,75.92
1772716687302,-37.36,-31.27,76.33
1772716687342,-37.36,-31.27,76.33
1772716687384,-38,-29.18,76.22
1772716687425,-35.27,-31.55,76.63
1772716687465,-35.27,-31.55,76.63
1772716687506,-35.82,-32.36,76.53
1772716687550,-34.64,-31.91,77.55
1772716687589,-34.64,-31.91,77.55
1772716687630,-35.36,-32,76.73
1772716687671,-35.36,-32,76.73
1772716687711,-33.18,-33.45,75.82
1772716687752,-33.91,-31.18,75.92
1772716687794,-33.91,-31.18,75.92
1772716687834,-34.82,-31.55,76.73
1772716687876,-34.36,-31.27,76.73
1772716687917,-34.36,-31.27,76.73
1772716687957,-35.45,-30,75.1
1772716687999,-35.45,-30,75.1
1772716688039,-35.45,-31,76.43
1772716688080,-35.27,-42.36,72.04
1772716688122,-35.27,-42.36,72.04
1772716688162,-48.18,-110.55,184.49
1772716688205,-42.36,54.45,-35.1
1772716688244,-42.36,54.45,-35.1
1772716688286,35.73,-372.36,-16.84
1772716688327,35.73,-372.36,-16.84
1772716688368,-372.36,-372.36,-417.96
1772716688408,-372.36,-372.36,-417.96
1772716688450,-372.36,-372.36,-417.96
1772716688491,-372.36,-372.36,-74.59
1772716688532,-372.36,-372.36,-417.96
1772716688572,-372.36,-372.36,-417.96
1772716688614,-372.36,-372.36,-417.96
1772716688656,-372.36,-372.36,-417.96
1772716688696,-372.36,-372.36,-417.96
1772716688739,-372.36,-372.36,-417.96
1772716688777,-372.36,-372.36,-417.96
